Date,Close,High,Low,Open,Volume,"('Close', 'IBM')","('High', 'IBM')","('Low', 'IBM')","('Open', 'IBM')","('Volume', 'IBM')"
2024-06-03,159.34500122070312,160.7911381011264,157.65784152687598,160.55975090434725,2776100.0,,,,,
2024-06-04,159.85597229003906,160.42478261287704,157.99528318659316,158.68943008292155,2594200.0,,,,,
2024-06-05,161.36959838867188,161.76486462154202,159.82704650187688,160.434428697818,3049400.0,,,,,
2024-06-06,162.16015625,162.39154346152486,160.81043429327005,161.36960902130562,2207100.0,,,,,
2024-06-07,163.90516662597656,165.15848833468394,162.0251914183488,162.14087767393616,3475500.0,,,,,
2024-06-10,164.26187133789062,164.62821600828784,162.81573446768508,163.46167383773977,3440000.0,,,,,
2024-06-11,163.23992919921875,163.8955041546224,160.82005086998265,163.87621821156222,2951300.0,,,,,
2024-06-12,162.93142700195312,166.2768249344246,162.06375073066764,165.1970474037821,3522700.0,,,,,
2024-06-13,163.047119140625,163.50024323736542,162.29512908877197,162.94106850711412,3525700.0,,,,,
2024-06-14,163.13389587402344,163.3845543169234,161.22498450201883,162.24691892958944,2777700.0,,,,,
2024-06-17,163.41346740722656,163.62556865978655,161.4852849009466,162.70003458399154,3239800.0,,,,,
2024-06-18,164.42576599121094,164.61858129946188,162.3336897394147,163.895512860372,3386400.0,,,,,
2024-06-20,167.67474365234375,168.02181708087926,165.07170029375973,167.82900177855169,4723100.0,,,,,
2024-06-21,166.26719665527344,168.67742497173077,165.24524749196792,167.72296926250183,10181500.0,,,,,
2024-06-24,168.72560119628906,172.05172771498422,167.89648214843334,168.7159655798815,4864700.0,,,,,
2024-06-25,166.40216064453125,169.4390422891224,165.26452528562848,168.85094602048085,4069800.0,,,,,
2024-06-26,165.6983642578125,166.4792758440396,164.29079922139132,165.12955393091443,2779000.0,,,,,
2024-06-27,164.71499633789062,166.30574101982117,164.35827257115554,164.97529038418577,2894000.0,,,,,
2024-06-28,166.7395782470703,167.23127419805462,164.40647919434596,164.71499545463925,4193300.0,,,,,
2024-07-01,168.81239318847656,170.12355795014716,167.15415496898535,167.2216337106046,3321000.0,,,,,
