Date,Close,High,Low,Open,Volume,"('Close', 'CRWD')","('High', 'CRWD')","('Low', 'CRWD')","('Open', 'CRWD')","('Volume', 'CRWD')"
2024-06-03,308.69000244140625,319.4800109863281,305.1099853515625,319.3699951171875,4364700.0,,,,,
2024-06-04,305.5799865722656,312.3800048828125,303.5050048828125,310.0,8475400.0,,,,,
2024-06-05,342.17999267578125,342.5899963378906,316.3900146484375,334.6099853515625,16035600.0,,,,,
2024-06-06,340.489990234375,349.3399963378906,336.19000244140625,342.92999267578125,4683500.0,,,,,
2024-06-07,349.1199951171875,349.9200134277344,337.1300048828125,343.0,5096800.0,,,,,
2024-06-10,374.5700073242188,384.9800109863281,367.1000061035156,367.1000061035156,15590700.0,,,,,
2024-06-11,384.6300048828125,385.0,370.1400146484375,372.8599853515625,7011700.0,,,,,
2024-06-12,387.3699951171875,390.7049865722656,378.8699951171875,390.25,5827800.0,,,,,
2024-06-13,382.80999755859375,389.8900146484375,380.9400024414063,387.8500061035156,3969500.0,,,,,
2024-06-14,385.43499755859375,388.3450012207031,381.1499938964844,382.0,3415000.0,,,,,
2024-06-17,390.4299926757813,394.6400146484375,376.5499877929688,382.75,4853100.0,,,,,
2024-06-18,389.510009765625,393.2900085449219,386.6600036621094,390.0,4092800.0,,,,,
2024-06-20,382.1400146484375,393.25,379.2000122070313,390.260009765625,5848000.0,,,,,
2024-06-21,380.6300048828125,381.0,370.7000122070313,380.6300048828125,52256000.0,,,,,
2024-06-24,377.9299926757813,381.760009765625,374.0,375.1000061035156,5400900.0,,,,,
2024-06-25,386.760009765625,387.80999755859375,379.5450134277344,379.75,3146300.0,,,,,
2024-06-26,380.3699951171875,387.510009765625,379.75,385.5899963378906,2952100.0,,,,,
2024-06-27,387.2900085449219,391.5400085449219,379.9400024414063,381.0,3666300.0,,,,,
2024-06-28,383.1900024414063,393.2900085449219,381.7820129394531,389.3299865722656,8480500.0,,,,,
2024-07-01,392.1499938964844,392.739990234375,377.9200134277344,385.2799987792969,2880200.0,,,,,
2024-07-02,385.0499877929688,387.1650085449219,381.4700012207031,382.2699890136719,3242700.0,,,,,
2024-07-03,387.1799926757813,390.0799865722656,382.3829956054688,384.25,1456800.0,,,,,
2024-07-05,389.6799926757813,391.4649963378906,385.30999755859375,387.8699951171875,1909000.0,,,,,
2024-07-08,390.7099914550781,397.1199951171875,379.7900085449219,390.3680114746094,2976500.0,,,,,
2024-07-09,385.8800048828125,398.3269958496094,383.2000122070313,392.510009765625,2967600.0,,,,,
2024-07-10,374.4500122070313,385.0199890136719,365.5899963378906,385.0,5826700.0,,,,,
2024-07-11,370.4299926757813,379.7799987792969,367.5,375.6900024414063,3125500.0,,,,,
2024-07-12,371.3200073242188,374.489990234375,367.7550048828125,368.2000122070313,2609700.0,,,,,
2024-07-15,377.3699951171875,383.5700073242188,364.2099914550781,371.6700134277344,3522400.0,,,,,
2024-07-16,369.0499877929688,379.3349914550781,368.5,378.239990234375,2606300.0,,,,,
