Date,Close,High,Low,Open,Volume,"('Close', 'ARDX')","('High', 'ARDX')","('Low', 'ARDX')","('Open', 'ARDX')","('Volume', 'ARDX')"
2024-06-03,6.920000076293945,7.079999923706055,6.769999980926514,6.900000095367432,3516400.0,,,,,
2024-06-04,6.869999885559082,7.0,6.804999828338623,6.889999866485596,2185300.0,,,,,
2024-06-05,7.130000114440918,7.15500020980835,6.815000057220459,6.909999847412109,3586700.0,,,,,
2024-06-06,6.739999771118164,7.119999885559082,6.699999809265137,7.079999923706055,3727300.0,,,,,
2024-06-07,6.449999809265137,6.724999904632568,6.440000057220459,6.724999904632568,3038700.0,,,,,
2024-06-10,6.460000038146973,6.480000019073486,6.25,6.400000095367432,5461500.0,,,,,
2024-06-11,6.630000114440918,6.690000057220459,6.34499979019165,6.489999771118164,3705800.0,,,,,
2024-06-12,6.690000057220459,6.909999847412109,6.625,6.820000171661377,2365400.0,,,,,
2024-06-13,6.489999771118164,6.75,6.400000095367432,6.670000076293945,3142700.0,,,,,
2024-06-14,6.349999904632568,6.53000020980835,6.260000228881836,6.389999866485596,4074400.0,,,,,
2024-06-17,6.289999961853027,6.409999847412109,6.260000228881836,6.309999942779541,2771000.0,,,,,
2024-06-18,5.949999809265137,6.329999923706055,5.864999771118164,6.269999980926514,4956700.0,,,,,
2024-06-20,5.889999866485596,5.980000019073486,5.760000228881836,5.96999979019165,3907600.0,,,,,
2024-06-21,6.159999847412109,6.159999847412109,5.900000095367432,5.929999828338623,6677400.0,,,,,
2024-06-24,6.25,6.315000057220459,6.059999942779541,6.170000076293945,3600500.0,,,,,
2024-06-25,6.019999980926514,6.289999961853027,5.940000057220459,6.230000019073486,4031200.0,,,,,
2024-06-26,6.110000133514404,6.164999961853027,5.90500020980835,6.010000228881836,3570200.0,,,,,
2024-06-27,6.5,6.519999980926514,5.989999771118164,6.099999904632568,2889300.0,,,,,
2024-06-28,7.409999847412109,7.440000057220459,6.552000045776367,6.590000152587891,11926700.0,,,,,
2024-07-01,7.570000171661377,8.0600004196167,7.389999866485596,7.46999979019165,7043400.0,,,,,
2024-07-02,5.28000020980835,6.46999979019165,5.070000171661377,6.25,22665100.0,,,,,
2024-07-03,5.320000171661377,5.559999942779541,5.10099983215332,5.53000020980835,7951600.0,,,,,
2024-07-05,5.289999961853027,5.369999885559082,5.099999904632568,5.28000020980835,6206800.0,,,,,
2024-07-08,5.449999809265137,5.510000228881836,5.320000171661377,5.369999885559082,5536400.0,,,,,
2024-07-09,5.559999942779541,5.650000095367432,5.300000190734863,5.440000057220459,4419100.0,,,,,
2024-07-10,5.559999942779541,5.659999847412109,5.48199987411499,5.590000152587891,2900900.0,,,,,
2024-07-11,5.820000171661377,5.96999979019165,5.670000076293945,5.670000076293945,4078900.0,,,,,
