Date,Close,High,Low,Open,Volume,"('Close', 'CDW')","('High', 'CDW')","('Low', 'CDW')","('Open', 'CDW')","('Volume', 'CDW')"
2024-06-03,219.7847900390625,220.79771258541405,215.6937546058632,219.81429147199967,826600.0,,,,,
2024-06-04,218.23097229003903,219.50942267660704,217.6704150798012,218.08345012669585,584300.0,,,,,
2024-06-05,219.23406982421875,219.70612278053,217.39507707509745,218.56535064483492,839300.0,,,,,
2024-06-06,218.1326141357422,219.78476925305063,217.562228143208,219.23404087673856,949500.0,,,,,
2024-06-07,220.5223388671875,221.74177135005544,218.8996851517056,219.56841926027772,819800.0,,,,,
2024-06-10,220.1879730224609,220.42399948291043,217.96544679170023,218.95869667685585,611900.0,,,,,
2024-06-11,220.64036560058597,220.71904109178132,218.21131420600912,220.01097667683825,637500.0,,,,,
2024-06-12,222.54820251464844,222.80388660382093,219.88312467620125,222.3318486677273,716500.0,,,,,
2024-06-13,221.36810302734372,221.70246261114792,219.43076219498477,220.84689102735027,557500.0,,,,,
2024-06-14,219.48976135253903,220.768211804919,217.39506957291516,219.8831237967412,578000.0,,,,,
2024-06-17,222.59735107421875,223.87578637945717,219.48973708878464,219.8830994895021,809100.0,,,,,
2024-06-18,226.7277374267578,227.1309436788344,222.78420921515655,223.1087399785976,1255200.0,,,,,
2024-06-20,228.0848388671875,228.66506869605047,225.8819853001385,227.04241494623545,849600.0,,,,,
2024-06-21,231.58583068847656,231.9988657327416,227.2882704547911,230.6515686773616,2324200.0,,,,,
2024-06-24,227.7701568603516,232.5299112845118,227.6324785094317,229.9041788025166,707300.0,,,,,
2024-06-25,220.8960418701172,228.01601601010185,220.67968802844536,228.01601601010185,1109400.0,,,,,
2024-06-26,219.43077087402344,221.318937723254,217.73928525799715,220.6502035233799,1062800.0,,,,,
2024-06-27,220.3453369140625,221.0829027646661,218.62434992932077,218.68335279643853,1164300.0,,,,,
2024-06-28,220.1289825439453,222.144998865328,219.79462296052412,220.67969597683089,2054200.0,,,,,
2024-07-01,215.5560607910156,221.06320962768615,214.60214117895148,220.6993486436791,935300.0,,,,,
2024-07-02,215.4872283935547,215.80193035092128,213.50072855948528,215.03486308710927,971700.0,,,,,
2024-07-03,214.49395751953125,216.3427938238825,212.9696519498255,215.9789178455028,646100.0,,,,,
2024-07-05,212.71397399902344,214.29728247399737,211.00281598696145,213.9629229217207,753700.0,,,,,
2024-07-08,213.2745056152344,214.3169294652477,211.0519795766363,213.0089927517269,1017500.0,,,,,
2024-07-09,211.2388458251953,213.31386485354108,210.6586310035639,212.94998885887543,969800.0,,,,,
2024-07-10,215.24136352539065,215.3397116341391,210.09807556111417,211.6322100203772,1166800.0,,,,,
2024-07-11,220.10931396484372,220.5518504509604,215.1331906807707,215.3692171427465,1006100.0,,,,,
2024-07-12,224.71173095703125,226.19669147942383,220.31583725162972,221.2697569598776,939400.0,,,,,
2024-07-15,228.91094970703125,230.33690740090103,224.9182621618694,225.52797848478096,824900.0,,,,,
2024-07-16,235.86370849609372,237.26016463059625,228.9109292555499,228.9109292555499,1025400.0,,,,,
2024-07-17,233.05113220214844,235.2048268502064,232.57909426742003,233.4051644046486,1041600.0,,,,,
2024-07-18,229.82550048828125,235.50967305832955,228.59622415382768,232.5987551015996,610500.0,,,,,
2024-07-19,225.0460662841797,231.36947134888916,224.5051817131992,230.83841558617596,645200.0,,,,,
2024-07-22,228.6650848388672,228.98961561174076,225.5476416644229,227.01292954113055,512200.0,,,,,
2024-07-23,226.33436584472656,228.37005477562315,226.1475284359208,226.944097145988,417900.0,,,,,
2024-07-24,225.4099578857422,226.8162428618914,222.66620460189543,225.7344736449957,1007200.0,,,,,
2024-07-25,224.8297119140625,229.2944518101462,224.6723759530952,226.7768963649004,642200.0,,,,,
2024-07-26,225.93116760253903,227.68165594989657,223.39393937859256,226.41303433501585,988600.0,,,,,
