Date,Close,High,Low,Open,Volume,"('Close', 'RBC')","('High', 'RBC')","('Low', 'RBC')","('Open', 'RBC')","('Volume', 'RBC')"
2024-06-03,291.5400085449219,299.25,286.20001220703125,297.8299865722656,126500.0,,,,,
2024-06-04,285.6199951171875,292.7099914550781,284.1700134277344,290.5299987792969,255300.0,,,,,
2024-06-05,286.5,288.6499938964844,285.1499938964844,286.0,183900.0,,,,,
2024-06-06,282.2200012207031,286.7200012207031,281.0199890136719,285.2900085449219,96300.0,,,,,
2024-06-07,279.9200134277344,282.2200012207031,277.79998779296875,280.3399963378906,132500.0,,,,,
2024-06-10,276.1000061035156,279.3299865722656,276.0199890136719,277.1499938964844,137800.0,,,,,
2024-06-11,273.9800109863281,275.69000244140625,272.489990234375,274.989990234375,231800.0,,,,,
2024-06-12,277.8500061035156,280.7099914550781,277.260009765625,278.7699890136719,157000.0,,,,,
2024-06-13,274.8599853515625,277.7300109863281,273.17999267578125,276.7900085449219,91900.0,,,,,
2024-06-14,272.3399963378906,272.6300048828125,269.25,271.5400085449219,66600.0,,,,,
2024-06-17,273.1400146484375,273.4700012207031,270.1000061035156,272.2799987792969,80800.0,,,,,
2024-06-18,277.04998779296875,277.6000061035156,268.3599853515625,272.1199951171875,253300.0,,,,,
2024-06-20,274.20001220703125,276.510009765625,272.2200012207031,276.510009765625,131400.0,,,,,
2024-06-21,274.79998779296875,274.8099975585937,270.0,274.2799987792969,197400.0,,,,,
2024-06-24,276.510009765625,278.95001220703125,274.7200012207031,275.9100036621094,94300.0,,,,,
2024-06-25,271.7300109863281,277.8500061035156,269.2200012207031,275.5,199900.0,,,,,
2024-06-26,268.7699890136719,271.010009765625,268.3699951171875,270.29998779296875,335700.0,,,,,
2024-06-27,271.07000732421875,271.4700012207031,268.0400085449219,269.6499938964844,143300.0,,,,,
2024-06-28,269.7799987792969,274.44000244140625,267.0299987792969,271.989990234375,313800.0,,,,,
2024-07-01,267.9800109863281,273.2300109863281,267.8599853515625,272.79998779296875,177700.0,,,,,
2024-07-02,270.75,271.07000732421875,267.7200012207031,268.2699890136719,125600.0,,,,,
2024-07-03,273.95001220703125,274.1600036621094,269.6000061035156,271.2699890136719,96300.0,,,,,
2024-07-05,273.239990234375,274.1000061035156,270.04998779296875,274.1000061035156,103900.0,,,,,
2024-07-08,278.0199890136719,278.20001220703125,275.0,275.04998779296875,173100.0,,,,,
