Date,Close,High,Low,Open,Volume,"('Close', 'UL')","('High', 'UL')","('Low', 'UL')","('Open', 'UL')","('Volume', 'UL')"
2024-06-03,53.03602600097656,53.03602600097656,52.594539860087366,52.6521264415317,3352900.0,,,,,
2024-06-04,53.535099029541016,53.66946405917393,53.33355148509164,53.65027219308849,3589300.0,,,,,
2024-06-05,53.83262634277344,53.85182187079175,53.55429667826682,53.84222227619628,2574600.0,,,,,
2024-06-06,53.78464126586914,53.92860223936675,53.59268964003292,53.602285573797,1670400.0,,,,,
2024-06-07,53.37194442749024,53.81343058652115,53.34315296617118,53.7654435972652,1903200.0,,,,,
2024-06-10,53.35275268554688,53.44872667086924,53.1128140610681,53.4199352075071,1839500.0,,,,,
2024-06-11,53.35275268554688,53.36234861960997,52.84408397322719,52.98804495121074,1848000.0,,,,,
2024-06-12,53.8038330078125,54.18773257129303,53.7270508984129,54.12055005615462,3514700.0,,,,,
2024-06-13,54.02457427978516,54.06296533320528,53.75584056701671,53.86141413333585,2723000.0,,,,,
2024-06-14,53.9573974609375,54.11095802965064,53.76544583475289,53.89981087473029,3479700.0,,,,,
2024-06-17,54.11095428466797,54.19733232741424,53.67906407093661,53.727051058868426,1775600.0,,,,,
2024-06-18,53.90940475463867,54.15894295752344,53.86141776521394,53.99578280007223,1859500.0,,,,,
2024-06-20,53.89021682739258,53.986190813258105,53.67906966508096,53.72705665801372,2472200.0,,,,,
2024-06-21,53.85182189941406,53.97659100101311,53.56389630133157,53.81343084335703,3175400.0,,,,,
2024-06-24,54.034175872802734,54.091762458965285,53.85182384171379,53.85182384171379,1466600.0,,,,,
2024-06-25,53.87101745605469,54.101356470173975,53.70785729831196,54.04377354723047,1621400.0,,,,,
2024-06-26,53.43912887573242,53.631080500865096,53.256776845501385,53.3719463561119,1423100.0,,,,,
2024-06-27,53.122406005859375,53.5447002963801,53.03602796108674,53.45832225160746,1362300.0,,,,,
2024-06-28,52.77689743041992,52.86327547509842,52.488968174043215,52.70011531907345,2487600.0,,,,,
2024-07-01,52.49856948852539,53.45832394476472,52.48896989370628,53.10321582108452,2379700.0,,,,,
2024-07-02,52.61374282836914,52.64253429257705,52.22024361911161,52.306621672908285,1673800.0,,,,,
2024-07-03,52.77689743041992,52.84407994726181,52.64252873556359,52.680919791236825,921700.0,,,,,
2024-07-05,53.25677490234375,53.3335533528918,52.87287166608572,53.18958872400189,1382800.0,,,,,
2024-07-08,53.58309555053711,53.71746059489533,53.448726845006014,53.60228741872582,1590100.0,,,,,
2024-07-09,53.31435775756836,53.7558439158862,53.29516222966246,53.74624798251955,3067400.0,,,,,
2024-07-10,54.2645149230957,54.341293371665785,53.93819827903471,53.95739380647036,2721600.0,,,,,
2024-07-11,54.35089492797852,54.74439410168292,54.29330834359276,54.66761198916858,2946500.0,,,,,
