Date,Close,High,Low,Open,Volume,"('Close', 'COHR')","('High', 'COHR')","('Low', 'COHR')","('Open', 'COHR')","('Volume', 'COHR')"
2024-06-03,70.0999984741211,70.33000183105469,60.4900016784668,61.04999923706055,10883000.0,,,,,
2024-06-04,65.88999938964844,68.41999816894531,64.6500015258789,68.41999816894531,3861900.0,,,,,
2024-06-05,66.75,67.16999816894531,65.8499984741211,66.05000305175781,1790200.0,,,,,
2024-06-06,66.02999877929688,68.30000305175781,65.95999908447266,66.9800033569336,1776800.0,,,,,
2024-06-07,65.87999725341797,66.1500015258789,64.08999633789062,65.06999969482422,1923600.0,,,,,
2024-06-10,66.62000274658203,67.08000183105469,64.47000122070312,64.56999969482422,1496100.0,,,,,
2024-06-11,66.88999938964844,67.94999694824219,65.91999816894531,66.4800033569336,1641500.0,,,,,
2024-06-12,70.43000030517578,70.83000183105469,68.45999908447266,68.52999877929688,2950800.0,,,,,
2024-06-13,70.91999816894531,71.11000061035156,69.11000061035156,70.0999984741211,1678200.0,,,,,
2024-06-14,71.75,72.48999786376953,70.01000213623047,70.19999694824219,2567600.0,,,,,
2024-06-17,73.9800033569336,74.4000015258789,70.87000274658203,70.91000366210938,1770700.0,,,,,
2024-06-18,73.43000030517578,75.25,73.38999938964844,73.94999694824219,2049200.0,,,,,
2024-06-20,70.98999786376953,73.7300033569336,70.41000366210938,73.66000366210938,2816400.0,,,,,
2024-06-21,71.93000030517578,71.94000244140625,68.26000213623047,69.62999725341797,3334200.0,,,,,
2024-06-24,71.75,72.16999816894531,69.02999877929688,71.2300033569336,2333600.0,,,,,
2024-06-25,71.62000274658203,73.79000091552734,70.63999938964844,72.0,1693800.0,,,,,
2024-06-26,70.88999938964844,72.43000030517578,70.5999984741211,71.51000213623047,959500.0,,,,,
2024-06-27,71.25,72.0,70.05000305175781,70.7300033569336,1214000.0,,,,,
2024-06-28,72.45999908447266,73.95999908447266,71.30000305175781,71.43000030517578,2136400.0,,,,,
2024-07-01,72.73999786376953,73.08999633789062,71.19000244140625,72.4000015258789,1165600.0,,,,,
2024-07-02,72.86000061035156,74.23999786376953,71.6500015258789,71.6500015258789,1487900.0,,,,,
