Date,Close,High,Low,Open,Volume,"('Close', 'BA')","('High', 'BA')","('Low', 'BA')","('Open', 'BA')","('Volume', 'BA')"
2024-06-03,184.57000732421875,186.00999450683597,178.02000427246094,178.08999633789062,8951600.0,,,,,
2024-06-04,188.6199951171875,188.83999633789065,183.25,185.0500030517578,7176800.0,,,,,
2024-06-05,189.8500061035156,190.33999633789065,186.52999877929688,187.8999938964844,5944000.0,,,,,
2024-06-06,191.4199981689453,192.1000061035156,187.3500061035156,188.8300018310547,5942200.0,,,,,
2024-06-07,190.2400054931641,191.97999572753903,189.66000366210935,190.4600067138672,3374500.0,,,,,
2024-06-10,190.1199951171875,192.6300048828125,189.6000061035156,190.0,4385000.0,,,,,
2024-06-11,185.5,189.32000732421875,182.75,189.32000732421875,5010100.0,,,,,
2024-06-12,182.6699981689453,187.16000366210935,181.7100067138672,186.5,5245200.0,,,,,
2024-06-13,180.6999969482422,183.8699951171875,178.99000549316406,181.7400054931641,4201000.0,,,,,
2024-06-14,177.27000427246094,180.2899932861328,175.22000122070312,178.89999389648438,5106000.0,,,,,
2024-06-17,178.38999938964844,180.4499969482422,176.32000732421875,176.75,4790000.0,,,,,
2024-06-18,174.99000549316406,178.0,173.82000732421875,177.61000061035156,6179900.0,,,,,
2024-06-20,176.3000030517578,176.64999389648438,172.0500030517578,173.02000427246094,5479300.0,,,,,
2024-06-21,176.55999755859375,178.41000366210938,175.66000366210938,176.8300018310547,8628200.0,,,,,
2024-06-24,179.10000610351562,180.6000061035156,175.58999633789062,176.14999389648438,7388300.0,,,,,
2024-06-25,175.10000610351562,178.75999450683594,173.2899932861328,176.2899932861328,7434000.0,,,,,
2024-06-26,178.5,178.82000732421875,173.75999450683594,174.9600067138672,6553900.0,,,,,
2024-06-27,182.50999450683597,183.67999267578125,178.00999450683594,178.91000366210938,8199000.0,,,,,
2024-06-28,182.00999450683597,184.44000244140625,180.6499938964844,182.6000061035156,5899900.0,,,,,
2024-07-01,186.6999969482422,189.47000122070312,182.1999969482422,182.1999969482422,9056700.0,,,,,
2024-07-02,185.4199981689453,189.22999572753903,184.5200042724609,186.33999633789065,4110500.0,,,,,
2024-07-03,184.30999755859372,185.4199981689453,182.8500061035156,185.0500030517578,2764800.0,,,,,
2024-07-05,184.8300018310547,185.3800048828125,182.22999572753903,184.0,3290400.0,,,,,
2024-07-08,185.83999633789065,191.5,182.27999877929688,186.94000244140625,9878100.0,,,,,
2024-07-09,183.2400054931641,186.25,183.1499938964844,185.1100006103516,3942900.0,,,,,
2024-07-10,183.72999572753903,184.8999938964844,182.8000030517578,183.6000061035156,3583200.0,,,,,
2024-07-11,183.91000366210935,186.1000061035156,183.3999938964844,184.1699981689453,4840600.0,,,,,
2024-07-12,182.30999755859372,184.4900054931641,180.4499969482422,183.72999572753903,5129300.0,,,,,
2024-07-15,179.11000061035156,183.72000122070312,178.8800048828125,183.5,5189000.0,,,,,
2024-07-16,186.0500030517578,187.44000244140625,179.1999969482422,180.0500030517578,8546400.0,,,,,
2024-07-17,184.83999633789065,188.4499969482422,183.7899932861328,185.32000732421875,4899600.0,,,,,
2024-07-18,180.22999572753903,187.3699951171875,179.8800048828125,184.2400054931641,5354800.0,,,,,
2024-07-19,179.6699981689453,181.5,177.38999938964844,181.3999938964844,5121300.0,,,,,
2024-07-22,178.89999389648438,182.72000122070312,177.22999572753906,181.3600006103516,4883500.0,,,,,
