Date,Close,High,Low,Open,Volume,"('Close', 'BRK-B')","('High', 'BRK-B')","('Low', 'BRK-B')","('Open', 'BRK-B')","('Volume', 'BRK-B')"
2024-06-03,414.7900085449219,416.7200012207031,408.7799987792969,414.8900146484375,4903000.0,,,,,
2024-06-04,409.5299987792969,415.8900146484375,406.4400024414063,414.8500061035156,4154800.0,,,,,
2024-06-05,409.8500061035156,410.2799987792969,405.7699890136719,410.1000061035156,2634400.0,,,,,
2024-06-06,411.0799865722656,411.239990234375,407.3800048828125,410.4200134277344,3438900.0,,,,,
2024-06-07,413.7200012207031,415.8800048828125,409.8500061035156,411.2799987792969,2942100.0,,,,,
2024-06-10,410.80999755859375,413.9400024414063,409.2699890136719,413.3399963378906,2667300.0,,,,,
2024-06-11,408.5,408.9100036621094,406.1099853515625,408.8800048828125,3605900.0,,,,,
2024-06-12,408.7699890136719,411.8900146484375,407.1600036621094,411.0899963378906,3551900.0,,,,,
2024-06-13,405.9200134277344,408.0,403.5700073242188,407.6300048828125,4563300.0,,,,,
2024-06-14,405.5400085449219,406.3399963378906,403.3299865722656,404.8999938964844,2768600.0,,,,,
2024-06-17,407.3200073242188,407.8200073242188,403.5499877929688,405.1799926757813,3406500.0,,,,,
2024-06-18,407.9500122070313,408.5,405.2799987792969,406.75,4005300.0,,,,,
2024-06-20,409.1499938964844,411.0,404.0499877929688,407.25,4844700.0,,,,,
2024-06-21,409.6199951171875,410.4700012207031,407.6799926757813,409.8200073242188,9009400.0,,,,,
2024-06-24,413.9800109863281,417.0,410.0,410.7000122070313,4933300.0,,,,,
2024-06-25,410.9700012207031,414.25,409.6199951171875,414.0,3879800.0,,,,,
2024-06-26,410.260009765625,410.6799926757813,407.25,410.0199890136719,3334300.0,,,,,
2024-06-27,407.9500122070313,410.260009765625,406.3399963378906,410.260009765625,3218600.0,,,,,
2024-06-28,406.7999877929688,410.0499877929688,405.7900085449219,408.25,6819800.0,,,,,
2024-07-01,405.1900024414063,409.6700134277344,403.8200073242188,408.0899963378906,2974100.0,,,,,
2024-07-02,407.1000061035156,407.3900146484375,403.9200134277344,404.0199890136719,3220900.0,,,,,
2024-07-03,405.7699890136719,407.1600036621094,404.2200012207031,407.1600036621094,1970300.0,,,,,
2024-07-05,411.1700134277344,411.3999938964844,405.0299987792969,406.239990234375,5149200.0,,,,,
2024-07-08,409.0799865722656,413.7900085449219,408.0,411.2699890136719,3559500.0,,,,,
2024-07-09,410.5199890136719,413.7099914550781,408.6400146484375,409.4200134277344,2989700.0,,,,,
2024-07-10,413.7900085449219,413.9599914550781,409.3999938964844,410.80999755859375,3791800.0,,,,,
2024-07-11,418.7799987792969,419.2000122070313,412.0,413.989990234375,4065200.0,,,,,
