Date,Close,High,Low,Open,Volume,"('Close', 'PANW')","('High', 'PANW')","('Low', 'PANW')","('Open', 'PANW')","('Volume', 'PANW')"
2024-06-03,147.24000549316406,148.5,145.56500244140625,148.2100067138672,4701000.0,,,,,
2024-06-04,145.0449981689453,147.89500427246094,144.4550018310547,147.25,5347200.0,,,,,
2024-06-05,147.7050018310547,148.47500610351562,145.25,148.11500549316406,7476800.0,,,,,
2024-06-06,147.96499633789062,150.3300018310547,147.375,147.55999755859375,5059800.0,,,,,
2024-06-07,150.9499969482422,151.47500610351562,147.59500122070312,148.25,5216000.0,,,,,
2024-06-10,154.52499389648438,154.72999572753906,149.35000610351562,149.72999572753906,5781600.0,,,,,
2024-06-11,156.47500610351562,157.3000030517578,153.44000244140625,154.33999633789062,5524600.0,,,,,
2024-06-12,159.89500427246094,160.0500030517578,155.82000732421875,157.5,4926200.0,,,,,
2024-06-13,159.8300018310547,162.2449951171875,157.67999267578125,160.0,5944600.0,,,,,
2024-06-14,158.65499877929688,161.30999755859375,157.5050048828125,159.8300018310547,4971800.0,,,,,
2024-06-17,159.7949981689453,160.5850067138672,155.94000244140625,158.0050048828125,5081000.0,,,,,
2024-06-18,158.50999450683594,160.57000732421875,157.92999267578125,160.0050048828125,4121400.0,,,,,
2024-06-20,155.52000427246094,160.5500030517578,154.625,159.74000549316406,6281000.0,,,,,
2024-06-21,160.1649932861328,160.69500732421875,156.1300048828125,157.9199981689453,14353600.0,,,,,
2024-06-24,158.33999633789062,163.39999389648438,157.8699951171875,159.3699951171875,6381400.0,,,,,
2024-06-25,161.33999633789062,163.19500732421875,158.0,158.67999267578125,5125800.0,,,,,
2024-06-26,162.6300048828125,163.69000244140625,159.89999389648438,161.0,4249600.0,,,,,
2024-06-27,170.41000366210938,172.7050018310547,164.57000732421875,165.0,11299200.0,,,,,
2024-06-28,169.5050048828125,172.9499969482422,168.68499755859375,170.0,8344600.0,,,,,
2024-07-01,170.4499969482422,171.26499938964844,165.74000549316406,169.0,4766800.0,,,,,
2024-07-02,170.22000122070312,171.40499877929688,168.03500366210938,169.68499755859375,4240400.0,,,,,
2024-07-03,170.60000610351562,171.22000122070312,169.24000549316406,169.72500610351562,2045200.0,,,,,
2024-07-05,171.0449981689453,172.77499389648438,169.15499877929688,170.49000549316406,4140800.0,,,,,
2024-07-08,168.82000732421875,170.97500610351562,164.6649932861328,170.0800018310547,5856200.0,,,,,
2024-07-09,168.08999633789062,169.5,166.06500244140625,169.5,3592600.0,,,,,
2024-07-10,168.52999877929688,169.0050048828125,165.0800018310547,168.5,4091400.0,,,,,
2024-07-11,165.52000427246094,170.625,164.55999755859375,168.51499938964844,5553400.0,,,,,
2024-07-12,168.25,169.10000610351562,165.63999938964844,166.0050048828125,3581200.0,,,,,
2024-07-15,170.4550018310547,171.84500122070312,164.625,166.39500427246094,5101000.0,,,,,
2024-07-16,169.25,170.84500122070312,167.7550048828125,170.3000030517578,3184000.0,,,,,
2024-07-17,166.07000732421875,167.93499755859375,163.81500244140625,167.4550018310547,4625600.0,,,,,
2024-07-18,161.94000244140625,165.5,160.1300048828125,164.63499450683594,5020200.0,,,,,
2024-07-19,165.44500732421875,168.4499969482422,163.01499938964844,165.97999572753906,6454800.0,,,,,
2024-07-22,166.85000610351562,169.43499755859375,164.44000244140625,167.22500610351562,5970400.0,,,,,
2024-07-23,167.77999877929688,170.44500732421875,166.3249969482422,167.4949951171875,5494200.0,,,,,
2024-07-24,162.1199951171875,168.13499450683594,161.5,167.0,4984200.0,,,,,
2024-07-25,160.06500244140625,164.4250030517578,159.36500549316406,163.27999877929688,4743200.0,,,,,
2024-07-26,163.40499877929688,164.5800018310547,160.63499450683594,161.61500549316406,3418800.0,,,,,
2024-07-29,161.02999877929688,164.36500549316406,160.6999969482422,163.75,3124600.0,,,,,
2024-07-30,158.7550048828125,163.4149932861328,157.5050048828125,162.6199951171875,5412400.0,,,,,
2024-07-31,162.36500549316406,163.30999755859375,158.125,160.3249969482422,4082400.0,,,,,
2024-08-01,157.80999755859375,162.82000732421875,156.18499755859375,161.7050018310547,6717600.0,,,,,
2024-08-02,152.8000030517578,154.5,149.77499389648438,152.9600067138672,7049200.0,,,,,
2024-08-05,147.08999633789062,150.6999969482422,142.00999450683594,143.60499572753906,8960400.0,,,,,
2024-08-06,150.96499633789062,152.6699981689453,147.4250030517578,150.05999755859375,6441600.0,,,,,
2024-08-07,152.10499572753906,157.38999938964844,152.0850067138672,155.5749969482422,7132400.0,,,,,
2024-08-08,158.68499755859375,158.90499877929688,153.1750030517578,155.85000610351562,4438600.0,,,,,
2024-08-09,165.74000549316406,166.57000732421875,158.7449951171875,159.0800018310547,5640200.0,,,,,
2024-08-12,165.5500030517578,166.21499633789062,162.5749969482422,165.3350067138672,4079200.0,,,,,
2024-08-13,166.61500549316406,168.0399932861328,165.25999450683594,165.6750030517578,6996200.0,,,,,
2024-08-14,169.9550018310547,172.1649932861328,167.7550048828125,167.9949951171875,5346600.0,,,,,
2024-08-15,171.63499450683594,172.88999938964844,170.0449981689453,170.2550048828125,6358600.0,,,,,
2024-08-16,167.05499267578125,170.06500244140625,166.36000061035156,169.24000549316406,9066800.0,,,,,
2024-08-19,171.67999267578125,172.24000549316406,167.55499267578125,168.0,16124600.0,,,,,
2024-08-20,184.0050048828125,187.68499755859372,174.0,174.34500122070312,25706000.0,,,,,
2024-08-21,179.875,184.2949981689453,179.26499938964844,182.15499877929688,10018600.0,,,,,
2024-08-22,174.74000549316406,179.67999267578125,174.4149932861328,179.6750030517578,6149200.0,,,,,
2024-08-23,175.375,177.57000732421875,173.11500549316406,175.60000610351562,7013400.0,,,,,
2024-08-26,173.55999755859375,177.32000732421875,172.73500061035156,174.86500549316406,6962800.0,,,,,
2024-08-27,175.09500122070312,175.6699981689453,171.67999267578125,172.125,3473000.0,,,,,
2024-08-28,175.22000122070312,176.38999938964844,173.0399932861328,174.73500061035156,3306600.0,,,,,
2024-08-29,179.10499572753906,183.0249938964844,176.11000061035156,176.4600067138672,5457000.0,,,,,
2024-08-30,181.3600006103516,181.4850006103516,177.28500366210938,179.2100067138672,5977200.0,,,,,
2024-09-03,177.53500366210938,182.75,176.47500610351562,179.77499389648438,5231600.0,,,,,
2024-09-04,173.0749969482422,174.02000427246094,169.0449981689453,171.64999389648438,6138400.0,,,,,
2024-09-05,171.8699951171875,172.92999267578125,169.53500366210938,171.6750030517578,3379000.0,,,,,
2024-09-06,167.91000366210938,173.51499938964844,166.9199981689453,172.5,4735200.0,,,,,
2024-09-09,172.02499389648438,172.46499633789062,168.8249969482422,169.4199981689453,4788600.0,,,,,
2024-09-10,173.7899932861328,174.05499267578125,170.03500366210938,173.5,4959800.0,,,,,
2024-09-11,170.88499450683594,173.24000549316406,166.35000610351562,173.24000549316406,6914000.0,,,,,
