Date,Close,High,Low,Open,Volume,"('Close', 'CDNS')","('High', 'CDNS')","('Low', 'CDNS')","('Open', 'CDNS')","('Volume', 'CDNS')"
2024-06-03,286.1499938964844,289.6700134277344,281.260009765625,287.3099975585937,1265700.0,,,,,
2024-06-04,287.1300048828125,289.8399963378906,283.75,288.3800048828125,1135400.0,,,,,
2024-06-05,296.4200134277344,297.1300048828125,287.42999267578125,287.989990234375,1890300.0,,,,,
2024-06-06,295.739990234375,299.0799865722656,295.07000732421875,296.7699890136719,1237000.0,,,,,
2024-06-07,294.4200134277344,299.3999938964844,293.5599975585937,297.3299865722656,997200.0,,,,,
2024-06-10,296.17999267578125,296.44000244140625,292.2200012207031,293.7300109863281,934200.0,,,,,
2024-06-11,300.8299865722656,301.9800109863281,294.5199890136719,295.0,1602200.0,,,,,
2024-06-12,311.70001220703125,312.739990234375,303.79998779296875,305.7200012207031,2137800.0,,,,,
2024-06-13,307.5400085449219,316.9200134277344,304.70001220703125,312.5899963378906,1564700.0,,,,,
2024-06-14,312.1000061035156,312.5799865722656,307.04998779296875,309.0899963378906,1428100.0,,,,,
2024-06-17,322.0799865722656,323.25,310.4800109863281,310.4800109863281,2250600.0,,,,,
2024-06-18,326.5,327.1099853515625,320.3900146484375,320.3900146484375,2415700.0,,,,,
2024-06-20,318.5299987792969,328.989990234375,317.6099853515625,328.7900085449219,1717300.0,,,,,
2024-06-21,318.3900146484375,319.5299987792969,313.7200012207031,319.42999267578125,2697700.0,,,,,
2024-06-24,309.1400146484375,317.5199890136719,309.1400146484375,317.5199890136719,1400500.0,,,,,
2024-06-25,311.5299987792969,311.75,307.1000061035156,310.0,1285700.0,,,,,
2024-06-26,309.3299865722656,312.2200012207031,308.3800048828125,310.0299987792969,1147800.0,,,,,
2024-06-27,307.9200134277344,313.3699951171875,307.6499938964844,311.44000244140625,1433300.0,,,,,
2024-06-28,307.75,313.0,307.4700012207031,308.4599914550781,2312600.0,,,,,
2024-07-01,310.9200134277344,311.9800109863281,304.1199951171875,307.75,1330100.0,,,,,
2024-07-02,316.7799987792969,317.2799987792969,310.9800109863281,314.0599975585937,1326200.0,,,,,
2024-07-03,315.4700012207031,318.8299865722656,314.6400146484375,315.1099853515625,673200.0,,,,,
2024-07-05,321.1099853515625,322.2799987792969,313.6000061035156,315.3699951171875,1126300.0,,,,,
2024-07-08,317.3599853515625,322.0,317.0,320.0,1010400.0,,,,,
2024-07-09,315.260009765625,319.8900146484375,313.42999267578125,319.44000244140625,822500.0,,,,,
2024-07-10,319.79998779296875,320.3399963378906,313.8999938964844,315.2099914550781,1222300.0,,,,,
2024-07-11,314.07000732421875,321.67999267578125,313.8999938964844,320.0,1368600.0,,,,,
2024-07-12,315.6700134277344,319.4599914550781,311.25,313.0899963378906,1098400.0,,,,,
2024-07-15,315.6300048828125,317.0,313.2300109863281,314.57000732421875,1076700.0,,,,,
2024-07-16,311.7300109863281,317.5400085449219,310.1000061035156,317.239990234375,1333000.0,,,,,
2024-07-17,288.1199951171875,305.5,287.8299865722656,305.4100036621094,3558700.0,,,,,
2024-07-18,277.8299865722656,289.4599914550781,273.1700134277344,289.3599853515625,4131900.0,,,,,
2024-07-19,279.95001220703125,280.8299865722656,276.1700134277344,280.8299865722656,2607300.0,,,,,
2024-07-22,287.0799865722656,289.0899963378906,282.7300109863281,283.6199951171875,3260000.0,,,,,
2024-07-23,282.989990234375,291.8299865722656,280.7699890136719,285.8599853515625,3342000.0,,,,,
2024-07-24,266.3399963378906,281.0299987792969,265.7699890136719,280.04998779296875,3086700.0,,,,,
2024-07-25,258.3800048828125,268.92999267578125,258.1600036621094,267.0,3483300.0,,,,,
2024-07-26,258.7900085449219,264.54998779296875,257.7799987792969,263.0400085449219,2605300.0,,,,,
2024-07-29,259.04998779296875,264.8099975585937,258.6000061035156,260.489990234375,1506000.0,,,,,
2024-07-30,253.1100006103516,260.760009765625,250.83999633789065,258.94000244140625,2859800.0,,,,,
2024-07-31,267.6600036621094,269.5199890136719,261.7900085449219,264.1700134277344,4149500.0,,,,,
2024-08-01,260.8099975585937,270.9200134277344,258.8999938964844,266.239990234375,2865500.0,,,,,
2024-08-02,249.6300048828125,257.0,241.4499969482422,253.30999755859372,4742000.0,,,,,
2024-08-05,246.83999633789065,250.67999267578125,241.2899932861328,249.44000244140625,4285600.0,,,,,
