Date,Close,High,Low,Open,Volume,"('Close', 'HCHL')","('High', 'HCHL')","('Low', 'HCHL')","('Open', 'HCHL')","('Volume', 'HCHL')"
2025-06-24,5.0,7.25,4.5,6.75,2899000.0,,,,,
2025-06-25,5.380000114440918,5.849999904632568,5.050000190734863,5.21999979019165,495700.0,,,,,
2025-06-26,5.199999809265137,5.380000114440918,4.789999961853027,5.199999809265137,486200.0,,,,,
2025-06-27,5.090000152587891,5.409999847412109,5.019999980926514,5.25,234700.0,,,,,
2025-06-30,5.130000114440918,5.400000095367432,4.679999828338623,5.360000133514404,574900.0,,,,,
2025-07-01,5.5980000495910645,5.699999809265137,4.96999979019165,5.139999866485596,668500.0,,,,,
2025-07-02,5.380000114440918,5.78000020980835,5.380000114440918,5.380000114440918,284300.0,,,,,
2025-07-03,5.440000057220459,5.659999847412109,5.341000080108643,5.420000076293945,263800.0,,,,,
2025-07-07,5.11299991607666,5.510000228881836,5.0,5.389999866485596,167600.0,,,,,
2025-07-08,5.125,5.24399995803833,4.920000076293945,5.11299991607666,164800.0,,,,,
2025-07-09,5.170000076293945,5.380000114440918,4.912000179290772,5.139999866485596,107500.0,,,,,
2025-07-10,5.050000190734863,5.25,4.849999904632568,5.25,105500.0,,,,,
2025-07-11,4.828000068664551,5.059999942779541,4.550000190734863,4.929999828338623,280800.0,,,,,
2025-07-14,4.659999847412109,5.0,4.559999942779541,5.0,270400.0,,,,,
2025-07-15,4.599999904632568,4.889999866485596,4.199999809265137,4.670000076293945,117300.0,,,,,
2025-07-16,4.309999942779541,4.809999942779541,4.079999923706055,4.460000038146973,291300.0,,,,,
2025-07-17,4.474999904632568,4.531000137329102,4.130000114440918,4.369999885559082,41100.0,,,,,
2025-07-18,4.679999828338623,4.78000020980835,4.340000152587891,4.340000152587891,32600.0,,,,,
2025-07-21,5.03000020980835,5.250999927520752,4.510000228881836,4.65500020980835,324000.0,,,,,
2025-07-22,4.409999847412109,5.150000095367432,4.355000019073486,5.03000020980835,405200.0,,,,,
2025-07-23,4.670000076293945,4.75,4.409999847412109,4.670000076293945,558900.0,,,,,
2025-07-24,4.5,4.760000228881836,4.449999809265137,4.690000057220459,128700.0,,,,,
2025-07-25,4.400000095367432,4.800000190734863,4.0,4.800000190734863,225000.0,,,,,
2025-07-28,4.255000114440918,4.53000020980835,4.210000038146973,4.335999965667725,48700.0,,,,,
2025-07-29,4.239999771118164,4.420000076293945,4.130000114440918,4.230000019073486,327600.0,,,,,
2025-07-30,4.289999961853027,4.400000095367432,4.119999885559082,4.239999771118164,65500.0,,,,,
