Date,Close,High,Low,Open,Volume,"('Close', 'ZS')","('High', 'ZS')","('Low', 'ZS')","('Open', 'ZS')","('Volume', 'ZS')"
2024-06-03,169.02000427246094,172.08999633789062,166.1699981689453,170.35000610351562,3573800.0,,,,,
2024-06-04,169.13999938964844,170.80999755859375,166.1199951171875,168.75,2314400.0,,,,,
2024-06-05,174.57000732421875,176.8000030517578,170.88999938964844,172.10000610351562,2857500.0,,,,,
2024-06-06,178.92999267578125,180.17999267578125,173.6300048828125,174.38999938964844,2741700.0,,,,,
2024-06-07,180.9900054931641,181.81399536132807,176.5,178.5,2128200.0,,,,,
2024-06-10,183.91000366210935,188.2449951171875,181.00999450683597,181.0500030517578,2980300.0,,,,,
2024-06-11,187.6499938964844,189.13999938964844,184.3350067138672,184.5,2385000.0,,,,,
2024-06-12,188.8300018310547,193.2700042724609,187.1000061035156,190.2899932861328,2785200.0,,,,,
2024-06-13,181.0500030517578,189.16000366210935,179.77000427246094,189.1499938964844,2705600.0,,,,,
2024-06-14,184.22000122070312,186.0,182.16000366210935,185.00999450683597,2529300.0,,,,,
2024-06-17,184.3800048828125,185.5800018310547,180.75999450683597,183.0,1790400.0,,,,,
2024-06-18,179.41000366210938,183.50999450683597,178.88999938964844,183.50999450683597,2294300.0,,,,,
2024-06-20,178.5800018310547,179.90699768066406,175.0500030517578,179.61000061035156,2021000.0,,,,,
2024-06-21,179.5500030517578,180.2400054931641,176.24099731445312,179.0,3194500.0,,,,,
2024-06-24,181.05999755859372,181.4199981689453,177.02000427246094,177.9199981689453,1647500.0,,,,,
2024-06-25,182.5200042724609,183.55999755859372,179.80999755859375,181.1499938964844,1490100.0,,,,,
2024-06-26,178.9199981689453,182.00999450683597,177.72000122070312,182.00999450683597,2047100.0,,,,,
2024-06-27,189.1999969482422,191.97000122070312,179.7100067138672,179.83999633789062,3186300.0,,,,,
2024-06-28,192.19000244140625,193.9600067138672,189.0,189.8800048828125,3002600.0,,,,,
2024-07-01,198.6199951171875,199.2100067138672,191.7899932861328,193.0,3074200.0,,,,,
2024-07-02,196.66000366210935,199.375,194.7079925537109,197.6000061035156,1725000.0,,,,,
2024-07-03,198.3999938964844,200.3600006103516,196.9900054931641,196.9900054931641,855400.0,,,,,
2024-07-05,201.6499938964844,203.75,197.50999450683597,198.0,1693400.0,,,,,
2024-07-08,201.6300048828125,201.9199981689453,195.4600067138672,200.7700042724609,1912100.0,,,,,
2024-07-09,197.3600006103516,202.88699340820312,194.58999633789065,201.32000732421875,1559300.0,,,,,
2024-07-10,197.3699951171875,197.9499969482422,191.16000366210935,197.75,1909200.0,,,,,
2024-07-11,195.9199981689453,203.4199981689453,194.3800048828125,198.3000030517578,1472400.0,,,,,
2024-07-12,201.8999938964844,202.9900054931641,195.8000030517578,196.16000366210935,2406200.0,,,,,
2024-07-15,204.47000122070312,208.13999938964844,200.0200042724609,202.6499938964844,2555300.0,,,,,
2024-07-16,203.1199951171875,205.47999572753903,197.3300018310547,201.94000244140625,2058900.0,,,,,
2024-07-17,194.92999267578125,199.82000732421875,193.0800018310547,199.08999633789065,2055000.0,,,,,
2024-07-18,190.3699951171875,196.7100067138672,188.3000030517578,194.9600067138672,1757400.0,,,,,
2024-07-19,188.5399932861328,191.97000122070312,186.5,188.9600067138672,1624900.0,,,,,
2024-07-22,188.41000366210935,194.82000732421875,186.2700042724609,191.05999755859372,1615400.0,,,,,
2024-07-23,191.07000732421875,192.6300048828125,188.0850067138672,188.2700042724609,1293900.0,,,,,
2024-07-24,181.82000732421875,190.3179931640625,181.3600006103516,189.6999969482422,1611100.0,,,,,
2024-07-25,182.0,187.1000061035156,178.2899932861328,182.1100006103516,1776900.0,,,,,
2024-07-26,181.3600006103516,184.77999877929688,179.60499572753906,184.77999877929688,1026900.0,,,,,
2024-07-29,181.1499938964844,183.7400054931641,180.6699981689453,182.50999450683597,927100.0,,,,,
2024-07-30,176.75,183.0330047607422,173.64999389648438,182.2400054931641,1152500.0,,,,,
2024-07-31,179.35000610351562,181.66000366210935,177.6199951171875,180.1499938964844,1137500.0,,,,,
2024-08-01,174.44000244140625,180.3800048828125,172.80999755859375,178.6199951171875,1187000.0,,,,,
2024-08-02,169.52000427246094,169.74000549316406,164.47000122070312,168.25999450683594,2166300.0,,,,,
