Date,Close,High,Low,Open,Volume,"('Close', 'MNRO')","('High', 'MNRO')","('Low', 'MNRO')","('Open', 'MNRO')","('Volume', 'MNRO')"
2024-06-03,22.920610427856445,23.06812829113125,21.970962644292197,22.06316174847686,869700.0,,,,,
2024-06-04,22.687488555908203,22.80871151034382,22.118668913086765,22.77141282381904,581000.0,,,,,
2024-06-05,22.98588180541992,23.10710652073508,22.33313976860284,22.75275926828872,596400.0,,,,,
2024-06-06,23.041831970214844,23.07913243190588,22.45436392725234,22.79938608355876,697300.0,,,,,
2024-06-07,23.405502319335938,23.51740013749773,22.68748450156003,22.68748450156003,560800.0,,,,,
2024-06-10,23.09778213500977,23.7132255101788,22.901958272773875,23.125755702054988,654500.0,,,,,
2024-06-11,23.18170738220215,23.452128620483556,22.48233971889597,22.995208627220254,550000.0,,,,,
2024-06-12,23.088455200195312,24.906809836768517,22.89263135339233,23.778497664075697,583400.0,,,,,
2024-06-13,22.873987197875977,23.04183395418601,22.407742058096407,23.04183395418601,578500.0,,,,,
2024-06-14,22.58491325378418,22.901960081619425,22.13731835986995,22.61288860162282,589500.0,,,,,
2024-06-17,22.20259094238281,22.48233906674087,21.93216971194564,22.463688836066886,715600.0,,,,,
2024-06-18,21.848243713378903,22.6315355534973,21.61512118426233,22.137315151480013,925300.0,,,,,
2024-06-20,21.288753509521484,21.73634842732705,21.092931399950587,21.70837485657927,1124400.0,,,,,
2024-06-21,21.549848556518555,22.0067685297528,21.251451984494874,21.3540246945131,3257100.0,,,,,
2024-06-24,22.46368789672852,22.603561063766684,21.54984797492309,21.74567005305976,756300.0,,,,,
2024-06-25,21.60579872131348,22.183943447054236,21.391326395064475,22.183943447054236,754900.0,,,,,
2024-06-26,21.652421951293945,21.680397297774835,21.22347731009051,21.46592497717312,618000.0,,,,,
2024-06-27,21.531198501586918,21.88554398910676,21.176851235483184,21.88554398910676,419300.0,,,,,
2024-06-28,22.249216079711918,22.33314033750369,21.643096044863803,21.680396505475198,723400.0,,,,,
