Date,Close,High,Low,Open,Volume,"('Close', 'ONMD')","('High', 'ONMD')","('Low', 'ONMD')","('Open', 'ONMD')","('Volume', 'ONMD')"
2024-06-03,2.049999952316284,2.319999933242798,2.009999990463257,2.289999961853028,1871700.0,,,,,
2024-06-04,1.8200000524520876,2.069999933242798,1.7899999618530271,2.069999933242798,887600.0,,,,,
2024-06-05,1.600000023841858,1.840000033378601,1.590000033378601,1.7999999523162842,1010200.0,,,,,
2024-06-06,1.8600000143051147,2.1600000858306885,1.649999976158142,1.809999942779541,9408100.0,,,,,
2024-06-07,1.75,1.870000004768372,1.659999966621399,1.7000000476837158,692700.0,,,,,
2024-06-10,1.409999966621399,1.75,1.3700000047683716,1.75,824500.0,,,,,
2024-06-11,1.3700000047683716,1.434999942779541,1.2350000143051147,1.3899999856948853,335600.0,,,,,
2024-06-12,1.350000023841858,1.468000054359436,1.3359999656677246,1.3799999952316284,372200.0,,,,,
2024-06-13,1.215000033378601,1.340000033378601,1.159999966621399,1.2999999523162842,381000.0,,,,,
2024-06-14,1.2000000476837158,1.5299999713897705,1.1799999475479126,1.3700000047683716,4868400.0,,,,,
2024-06-17,1.2300000190734863,1.2999999523162842,1.0499999523162842,1.1299999952316284,649700.0,,,,,
2024-06-18,1.2300000190734863,1.2699999809265137,1.159999966621399,1.1799999475479126,227800.0,,,,,
2024-06-20,1.2200000286102295,1.2699999809265137,1.159999966621399,1.2699999809265137,154200.0,,,,,
2024-06-21,1.159999966621399,1.1699999570846558,1.1200000047683716,1.1699999570846558,300000.0,,,,,
2024-06-24,0.9800000190734864,1.149999976158142,0.9700000286102296,1.149999976158142,337900.0,,,,,
2024-06-25,0.9160000085830688,1.0099999904632568,0.9100000262260436,0.959999978542328,215400.0,,,,,
2024-06-26,0.9100000262260436,0.9350000023841858,0.8389999866485596,0.8999999761581421,253900.0,,,,,
2024-06-27,1.0,1.0299999713897705,0.871999979019165,0.9100000262260436,322300.0,,,,,
2024-06-28,0.9829999804496764,1.0149999856948853,0.949999988079071,0.9800000190734864,68800.0,,,,,
2024-07-01,0.9330000281333924,0.9829999804496764,0.9229999780654908,0.9610000252723694,102400.0,,,,,
2024-07-02,0.9120000004768372,0.9800000190734864,0.9110000133514404,0.9800000190734864,79800.0,,,,,
