Date,Close,High,Low,Open,Volume,"('Close', 'QCLS')","('High', 'QCLS')","('Low', 'QCLS')","('Open', 'QCLS')","('Volume', 'QCLS')"
2024-06-03,196.0,197.0,182.0,185.0,555.0,,,,,
2024-06-04,191.0,197.8000030517578,184.0,187.0,395.0,,,,,
2024-06-05,215.0,220.0,192.0,195.0,1675.0,,,,,
2024-06-06,191.0,210.0,190.0,208.0,700.0,,,,,
2024-06-07,195.0,204.0,186.5,189.0,260.0,,,,,
2024-06-10,206.0,215.0,191.0,191.0,616.0,,,,,
2024-06-11,193.0,208.0,193.0,204.0,163.0,,,,,
2024-06-12,204.0,214.0,192.0,200.0,465.0,,,,,
2024-06-13,218.0,220.0,204.3000030517578,205.0,200.0,,,,,
2024-06-14,219.0,219.5,212.0,216.0,361.0,,,,,
2024-06-17,224.0,224.0,211.0,217.0,207.0,,,,,
2024-06-18,211.0,218.0,211.0,218.0,222.0,,,,,
2024-06-20,195.5,211.0,195.5,211.0,230.0,,,,,
2024-06-21,194.0,205.0,194.0,200.0,295.0,,,,,
2024-06-24,186.0,199.0,186.0,190.0,406.0,,,,,
2024-06-25,185.0,188.0,181.0,185.0,140.0,,,,,
2024-06-26,189.0,205.0,185.0,186.0,162.0,,,,,
2024-06-27,183.0,196.0,182.0,196.0,258.0,,,,,
2024-06-28,184.0,186.1000061035156,175.0,183.0,339.0,,,,,
2024-07-01,184.0,192.6000061035156,177.0,190.0,232.0,,,,,
2024-07-02,182.3000030517578,190.0,180.0,184.0,99.0,,,,,
2024-07-03,180.0,182.5,180.0,181.0,48.0,,,,,
2024-07-05,181.0,187.0,176.5,177.0,165.0,,,,,
2024-07-08,179.0,186.0,178.8000030517578,186.0,184.0,,,,,
2024-07-09,180.1999969482422,187.8999938964844,180.0,183.0,109.0,,,,,
2024-07-10,180.0,186.0,178.0,180.0,302.0,,,,,
2024-07-11,178.0,182.0,178.0,180.0,96.0,,,,,
2024-07-12,180.0,181.0,178.0,178.0,165.0,,,,,
2024-07-15,181.0,184.0,178.0,179.0,199.0,,,,,
2024-07-16,190.0,195.0,184.0,185.0,342.0,,,,,
