Date,Close,High,Low,Open,Volume,"('Close', 'CHTR')","('High', 'CHTR')","('Low', 'CHTR')","('Open', 'CHTR')","('Volume', 'CHTR')"
2024-06-03,286.2200012207031,289.6199951171875,282.510009765625,287.25,751900.0,,,,,
2024-06-04,280.6000061035156,285.3500061035156,280.17999267578125,284.510009765625,699800.0,,,,,
2024-06-05,278.1000061035156,281.4100036621094,276.0899963378906,281.29998779296875,740800.0,,,,,
2024-06-06,279.3599853515625,286.3699951171875,277.5299987792969,277.5299987792969,783100.0,,,,,
2024-06-07,276.8299865722656,280.7699890136719,275.7799987792969,276.7699890136719,945500.0,,,,,
2024-06-10,276.07000732421875,276.6199951171875,272.6000061035156,275.3599853515625,889300.0,,,,,
2024-06-11,276.8299865722656,278.4599914550781,273.32000732421875,273.8599853515625,792700.0,,,,,
2024-06-12,275.0599975585937,285.1499938964844,272.7300109863281,281.239990234375,1095300.0,,,,,
2024-06-13,274.1700134277344,274.989990234375,273.0400085449219,274.0,592200.0,,,,,
2024-06-14,276.260009765625,276.8500061035156,272.489990234375,272.67999267578125,920700.0,,,,,
2024-06-17,285.95001220703125,286.260009765625,273.5799865722656,275.0,1326500.0,,,,,
2024-06-18,277.6199951171875,292.54998779296875,277.3900146484375,284.5299987792969,1063400.0,,,,,
2024-06-20,284.0,285.5,277.1000061035156,277.94000244140625,979200.0,,,,,
2024-06-21,290.3500061035156,292.67999267578125,285.79998779296875,286.94000244140625,2057200.0,,,,,
2024-06-24,285.8500061035156,293.0199890136719,284.92999267578125,288.92999267578125,1762500.0,,,,,
2024-06-25,290.79998779296875,291.2900085449219,282.17999267578125,284.1499938964844,1465900.0,,,,,
2024-06-26,291.5899963378906,292.6199951171875,288.239990234375,288.6700134277344,804800.0,,,,,
2024-06-27,294.1099853515625,297.4200134277344,288.6499938964844,291.5899963378906,931500.0,,,,,
2024-06-28,298.9599914550781,306.4599914550781,295.0599975585937,296.2200012207031,4560600.0,,,,,
2024-07-01,296.0199890136719,297.8900146484375,290.2699890136719,292.79998779296875,1084300.0,,,,,
2024-07-02,303.5,303.7200012207031,294.1499938964844,296.2900085449219,1156500.0,,,,,
2024-07-03,301.25,303.5,298.1300048828125,301.8399963378906,564100.0,,,,,
2024-07-05,301.7900085449219,304.0,300.5,301.8900146484375,852500.0,,,,,
2024-07-08,290.5599975585937,302.3699951171875,286.6600036621094,301.75,1249000.0,,,,,
2024-07-09,293.9100036621094,297.3900146484375,287.19000244140625,288.510009765625,863200.0,,,,,
2024-07-10,293.95001220703125,296.760009765625,287.6300048828125,294.20001220703125,1280400.0,,,,,
2024-07-11,304.1400146484375,304.70001220703125,294.3900146484375,295.25,1517700.0,,,,,
2024-07-12,311.0400085449219,312.6199951171875,303.7699890136719,306.75,1138400.0,,,,,
2024-07-15,324.5899963378906,325.5199890136719,310.4800109863281,312.7099914550781,1842800.0,,,,,
2024-07-16,327.4200134277344,328.4100036621094,319.2699890136719,324.5899963378906,1516700.0,,,,,
2024-07-17,330.29998779296875,333.75,323.8099975585937,324.6700134277344,1469300.0,,,,,
2024-07-18,321.6300048828125,335.6000061035156,321.5599975585937,329.0,1303900.0,,,,,
2024-07-19,320.3099975585937,322.8699951171875,316.2200012207031,321.489990234375,1113300.0,,,,,
2024-07-22,312.9700012207031,319.42999267578125,306.3599853515625,318.7099914550781,1768200.0,,,,,
2024-07-23,320.0400085449219,323.8999938964844,304.760009765625,314.6499938964844,1964600.0,,,,,
2024-07-24,312.6600036621094,320.8399963378906,310.2300109863281,320.8399963378906,1988600.0,,,,,
2024-07-25,315.2300109863281,323.8999938964844,314.0,317.7699890136719,1554300.0,,,,,
2024-07-26,367.6199951171875,378.010009765625,355.0,357.739990234375,4962600.0,,,,,
2024-07-29,377.3599853515625,381.9500122070313,365.1799926757813,366.5199890136719,2051300.0,,,,,
2024-07-30,383.0700073242188,385.1400146484375,372.7900085449219,377.8500061035156,1584500.0,,,,,
2024-07-31,379.7200012207031,386.2799987792969,375.6400146484375,382.739990234375,1381400.0,,,,,
2024-08-01,376.9700012207031,382.5,373.260009765625,381.1400146484375,1091000.0,,,,,
2024-08-02,373.1600036621094,379.2900085449219,368.489990234375,377.3399963378906,1338500.0,,,,,
2024-08-05,363.5,373.1600036621094,360.6700134277344,365.4500122070313,1329800.0,,,,,
2024-08-06,356.7799987792969,368.6400146484375,356.20001220703125,360.75,1356900.0,,,,,
2024-08-07,353.94000244140625,366.739990234375,353.75,358.2099914550781,1327200.0,,,,,
2024-08-08,363.9400024414063,364.1499938964844,352.6700134277344,354.04998779296875,917900.0,,,,,
2024-08-09,364.4100036621094,367.30999755859375,357.9700012207031,361.760009765625,788000.0,,,,,
2024-08-12,350.760009765625,365.4800109863281,350.0299987792969,364.4100036621094,976300.0,,,,,
2024-08-13,357.0,358.95001220703125,351.8699951171875,354.3599853515625,590500.0,,,,,
2024-08-14,351.2200012207031,357.25,350.5400085449219,353.9700012207031,698300.0,,,,,
2024-08-15,352.010009765625,355.82000732421875,349.1499938964844,352.92999267578125,651500.0,,,,,
2024-08-16,353.3099975585937,356.5400085449219,351.17999267578125,353.1700134277344,658600.0,,,,,
2024-08-19,355.0599975585937,359.9200134277344,353.3500061035156,355.4599914550781,830000.0,,,,,
2024-08-20,347.32000732421875,354.510009765625,346.1099853515625,353.0199890136719,748500.0,,,,,
2024-08-21,345.19000244140625,348.82000732421875,344.3999938964844,347.7699890136719,752700.0,,,,,
2024-08-22,340.32000732421875,345.6600036621094,336.0199890136719,345.3599853515625,911700.0,,,,,
2024-08-23,348.7300109863281,350.510009765625,340.6700134277344,345.82000732421875,615400.0,,,,,
2024-08-26,355.3699951171875,357.2099914550781,349.2200012207031,349.2200012207031,757100.0,,,,,
2024-08-27,360.7699890136719,363.2699890136719,355.2699890136719,356.1099853515625,1037900.0,,,,,
2024-08-28,355.79998779296875,362.1600036621094,354.04998779296875,359.67999267578125,591200.0,,,,,
2024-08-29,351.5299987792969,358.2300109863281,350.739990234375,358.2300109863281,847200.0,,,,,
2024-08-30,347.5400085449219,354.7200012207031,344.94000244140625,354.7200012207031,1030700.0,,,,,
2024-09-03,346.4200134277344,349.7200012207031,342.82000732421875,345.5299987792969,1328100.0,,,,,
2024-09-04,331.6400146484375,355.510009765625,329.3399963378906,348.5199890136719,1767500.0,,,,,
2024-09-05,330.7799987792969,334.2699890136719,323.20001220703125,334.2699890136719,1533600.0,,,,,
2024-09-06,327.42999267578125,337.95001220703125,324.3500061035156,331.4100036621094,1208400.0,,,,,
2024-09-09,324.8399963378906,330.1400146484375,323.2099914550781,327.1300048828125,756700.0,,,,,
2024-09-10,323.3900146484375,327.1499938964844,318.69000244140625,327.1499938964844,746600.0,,,,,
