Date,Close,High,Low,Open,Volume,"('Close', 'FDMT')","('High', 'FDMT')","('Low', 'FDMT')","('Open', 'FDMT')","('Volume', 'FDMT')"
2024-06-03,24.729999542236328,25.399999618530277,23.739999771118164,24.3700008392334,627200.0,,,,,
2024-06-04,24.799999237060547,25.059999465942383,24.1200008392334,24.799999237060547,415400.0,,,,,
2024-06-05,27.280000686645508,27.350000381469727,24.739999771118164,25.01000022888184,522000.0,,,,,
2024-06-06,22.56999969482422,24.88999938964844,22.26499938964844,22.34000015258789,1143100.0,,,,,
2024-06-07,22.71999931335449,23.325000762939453,21.540000915527344,22.25,774500.0,,,,,
2024-06-10,22.56999969482422,22.875,21.80500030517578,22.420000076293945,680500.0,,,,,
2024-06-11,23.290000915527344,23.76000022888184,22.299999237060547,22.299999237060547,720500.0,,,,,
2024-06-12,24.06999969482422,24.790000915527344,23.76000022888184,24.309999465942383,454100.0,,,,,
2024-06-13,24.40999984741211,25.0,23.6200008392334,23.6200008392334,266800.0,,,,,
2024-06-14,23.6299991607666,24.3799991607666,23.5,24.049999237060547,365600.0,,,,,
2024-06-17,23.799999237060547,24.46999931335449,23.450000762939453,23.450000762939453,410600.0,,,,,
2024-06-18,22.780000686645508,23.63999938964844,22.5,23.63999938964844,411900.0,,,,,
2024-06-20,22.61000061035156,22.8700008392334,22.020000457763672,22.709999084472656,396000.0,,,,,
2024-06-21,22.940000534057617,23.1200008392334,22.059999465942383,22.88999938964844,1377100.0,,,,,
2024-06-24,23.25,23.649999618530277,22.690000534057617,22.88999938964844,357100.0,,,,,
2024-06-25,22.0,23.239999771118164,21.86000061035156,23.13999938964844,1225100.0,,,,,
2024-06-26,21.01000022888184,22.09000015258789,20.649999618530277,21.93000030517578,832400.0,,,,,
2024-06-27,20.93000030517578,21.07999992370605,20.32999992370605,21.01000022888184,618400.0,,,,,
2024-06-28,20.989999771118164,21.15999984741211,20.39699935913086,20.950000762939453,2621800.0,,,,,
2024-07-01,21.34000015258789,21.739999771118164,20.700000762939453,20.950000762939453,524800.0,,,,,
