Date,Close,High,Low,Open,Volume,"('Close', 'ARAY')","('High', 'ARAY')","('Low', 'ARAY')","('Open', 'ARAY')","('Volume', 'ARAY')"
2024-06-03,1.7000000476837158,1.7699999809265137,1.690000057220459,1.7699999809265137,724400.0,,,,,
2024-06-04,1.7100000381469729,1.7200000286102295,1.6799999475479126,1.6799999475479126,309000.0,,,,,
2024-06-05,1.7400000095367432,1.75,1.7100000381469729,1.7300000190734863,455900.0,,,,,
2024-06-06,1.809999942779541,1.830000042915344,1.7300000190734863,1.7400000095367432,490300.0,,,,,
2024-06-07,1.7799999713897705,1.830000042915344,1.7599999904632568,1.7699999809265137,580500.0,,,,,
2024-06-10,1.7799999713897705,1.8200000524520876,1.7599999904632568,1.7599999904632568,543200.0,,,,,
2024-06-11,1.7799999713897705,1.7799999713897705,1.7100000381469729,1.7599999904632568,586100.0,,,,,
2024-06-12,1.850000023841858,1.9700000286102293,1.8200000524520876,1.830000042915344,737100.0,,,,,
2024-06-13,1.7599999904632568,1.9299999475479128,1.75,1.8600000143051147,475200.0,,,,,
2024-06-14,1.7300000190734863,1.7699999809265137,1.7100000381469729,1.7300000190734863,389000.0,,,,,
2024-06-17,1.870000004768372,1.8799999952316284,1.7000000476837158,1.7400000095367432,544000.0,,,,,
2024-06-18,1.7400000095367432,1.919999957084656,1.7400000095367432,1.919999957084656,374200.0,,,,,
2024-06-20,1.830000042915344,1.840000033378601,1.7400000095367432,1.75,429400.0,,,,,
2024-06-21,1.8799999952316284,1.919999957084656,1.840000033378601,1.8600000143051147,566000.0,,,,,
2024-06-24,1.7000000476837158,1.8899999856948853,1.7000000476837158,1.8799999952316284,641200.0,,,,,
2024-06-25,1.649999976158142,1.7300000190734863,1.6399999856948853,1.690000057220459,350900.0,,,,,
2024-06-26,1.7899999618530271,1.7899999618530271,1.649999976158142,1.659999966621399,423700.0,,,,,
2024-06-27,1.7899999618530271,1.830000042915344,1.7300000190734863,1.7999999523162842,337000.0,,,,,
2024-06-28,1.8200000524520876,1.8600000143051147,1.75,1.809999942779541,1356100.0,,,,,
2024-07-01,1.7599999904632568,1.850000023841858,1.7200000286102295,1.830000042915344,424600.0,,,,,
2024-07-02,1.75,1.7599999904632568,1.6799999475479126,1.7400000095367432,411000.0,,,,,
2024-07-03,1.7300000190734863,1.7899999618530271,1.7300000190734863,1.75,221900.0,,,,,
2024-07-05,1.7200000286102295,1.7300000190734863,1.690000057220459,1.7100000381469729,606400.0,,,,,
2024-07-08,1.75,1.8200000524520876,1.7200000286102295,1.75,392200.0,,,,,
2024-07-09,1.7000000476837158,1.7400000095367432,1.6799999475479126,1.7300000190734863,322200.0,,,,,
2024-07-10,1.690000057220459,1.7300000190734863,1.659999966621399,1.7100000381469729,294800.0,,,,,
2024-07-11,1.9700000286102293,1.9800000190734863,1.7300000190734863,1.7400000095367432,1170100.0,,,,,
2024-07-12,1.9700000286102293,2.0,1.870000004768372,1.9700000286102293,623700.0,,,,,
2024-07-15,1.919999957084656,2.0,1.8600000143051147,2.0,342200.0,,,,,
2024-07-16,2.069999933242798,2.0899999141693115,1.940000057220459,1.950000047683716,907700.0,,,,,
2024-07-17,1.950000047683716,2.0899999141693115,1.940000057220459,2.049999952316284,497100.0,,,,,
2024-07-18,1.7999999523162842,1.9600000381469729,1.7799999713897705,1.9299999475479128,730100.0,,,,,
2024-07-19,1.7999999523162842,1.840000033378601,1.7699999809265137,1.8200000524520876,290600.0,,,,,
2024-07-22,1.950000047683716,1.9700000286102293,1.7599999904632568,1.7899999618530271,630000.0,,,,,
