Date,Close,High,Low,Open,Volume,"('Close', 'RWT')","('High', 'RWT')","('Low', 'RWT')","('Open', 'RWT')","('Volume', 'RWT')"
2024-06-03,5.411480903625488,5.496167536738227,5.386075115600526,5.479230210115679,848800.0,,,,,
2024-06-04,5.445355415344238,5.5300424500736565,5.394543436797213,5.428418089161896,792200.0,,,,,
2024-06-05,5.496167182922363,5.504636047597313,5.428417880793535,5.479229857390156,806800.0,,,,,
2024-06-06,5.428418159484863,5.496167465091896,5.428418159484863,5.4368870245946,343300.0,,,,,
2024-06-07,5.360669136047363,5.386075328896163,5.335263347016299,5.360669136047363,454900.0,,,,,
2024-06-10,5.318325519561768,5.352200170962606,5.301388193861348,5.309856654802709,455800.0,,,,,
2024-06-11,5.30985689163208,5.360668870999646,5.284450700039439,5.352200409680576,718000.0,,,,,
2024-06-12,5.487699031829834,5.530042549959367,5.436887052365023,5.436887052365023,1230800.0,,,,,
2024-06-13,5.521573066711426,5.530041930916399,5.428417579545076,5.462292228729627,1053000.0,,,,,
2024-06-14,5.504636287689209,5.563917131546392,5.462292770102977,5.462292770102977,1264100.0,,,,,
2024-06-17,5.648603439331055,5.657071900072574,5.462292457205376,5.462292457205376,899000.0,,,,,
2024-06-18,5.546979427337647,5.657071838688936,5.52157323775339,5.648603378039306,934900.0,,,,,
2024-06-20,5.496167182922363,5.546979563336678,5.470761396532899,5.504636047597313,1483900.0,,,,,
2024-06-21,5.4961676597595215,5.5308985443374015,5.452754261049573,5.504850587916393,2613300.0,,,,,
2024-06-24,5.548264026641846,5.582994911470213,5.496167699399294,5.496167699399294,861300.0,,,,,
2024-06-25,5.565629482269287,5.582994924724699,5.504850640687752,5.5308985973584655,656200.0,,,,,
2024-06-26,5.522215843200684,5.556946726602434,5.504850401499808,5.530898357038727,735900.0,,,,,
2024-06-27,5.556946754455566,5.574312196243483,5.4874849873039,5.53958131266765,827200.0,,,,,
2024-06-28,5.635090827941895,5.6437737555284455,5.522215667490155,5.609042873231791,2065900.0,,,,,
2024-07-01,5.530898571014404,5.661139595822043,5.461436801523612,5.626408711076646,1068100.0,,,,,
2024-07-02,5.591677665710449,5.617725621508868,5.539581340088821,5.556946781962697,559200.0,,,,,
2024-07-03,5.60036039352417,5.626408764342221,5.556946994193829,5.582994950987072,308900.0,,,,,
2024-07-05,5.60036039352417,5.652457135160272,5.556946994193829,5.582994950987072,592300.0,,,,,
2024-07-08,5.635090827941895,5.652456683114997,5.574311990935136,5.626408314380119,952900.0,,,,,
2024-07-09,5.669822692871094,5.669822692871094,5.582995064397026,5.617725950176726,565300.0,,,,,
