Date,Close,High,Low,Open,Volume,"('Close', 'TBLA')","('High', 'TBLA')","('Low', 'TBLA')","('Open', 'TBLA')","('Volume', 'TBLA')"
2024-06-03,3.890000104904175,4.03000020980835,3.869999885559082,4.010000228881836,806300.0,,,,,
2024-06-04,3.740000009536743,3.839999914169312,3.7300000190734863,3.819999933242798,1066700.0,,,,,
2024-06-05,3.759999990463257,3.7699999809265137,3.734999895095825,3.75,1066000.0,,,,,
2024-06-06,3.75,3.900000095367432,3.7200000286102295,3.75,1839000.0,,,,,
2024-06-07,3.680000066757202,3.775000095367432,3.660000085830689,3.75,891600.0,,,,,
2024-06-10,3.5999999046325684,3.650000095367432,3.549999952316284,3.640000104904175,791100.0,,,,,
2024-06-11,3.7300000190734863,3.7699999809265137,3.660000085830689,3.680000066757202,793800.0,,,,,
2024-06-12,3.799999952316284,3.880000114440918,3.775000095367432,3.7899999618530273,445100.0,,,,,
2024-06-13,3.700000047683716,3.799999952316284,3.700000047683716,3.799999952316284,699400.0,,,,,
2024-06-14,3.660000085830689,3.7100000381469727,3.650000095367432,3.690000057220459,810900.0,,,,,
2024-06-17,3.5299999713897705,3.619999885559082,3.490000009536743,3.619999885559082,1012900.0,,,,,
2024-06-18,3.430000066757202,3.5,3.4200000762939453,3.4800000190734863,575000.0,,,,,
2024-06-20,3.380000114440918,3.430000066757202,3.359999895095825,3.430000066757202,497900.0,,,,,
2024-06-21,3.380000114440918,3.434999942779541,3.359999895095825,3.380000114440918,1132100.0,,,,,
2024-06-24,3.400000095367432,3.4200000762939453,3.365000009536743,3.380000114440918,493700.0,,,,,
2024-06-25,3.380000114440918,3.400000095367432,3.3310000896453857,3.400000095367432,347700.0,,,,,
2024-06-26,3.4100000858306885,3.430000066757202,3.345000028610229,3.3499999046325684,1019700.0,,,,,
2024-06-27,3.4100000858306885,3.414999961853028,3.359999895095825,3.400000095367432,226700.0,,,,,
2024-06-28,3.440000057220459,3.490000009536743,3.359999895095825,3.400000095367432,417600.0,,,,,
2024-07-01,3.4100000858306885,3.4749999046325684,3.3399999141693115,3.450000047683716,442000.0,,,,,
2024-07-02,3.450000047683716,3.470000028610229,3.365000009536743,3.4100000858306885,294800.0,,,,,
2024-07-03,3.470000028610229,3.4749999046325684,3.4100000858306885,3.450000047683716,291500.0,,,,,
2024-07-05,3.3399999141693115,3.450000047683716,3.2950000762939453,3.440000057220459,448900.0,,,,,
2024-07-08,3.299999952316284,3.400000095367432,3.289999961853028,3.3399999141693115,609200.0,,,,,
2024-07-09,3.2799999713897705,3.359999895095825,3.259999990463257,3.3499999046325684,490500.0,,,,,
2024-07-10,3.2100000381469727,3.3299999237060547,3.190000057220459,3.299999952316284,703600.0,,,,,
