Date,Close,High,Low,Open,Volume,"('Close', 'HOLO')","('High', 'HOLO')","('Low', 'HOLO')","('Open', 'HOLO')","('Volume', 'HOLO')"
2024-06-03,1200.0,1328.0,1168.0,1312.0,23928.0,,,,,
2024-06-04,1584.0,1600.0,1160.0,1192.0,65937.0,,,,,
2024-06-05,1336.0,1488.0,1288.0,1480.0,33077.0,,,,,
2024-06-06,1400.0,1472.0,1216.0,1352.0,19955.0,,,,,
2024-06-07,1312.0,1432.0,1280.0,1400.0,22449.0,,,,,
2024-06-10,1240.0,1312.0,1200.0,1304.0,15619.0,,,,,
2024-06-11,1184.0,1216.0,1128.0,1216.0,16910.0,,,,,
2024-06-12,1104.0,1216.0,1096.0,1152.0,21093.0,,,,,
2024-06-13,1120.0,1192.0,1080.0,1112.0,14696.0,,,,,
2024-06-14,1056.0,1152.0,1048.0,1152.0,17765.0,,,,,
2024-06-17,944.0,1056.0,936.0,1048.0,23195.0,,,,,
2024-06-18,756.0,936.0,736.0,904.0,38012.0,,,,,
2024-06-20,776.0,960.0,700.7999877929688,712.0,39888.0,,,,,
2024-06-21,775.2000122070312,832.0,756.7999877929688,808.0,16430.0,,,,,
2024-06-24,856.0,864.0,756.7999877929688,792.0,20663.0,,,,,
2024-06-25,755.2000122070312,968.0,720.0,880.0,42595.0,,,,,
2024-06-26,749.5999755859375,771.2000122070312,728.0,744.7999877929688,12127.0,,,,,
2024-06-27,644.0,760.0,608.0,758.4000244140625,34585.0,,,,,
2024-06-28,656.7999877929688,704.0,645.5999755859375,659.2000122070312,15445.0,,,,,
2024-07-01,739.2000122070312,790.4000244140625,668.7999877929688,671.2000122070312,35966.0,,,,,
2024-07-02,712.7999877929688,848.0,695.2000122070312,768.0,26175.0,,,,,
2024-07-03,760.0,777.5999755859375,712.0,721.5999755859375,15071.0,,,,,
2024-07-05,640.0,780.0,616.0,776.0,34465.0,,,,,
2024-07-08,654.4000244140625,690.4000244140625,628.0,663.2000122070312,18732.0,,,,,
2024-07-09,644.0,653.5999755859375,624.7999877929688,644.7999877929688,12778.0,,,,,
2024-07-10,512.7999877929688,624.0,440.7999877929688,624.0,59602.0,,,,,
2024-07-11,532.0,548.0,472.7999877929688,496.0,20704.0,,,,,
2024-07-12,492.0,535.2000122070312,464.0,532.0,22976.0,,,,,
2024-07-15,511.2000122070313,528.0,472.7999877929688,488.7999877929688,18050.0,,,,,
2024-07-16,484.7999877929688,511.2000122070313,472.0,500.7999877929688,17677.0,,,,,
2024-07-17,468.7999877929688,496.0,464.0,496.0,13976.0,,,,,
2024-07-18,424.7999877929688,480.0,408.0,471.2000122070313,25657.0,,,,,
2024-07-19,430.3999938964844,459.2000122070313,408.0,423.2000122070313,15643.0,,,,,
2024-07-22,372.7999877929688,446.3999938964844,364.0,446.3999938964844,32981.0,,,,,
2024-07-23,468.0,576.0,328.0,361.6000061035156,169453.0,,,,,
2024-07-24,363.2000122070313,459.2000122070313,351.20001220703125,459.2000122070313,44990.0,,,,,
2024-07-25,424.0,452.0,348.0,352.0,81377.0,,,,,
2024-07-26,393.6000061035156,424.0,377.6000061035156,416.7999877929688,23153.0,,,,,
2024-07-29,356.0,408.0,348.0,405.6000061035156,22724.0,,,,,
2024-07-30,339.20001220703125,393.6000061035156,328.0,361.6000061035156,26474.0,,,,,
2024-07-31,366.3999938964844,388.0,340.79998779296875,344.0,30484.0,,,,,
2024-08-01,339.20001220703125,420.7999877929688,330.3999938964844,375.2000122070313,35847.0,,,,,
2024-08-02,321.6000061035156,352.79998779296875,304.0,338.3999938964844,28973.0,,,,,
2024-08-05,325.6000061035156,335.20001220703125,280.0,296.0,23408.0,,,,,
2024-08-06,295.20001220703125,336.79998779296875,289.6000061035156,336.79998779296875,20574.0,,,,,
2024-08-07,272.79998779296875,315.20001220703125,265.6000061035156,296.0,23499.0,,,,,
2024-08-08,260.79998779296875,282.3999938964844,251.1999969482422,274.3999938964844,21385.0,,,,,
2024-08-09,246.3999938964844,264.0,240.0,264.0,19498.0,,,,,
2024-08-12,233.6000061035156,255.1999969482422,225.6000061035156,252.0,28529.0,,,,,
2024-08-13,255.1999969482422,275.20001220703125,226.3999938964844,234.3999938964844,40194.0,,,,,
2024-08-14,232.8000030517578,254.3999938964844,228.8000030517578,253.6000061035156,20060.0,,,,,
2024-08-15,232.8000030517578,238.3999938964844,224.0,236.0,23160.0,,,,,
2024-08-16,233.6000061035156,248.0,224.8000030517578,236.0,22325.0,,,,,
2024-08-19,333.6000061035156,347.20001220703125,228.8000030517578,244.8000030517578,179728.0,,,,,
2024-08-20,369.6000061035156,484.7999877929688,329.6000061035156,428.7999877929688,271434.0,,,,,
2024-08-21,420.0,440.0,329.6000061035156,365.6000061035156,84224.0,,,,,
2024-08-22,555.2000122070312,560.0,420.0,424.0,209991.0,,,,,
2024-08-23,455.2000122070313,608.0,443.2000122070313,579.2000122070312,139315.0,,,,,
2024-08-26,407.2000122070313,476.0,390.3999938964844,472.0,58756.0,,,,,
2024-08-27,338.3999938964844,397.6000061035156,328.0,397.6000061035156,56797.0,,,,,
2024-08-28,278.3999938964844,346.3999938964844,272.0,340.0,65078.0,,,,,
2024-08-29,280.0,329.6000061035156,248.0,278.3999938964844,92172.0,,,,,
2024-08-30,332.0,356.0,289.6000061035156,298.3999938964844,78185.0,,,,,
