Date,Close,High,Low,Open,Volume,"('Close', 'ITRG')","('High', 'ITRG')","('Low', 'ITRG')","('Open', 'ITRG')","('Volume', 'ITRG')"
2024-06-03,0.8859999775886536,0.9100000262260436,0.8799999952316284,0.9100000262260436,33700.0,,,,,
2024-06-04,0.8450000286102295,0.8980000019073486,0.8349999785423279,0.8889999985694885,115500.0,,,,,
2024-06-05,0.906000018119812,0.9100000262260436,0.8500000238418579,0.8930000066757202,362100.0,,,,,
2024-06-06,0.9300000071525574,0.9399999976158142,0.8999999761581421,0.9070000052452089,141200.0,,,,,
2024-06-07,0.8939999938011169,0.9259999990463256,0.8799999952316284,0.9200000166893004,117900.0,,,,,
2024-06-10,0.912999987602234,0.9490000009536744,0.8899999856948853,0.8999999761581421,162000.0,,,,,
2024-06-11,0.9290000200271606,0.9290000200271606,0.8899999856948853,0.9100000262260436,396100.0,,,,,
2024-06-12,0.9350000023841858,0.9390000104904176,0.9100000262260436,0.9369999766349792,101300.0,,,,,
2024-06-13,0.9049999713897704,0.9399999976158142,0.9049999713897704,0.9390000104904176,100600.0,,,,,
2024-06-14,0.9169999957084656,0.9229999780654908,0.9049999713897704,0.9049999713897704,40300.0,,,,,
2024-06-17,0.9340000152587892,0.9470000267028807,0.9100000262260436,0.9100000262260436,134700.0,,,,,
2024-06-18,0.9800000190734864,0.9850000143051147,0.9200000166893004,0.9200000166893004,245600.0,,,,,
2024-06-20,1.0299999713897705,1.0499999523162842,0.9879999756813048,0.9879999756813048,169800.0,,,,,
2024-06-21,0.9700000286102296,1.0499999523162842,0.9399999976158142,1.0299999713897705,80600.0,,,,,
2024-06-24,0.9539999961853028,0.9879999756813048,0.9449999928474426,0.949999988079071,41100.0,,,,,
2024-06-25,0.8899999856948853,0.9700000286102296,0.8899999856948853,0.9580000042915344,67700.0,,,,,
2024-06-26,0.8799999952316284,0.9350000023841858,0.8700000047683716,0.8899999856948853,87600.0,,,,,
2024-06-27,0.8939999938011169,0.9200000166893004,0.8820000290870667,0.9200000166893004,48000.0,,,,,
