Date,Close,High,Low,Open,Volume,"('Close', 'LDI')","('High', 'LDI')","('Low', 'LDI')","('Open', 'LDI')","('Volume', 'LDI')"
2024-06-03,1.7999999523162842,1.8799999952316284,1.75,1.8799999952316284,477800.0,,,,,
2024-06-04,1.850000023841858,1.8600000143051147,1.7599999904632568,1.8600000143051147,330400.0,,,,,
2024-06-05,2.240000009536743,2.240000009536743,1.878999948501587,1.9900000095367432,1518700.0,,,,,
2024-06-06,2.069999933242798,2.309999942779541,2.059999942779541,2.309999942779541,572600.0,,,,,
2024-06-07,2.0799999237060547,2.1600000858306885,1.9800000190734863,2.0299999713897705,543000.0,,,,,
2024-06-10,1.9800000190734863,2.0999999046325684,1.9600000381469729,2.039999961853028,584800.0,,,,,
2024-06-11,1.9299999475479128,1.975000023841858,1.870000004768372,1.9700000286102293,417500.0,,,,,
2024-06-12,2.0,2.11899995803833,1.9700000286102293,2.069999933242798,507000.0,,,,,
2024-06-13,1.850000023841858,2.0199999809265137,1.840000033378601,2.0199999809265137,630700.0,,,,,
2024-06-14,1.7999999523162842,1.8799999952316284,1.7999999523162842,1.830000042915344,359400.0,,,,,
2024-06-17,1.7799999713897705,1.8550000190734863,1.7699999809265137,1.7999999523162842,337900.0,,,,,
2024-06-18,1.830000042915344,1.8589999675750728,1.7799999713897705,1.809999942779541,341400.0,,,,,
2024-06-20,1.7999999523162842,1.870000004768372,1.7899999618530271,1.850000023841858,334900.0,,,,,
2024-06-21,1.7799999713897705,1.840000033378601,1.7599999904632568,1.7799999713897705,280900.0,,,,,
2024-06-24,1.7699999809265137,1.830000042915344,1.7100000381469729,1.7699999809265137,375100.0,,,,,
2024-06-25,1.690000057220459,1.7699999809265137,1.6399999856948853,1.7599999904632568,582500.0,,,,,
2024-06-26,1.6100000143051147,1.6799999475479126,1.5750000476837158,1.659999966621399,400600.0,,,,,
2024-06-27,1.649999976158142,1.690000057220459,1.590000033378601,1.690000057220459,228400.0,,,,,
2024-06-28,1.649999976158142,1.6649999618530271,1.5800000429153442,1.6399999856948853,300600.0,,,,,
