Date,Close,High,Low,Open,Volume,"('Close', 'VTGN')","('High', 'VTGN')","('Low', 'VTGN')","('Open', 'VTGN')","('Volume', 'VTGN')"
2024-06-03,3.930000066757202,4.039999961853027,3.880000114440918,3.920000076293945,75000.0,,,,,
2024-06-04,3.940000057220459,4.010000228881836,3.849999904632568,3.890000104904175,149900.0,,,,,
2024-06-05,3.900000095367432,4.039999961853027,3.859999895095825,3.9700000286102295,90900.0,,,,,
2024-06-06,3.859999895095825,3.950000047683716,3.799999952316284,3.880000114440918,74000.0,,,,,
2024-06-07,3.7899999618530273,3.859999895095825,3.759999990463257,3.799999952316284,169700.0,,,,,
2024-06-10,3.680000066757202,3.799999952316284,3.539999961853028,3.7899999618530273,200000.0,,,,,
2024-06-11,3.7699999809265137,3.7799999713897705,3.609999895095825,3.690000057220459,134800.0,,,,,
2024-06-12,3.690000057220459,3.9800000190734863,3.660000085830689,3.799999952316284,101000.0,,,,,
2024-06-13,3.5199999809265137,3.700000047683716,3.509999990463257,3.509999990463257,150100.0,,,,,
2024-06-14,3.5199999809265137,3.549999952316284,3.369999885559082,3.5,307300.0,,,,,
2024-06-17,3.4200000762939453,3.490000009536743,3.309999942779541,3.450000047683716,154700.0,,,,,
2024-06-18,3.309999942779541,3.490000009536743,3.259999990463257,3.470000028610229,146900.0,,,,,
2024-06-20,3.220000028610229,3.3299999237060547,3.200000047683716,3.3299999237060547,84400.0,,,,,
2024-06-21,3.3499999046325684,3.369999885559082,3.150000095367432,3.2100000381469727,118800.0,,,,,
2024-06-24,3.2300000190734863,3.4800000190734863,3.180000066757202,3.3499999046325684,92800.0,,,,,
2024-06-25,3.319999933242798,3.390000104904175,3.2300000190734863,3.2300000190734863,82600.0,,,,,
2024-06-26,3.25,3.319999933242798,3.220000028610229,3.299999952316284,52100.0,,,,,
2024-06-27,3.4800000190734863,3.5299999713897705,3.220000028610229,3.2799999713897705,107600.0,,,,,
2024-06-28,3.4800000190734863,3.539999961853028,3.400000095367432,3.509999990463257,171400.0,,,,,
2024-07-01,3.569999933242798,3.660000085830689,3.490000009536743,3.490000009536743,74900.0,,,,,
2024-07-02,3.3299999237060547,3.5899999141693115,3.319999933242798,3.549999952316284,72400.0,,,,,
