Date,Close,High,Low,Open,Volume,"('Close', 'INHD')","('High', 'INHD')","('Low', 'INHD')","('Open', 'INHD')","('Volume', 'INHD')"
2024-06-03,6.510000228881836,6.690000057220459,6.0,6.510000228881836,2320.0,,,,,
2024-06-04,6.25,6.510000228881836,6.03000020980835,6.349999904632568,2320.0,,,,,
2024-06-05,6.559999942779541,7.0,6.110000133514404,6.199999809265137,36380.0,,,,,
2024-06-06,7.289999961853027,9.100000381469728,6.5,7.400000095367432,253310.0,,,,,
2024-06-07,6.440000057220459,6.889999866485596,6.300000190734863,6.389999866485596,23080.0,,,,,
2024-06-10,6.5,7.800000190734863,6.300000190734863,6.53000020980835,16980.0,,,,,
2024-06-11,6.699999809265137,6.730000019073486,6.300000190734863,6.5,6170.0,,,,,
2024-06-12,6.800000190734863,6.800000190734863,6.28000020980835,6.369999885559082,4990.0,,,,,
2024-06-13,6.699999809265137,6.699999809265137,6.400000095367432,6.590000152587891,1610.0,,,,,
2024-06-14,7.099999904632568,7.699999809265137,6.300000190734863,6.699999809265137,7410.0,,,,,
2024-06-17,6.5,6.96999979019165,6.5,6.96999979019165,4580.0,,,,,
2024-06-18,6.699999809265137,6.699999809265137,6.329999923706055,6.510000228881836,940.0,,,,,
2024-06-20,6.519999980926514,6.730000019073486,6.25,6.730000019073486,3660.0,,,,,
2024-06-21,6.690000057220459,6.690000057220459,5.5,6.550000190734863,10820.0,,,,,
2024-06-24,6.599999904632568,6.800000190734863,6.210000038146973,6.639999866485596,1290.0,,,,,
2024-06-25,6.510000228881836,6.599999904632568,6.300000190734863,6.599999904632568,1870.0,,,,,
2024-06-26,6.599999904632568,6.599999904632568,6.300000190734863,6.369999885559082,1790.0,,,,,
2024-06-27,6.599999904632568,6.599999904632568,6.309999942779541,6.309999942779541,2020.0,,,,,
2024-06-28,6.480000019073486,6.489999771118164,6.309999942779541,6.309999942779541,3330.0,,,,,
2024-07-01,6.619999885559082,6.619999885559082,6.309999942779541,6.320000171661377,1090.0,,,,,
2024-07-02,6.199999809265137,6.5,6.110000133514404,6.309999942779541,5890.0,,,,,
2024-07-03,6.099999904632568,6.400000095367432,6.099999904632568,6.349999904632568,1000.0,,,,,
2024-07-05,6.380000114440918,6.400000095367432,5.900000095367432,6.050000190734863,5290.0,,,,,
