Date,Close,High,Low,Open,Volume,"('Close', 'ABOS')","('High', 'ABOS')","('Low', 'ABOS')","('Open', 'ABOS')","('Volume', 'ABOS')"
2024-06-03,2.75,2.984999895095825,2.720000028610229,2.950000047683716,335600.0,,,,,
2024-06-04,2.7300000190734863,2.9100000858306885,2.700000047683716,2.7100000381469727,323900.0,,,,,
2024-06-05,2.5799999237060547,2.759999990463257,2.5799999237060547,2.759999990463257,560700.0,,,,,
2024-06-06,2.490000009536743,2.6700000762939453,2.4600000381469727,2.5999999046325684,607700.0,,,,,
2024-06-07,2.619999885559082,2.630000114440918,2.440000057220459,2.440000057220459,497900.0,,,,,
2024-06-10,2.619999885559082,2.634999990463257,2.5199999809265137,2.5999999046325684,269900.0,,,,,
2024-06-11,2.650000095367432,2.734999895095825,2.569999933242798,2.5799999237060547,336200.0,,,,,
2024-06-12,2.700000047683716,2.744999885559082,2.640000104904175,2.720000028610229,238200.0,,,,,
2024-06-13,2.640000104904175,2.7799999713897705,2.5899999141693115,2.6600000858306885,399500.0,,,,,
2024-06-14,2.640000104904175,2.6600000858306885,2.569999933242798,2.630000114440918,205100.0,,,,,
2024-06-17,2.5,2.650000095367432,2.4800000190734863,2.650000095367432,276200.0,,,,,
2024-06-18,2.3299999237060547,2.5,2.3299999237060547,2.490000009536743,408500.0,,,,,
2024-06-20,2.2100000381469727,2.359999895095825,2.1700000762939453,2.3299999237060547,475300.0,,,,,
2024-06-21,2.309999942779541,2.319999933242798,2.200000047683716,2.2300000190734863,421400.0,,,,,
2024-06-24,2.240000009536743,2.384999990463257,2.200000047683716,2.309999942779541,414600.0,,,,,
2024-06-25,2.140000104904175,2.2850000858306885,2.140000104904175,2.25,432000.0,,,,,
2024-06-26,2.1600000858306885,2.265000104904175,2.0799999237060547,2.130000114440918,724000.0,,,,,
2024-06-27,2.359999895095825,2.5299999713897705,2.220000028610229,2.220000028610229,958400.0,,,,,
2024-06-28,2.4200000762939453,2.509999990463257,2.3299999237060547,2.3299999237060547,5515700.0,,,,,
2024-07-01,2.384999990463257,2.4800000190734863,2.325000047683716,2.400000095367432,340100.0,,,,,
2024-07-02,2.2699999809265137,2.400000095367432,2.2300000190734863,2.380000114440918,276600.0,,,,,
2024-07-03,2.369999885559082,2.369999885559082,2.240000009536743,2.289999961853028,186100.0,,,,,
2024-07-05,2.309999942779541,2.390000104904175,2.259999990463257,2.390000104904175,264200.0,,,,,
2024-07-08,2.309999942779541,2.390000104904175,2.2799999713897705,2.319999933242798,314800.0,,,,,
2024-07-09,2.2699999809265137,2.3499999046325684,2.255000114440918,2.309999942779541,260400.0,,,,,
2024-07-10,2.289999961853028,2.3499999046325684,2.2799999713897705,2.289999961853028,203700.0,,,,,
2024-07-11,2.619999885559082,2.650000095367432,2.3499999046325684,2.3499999046325684,826100.0,,,,,
2024-07-12,2.819999933242798,2.9800000190734863,2.5899999141693115,2.6700000762939453,867000.0,,,,,
2024-07-15,2.8949999809265137,3.0,2.799999952316284,2.859999895095825,762400.0,,,,,
2024-07-16,3.150000095367432,3.164999961853028,2.9200000762939453,2.9200000762939453,605400.0,,,,,
2024-07-17,3.069999933242798,3.200000047683716,3.069999933242798,3.109999895095825,500100.0,,,,,
2024-07-18,2.930000066757202,3.1700000762939453,2.9049999713897705,3.0899999141693115,270300.0,,,,,
2024-07-19,2.869999885559082,2.9549999237060547,2.789999961853028,2.950000047683716,263100.0,,,,,
2024-07-22,3.2300000190734863,3.259999990463257,2.8299999237060547,2.900000095367432,386500.0,,,,,
2024-07-23,3.539999961853028,3.549999952316284,3.240000009536743,3.259999990463257,613400.0,,,,,
2024-07-24,3.220000028610229,3.5899999141693115,3.200000047683716,3.549999952316284,451500.0,,,,,
2024-07-25,3.4100000858306885,3.490000009536743,3.184999942779541,3.2699999809265137,319100.0,,,,,
2024-07-26,3.4800000190734863,3.569999933242798,3.3949999809265137,3.549999952316284,448400.0,,,,,
2024-07-29,3.289999961853028,3.5999999046325684,3.2100000381469727,3.5999999046325684,542600.0,,,,,
2024-07-30,3.4200000762939453,3.440000057220459,3.220000028610229,3.289999961853028,406300.0,,,,,
2024-07-31,3.299999952316284,3.490999937057495,3.23799991607666,3.4800000190734863,401400.0,,,,,
2024-08-01,3.2300000190734863,3.2799999713897705,3.131999969482422,3.2799999713897705,242200.0,,,,,
2024-08-02,2.990000009536743,3.150000095367432,2.9649999141693115,3.049999952316284,376400.0,,,,,
