Date,Close,High,Low,Open,Volume,"('Close', 'ARE')","('High', 'ARE')","('Low', 'ARE')","('Open', 'ARE')","('Volume', 'ARE')"
2024-06-03,108.2501449584961,109.95204523990068,107.75337281357238,109.95204523990068,1318200.0,,,,,
2024-06-04,108.10296630859376,109.34489326724854,107.66138869154592,107.66138869154592,888100.0,,,,,
2024-06-05,107.00823211669922,108.31455513996649,106.5574600630498,108.23176328095754,782600.0,,,,,
2024-06-06,107.09102630615234,107.62459019545253,105.37992444182474,105.95948848543064,703400.0,,,,,
2024-06-07,105.32472229003906,106.43785723563428,103.65962058891604,104.96594354801408,987700.0,,,,,
2024-06-10,104.8003387451172,105.89507769325112,103.74239851156156,104.73594274926444,781700.0,,,,,
2024-06-11,104.46916961669922,105.40751940219036,104.34037760984953,104.4139750476602,859100.0,,,,,
2024-06-12,106.4654541015625,109.7772614220042,106.07907108291153,108.03856240330636,928300.0,,,,,
2024-06-13,107.70738983154295,108.73772591635452,105.81229435522224,106.80583873869467,616600.0,,,,,
2024-06-14,107.00823211669922,107.99257510164546,106.37346645641033,106.90703738770712,495400.0,,,,,
2024-06-17,105.95027923583984,107.0818169730982,105.50870866908365,106.43784995350876,780300.0,,,,,
2024-06-18,106.41027069091795,106.93464021439108,105.45352494273848,106.13429079461774,667200.0,,,,,
2024-06-20,106.10667419433594,106.9162319744183,105.58230473161804,105.98708362165922,758200.0,,,,,
2024-06-21,107.22901916503906,107.32101947917003,105.96869627765172,106.41026690347084,1935300.0,,,,,
2024-06-24,108.58133697509766,109.188505328749,107.1094232643889,107.63379274316134,840900.0,,,,,
2024-06-25,106.96222686767578,108.98611433251762,105.79389735035522,108.25015397827728,702100.0,,,,,
2024-06-26,106.4194564819336,107.04502064767917,105.92268431925582,106.13427519208882,588500.0,,,,,
2024-06-27,107.07261657714844,107.10021386050852,105.49030682388496,106.35505913523538,562500.0,,,,,
2024-06-28,108.82166290283205,108.94260431637493,107.01680448181652,107.69595450658458,1097300.0,,,,,
2024-07-01,107.74246215820312,109.49150247608398,106.80282570861502,108.18902760687315,742100.0,,,,,
2024-07-02,108.90538024902344,109.01702338092169,107.60291253312737,108.15180862798115,731700.0,,,,,
2024-07-03,108.93328857421876,110.44974427351184,108.93328857421876,109.10074972205736,373100.0,,,,,
2024-07-05,108.66349792480467,109.8357188743038,108.23553613292395,109.0542382413044,534400.0,,,,,
2024-07-08,108.52395629882812,109.58454131661271,107.77968287326256,108.94260566451037,429800.0,,,,,
2024-07-09,107.95643615722656,108.57976099332215,107.09122142282652,108.21692969482372,599800.0,,,,,
2024-07-10,108.79375457763672,108.84957259994415,107.37963649723105,108.3750981165788,640100.0,,,,,
2024-07-11,116.13410949707033,116.37599229834102,111.17540560227232,111.57545127873274,1373300.0,,,,,
2024-07-12,117.24121856689452,119.85547377396422,117.03655012213191,117.46450484868204,1566900.0,,,,,
2024-07-15,118.20877075195312,118.5343948039541,116.49695185167458,117.26913426987116,674700.0,,,,,
2024-07-16,118.70185089111328,119.83686466290906,118.32972127891308,119.52985134471828,687700.0,,,,,
2024-07-17,120.08805084228516,120.19968687830334,118.24597817089996,118.37622494486574,726500.0,,,,,
2024-07-18,117.5203094482422,121.07420073475654,117.39006268103353,119.44610904673186,702800.0,,,,,
2024-07-19,116.48764038085938,117.73429720852,115.52008784089024,117.60405043370848,918600.0,,,,,
2024-07-22,117.0737533569336,117.56683855539563,115.650337074857,116.66440938364327,931100.0,,,,,
2024-07-23,112.95235443115234,116.57136914611247,111.00794407158835,115.37123212089114,1864600.0,,,,,
2024-07-24,107.51918029785156,112.56161139484632,107.51918029785156,112.56161139484632,1568300.0,,,,,
2024-07-25,107.92853546142578,108.73792514444962,106.64466421593896,107.1377494191274,1328400.0,,,,,
2024-07-26,110.63581085205078,111.31496082314588,108.84956331146525,108.99842082213908,920100.0,,,,,
2024-07-29,109.24030303955078,110.13342680501528,108.35648464293229,109.2496084083968,735100.0,,,,,
2024-07-30,110.72884368896484,110.86839583129908,108.81234936785307,109.6496551239416,1094800.0,,,,,
2024-07-31,109.11935424804688,111.71499834283264,108.97980211647246,110.64510813131706,1181400.0,,,,,
2024-08-01,107.00748443603516,110.46834328096904,105.84456181867384,110.19854438199124,1180100.0,,,,,
