Date,Close,High,Low,Open,Volume,"('Close', 'NNE')","('High', 'NNE')","('Low', 'NNE')","('Open', 'NNE')","('Volume', 'NNE')"
2024-06-03,6.400000095367432,7.75,6.079999923706055,7.400000095367432,854100.0,,,,,
2024-06-04,6.699999809265137,7.0,6.150000095367432,6.190000057220459,469200.0,,,,,
2024-06-05,7.769999980926514,8.100000381469727,6.739999771118164,6.989999771118164,656100.0,,,,,
2024-06-06,7.650000095367432,8.6899995803833,7.519999980926514,8.149999618530273,561800.0,,,,,
2024-06-07,6.75,7.650000095367432,6.599999904632568,7.599999904632568,344000.0,,,,,
2024-06-10,7.389999866485596,7.46999979019165,6.611000061035156,6.960000038146973,246500.0,,,,,
2024-06-11,7.489999771118164,7.900000095367432,7.010000228881836,7.460000038146973,389300.0,,,,,
2024-06-12,7.099999904632568,7.857999801635742,7.050000190734863,7.739999771118164,284600.0,,,,,
2024-06-13,7.070000171661377,7.409999847412109,6.679999828338623,7.210000038146973,219800.0,,,,,
2024-06-14,9.369999885559082,9.5,7.110000133514404,7.110000133514404,1774000.0,,,,,
2024-06-17,9.40999984741211,10.380000114440918,8.25,10.020000457763672,1593500.0,,,,,
2024-06-18,11.600000381469728,11.75,9.40999984741211,9.600000381469728,1704900.0,,,,,
2024-06-20,15.220000267028809,16.5,11.550000190734863,13.119999885559082,4240200.0,,,,,
2024-06-21,15.729999542236328,16.0,12.5,14.869999885559082,1808100.0,,,,,
2024-06-24,20.8700008392334,22.479999542236328,16.15999984741211,16.5,6134200.0,,,,,
2024-06-25,29.100000381469727,37.5099983215332,21.799999237060547,24.100000381469727,12111600.0,,,,,
2024-06-26,24.020000457763672,31.68000030517578,20.59000015258789,30.07999992370605,3869500.0,,,,,
2024-06-27,16.219999313354492,21.21999931335449,16.100000381469727,20.96999931335449,3946200.0,,,,,
2024-06-28,23.440000534057617,25.68000030517578,15.40999984741211,15.850000381469728,9413700.0,,,,,
2024-07-01,28.100000381469727,32.38999938964844,23.200000762939453,27.700000762939453,14862800.0,,,,,
2024-07-02,25.93000030517578,29.0,25.0,28.21999931335449,3663100.0,,,,,
2024-07-03,23.649999618530277,25.600000381469727,23.0,24.979999542236328,1830700.0,,,,,
2024-07-05,28.399999618530277,29.489999771118164,25.46999931335449,25.46999931335449,3491800.0,,,,,
2024-07-08,29.799999237060547,34.0,28.299999237060547,30.0,4565900.0,,,,,
2024-07-09,26.5,29.200000762939453,26.01000022888184,27.71999931335449,1940400.0,,,,,
2024-07-10,25.299999237060547,27.780000686645508,24.5,27.739999771118164,1516400.0,,,,,
2024-07-11,26.239999771118164,28.38999938964844,25.559999465942383,26.040000915527344,1924000.0,,,,,
2024-07-12,25.0,26.5,22.13999938964844,23.940000534057617,2964600.0,,,,,
2024-07-15,24.01000022888184,26.489999771118164,23.100000381469727,25.299999237060547,1297700.0,,,,,
2024-07-16,22.559999465942383,24.5,21.770000457763672,24.21999931335449,1073100.0,,,,,
