Date,Close,High,Low,Open,Volume,"('Close', 'LAZR')","('High', 'LAZR')","('Low', 'LAZR')","('Open', 'LAZR')","('Volume', 'LAZR')"
2024-06-03,23.850000381469727,25.200000762939453,23.700000762939453,24.899999618530277,280267.0,,,,,
2024-06-04,21.975000381469727,23.850000381469727,21.75,23.850000381469727,480220.0,,,,,
2024-06-05,23.399999618530277,23.549999237060547,21.899999618530277,22.5,296613.0,,,,,
2024-06-06,21.75,23.399999618530277,21.299999237060547,22.950000762939453,446253.0,,,,,
2024-06-07,21.450000762939453,21.88500022888184,20.700000762939453,21.149999618530277,393580.0,,,,,
2024-06-10,21.299999237060547,21.674999237060547,20.700000762939453,20.700000762939453,282080.0,,,,,
2024-06-11,21.600000381469727,21.899999618530277,20.399999618530277,20.850000381469727,387187.0,,,,,
2024-06-12,21.75,23.25,21.36000061035156,22.649999618530277,423807.0,,,,,
2024-06-13,20.850000381469727,21.899999618530277,20.549999237060547,21.600000381469727,323500.0,,,,,
2024-06-14,21.450000762939453,21.600000381469727,20.700000762939453,20.850000381469727,265833.0,,,,,
2024-06-17,22.049999237060547,22.649999618530277,21.0,21.0,302333.0,,,,,
2024-06-18,21.600000381469727,22.649999618530277,21.0,22.200000762939453,359800.0,,,,,
2024-06-20,20.850000381469727,21.600000381469727,20.399999618530277,21.600000381469727,500973.0,,,,,
2024-06-21,21.149999618530277,21.299999237060547,20.25,20.549999237060547,711853.0,,,,,
2024-06-24,20.325000762939453,21.600000381469727,19.649999618530277,21.0,436213.0,,,,,
2024-06-25,20.100000381469727,20.325000762939453,19.350000381469727,20.25,338687.0,,,,,
2024-06-26,23.700000762939453,24.0,19.649999618530277,19.649999618530277,761053.0,,,,,
2024-06-27,24.450000762939453,24.450000762939453,22.799999237060547,23.100000381469727,478247.0,,,,,
2024-06-28,22.350000381469727,24.825000762939453,22.350000381469727,24.450000762939453,881780.0,,,,,
2024-07-01,21.149999618530277,22.799999237060547,21.0,22.799999237060547,269027.0,,,,,
