Date,Close,High,Low,Open,Volume,"('Close', 'VOR')","('High', 'VOR')","('Low', 'VOR')","('Open', 'VOR')","('Volume', 'VOR')"
2024-06-03,28.600000381469727,29.399999618530277,26.200000762939453,27.200000762939453,31810.0,,,,,
2024-06-04,26.399999618530277,29.0,25.600000381469727,28.600000381469727,15540.0,,,,,
2024-06-05,26.200000762939453,27.200000762939453,25.799999237060547,26.600000381469727,8940.0,,,,,
2024-06-06,25.299999237060547,26.0,23.399999618530277,25.799999237060547,18120.0,,,,,
2024-06-07,24.5,25.200000762939453,24.399999618530277,25.0,6865.0,,,,,
2024-06-10,26.0,26.0,24.0,24.0,12135.0,,,,,
2024-06-11,25.0,26.399999618530277,24.5,25.799999237060547,13345.0,,,,,
2024-06-12,25.200000762939453,26.0,24.799999237060547,25.799999237060547,12105.0,,,,,
2024-06-13,24.0,25.399999618530277,23.600000381469727,25.399999618530277,17090.0,,,,,
2024-06-14,23.0,24.399999618530277,22.200000762939453,24.399999618530277,17690.0,,,,,
2024-06-17,23.399999618530277,23.600000381469727,22.200000762939453,23.0,16805.0,,,,,
2024-06-18,24.0,25.399999618530277,23.399999618530277,23.600000381469727,11510.0,,,,,
2024-06-20,24.0,24.200000762939453,23.200000762939453,23.799999237060547,6775.0,,,,,
2024-06-21,23.799999237060547,24.5,23.299999237060547,24.0,15640.0,,,,,
2024-06-24,24.799999237060547,25.399999618530277,23.600000381469727,23.600000381469727,11105.0,,,,,
2024-06-25,24.799999237060547,24.799999237060547,24.0,24.399999618530277,35825.0,,,,,
2024-06-26,23.0,25.399999618530277,23.0,25.200000762939453,15690.0,,,,,
2024-06-27,22.799999237060547,23.399999618530277,22.200000762939453,23.0,18990.0,,,,,
2024-06-28,20.0,23.200000762939453,20.0,23.200000762939453,236095.0,,,,,
2024-07-01,19.780000686645508,21.799999237060547,18.26000022888184,20.600000381469727,21675.0,,,,,
2024-07-02,18.280000686645508,19.600000381469727,18.0,19.600000381469727,18050.0,,,,,
2024-07-03,18.399999618530277,19.559999465942383,18.059999465942383,18.420000076293945,8940.0,,,,,
2024-07-05,18.15999984741211,19.299999237060547,18.0,18.799999237060547,10465.0,,,,,
2024-07-08,18.1200008392334,18.979999542236328,18.0,18.63999938964844,13630.0,,,,,
2024-07-09,18.200000762939453,18.399999618530277,18.020000457763672,18.399999618530277,6980.0,,,,,
2024-07-10,18.8799991607666,19.0,18.440000534057617,18.600000381469727,6035.0,,,,,
2024-07-11,19.600000381469727,20.0,19.0,19.399999618530277,19860.0,,,,,
2024-07-12,19.0,19.86000061035156,18.440000534057617,19.600000381469727,22695.0,,,,,
2024-07-15,19.420000076293945,19.940000534057617,19.0,19.600000381469727,8175.0,,,,,
