Date,Close,High,Low,Open,Volume,"('Close', 'AMTX')","('High', 'AMTX')","('Low', 'AMTX')","('Open', 'AMTX')","('Volume', 'AMTX')"
2024-06-03,3.2699999809265137,3.5799999237060547,3.240000009536743,3.5199999809265137,511300.0,,,,,
2024-06-04,3.180000066757202,3.359999895095825,3.130000114440918,3.299999952316284,530600.0,,,,,
2024-06-05,3.240000009536743,3.289999961853028,3.1700000762939453,3.2100000381469727,473600.0,,,,,
2024-06-06,3.1549999713897705,3.25,3.119999885559082,3.2100000381469727,364500.0,,,,,
2024-06-07,3.0999999046325684,3.180000066757202,3.0199999809265137,3.109999895095825,354400.0,,,,,
2024-06-10,3.0999999046325684,3.265000104904175,3.0799999237060547,3.0999999046325684,506500.0,,,,,
2024-06-11,3.0999999046325684,3.2100000381469727,3.055000066757202,3.109999895095825,485800.0,,,,,
2024-06-12,3.130000114440918,3.299999952316284,3.109999895095825,3.2100000381469727,468000.0,,,,,
2024-06-13,3.0899999141693115,3.180000066757202,3.0899999141693115,3.150000095367432,287300.0,,,,,
2024-06-14,3.0999999046325684,3.240000009536743,3.069999933242798,3.180000066757202,407300.0,,,,,
2024-06-17,3.0899999141693115,3.150000095367432,3.039999961853028,3.0999999046325684,368000.0,,,,,
2024-06-18,3.150000095367432,3.190000057220459,3.119999885559082,3.190000057220459,400300.0,,,,,
2024-06-20,3.055000066757202,3.150000095367432,3.039999961853028,3.119999885559082,373100.0,,,,,
2024-06-21,3.0199999809265137,3.11899995803833,2.9800000190734863,3.059999942779541,724700.0,,,,,
2024-06-24,2.9800000190734863,3.059999942779541,2.9200000762939453,3.049999952316284,494800.0,,,,,
2024-06-25,3.0,3.049999952316284,2.900000095367432,2.950000047683716,643300.0,,,,,
2024-06-26,3.0799999237060547,3.0899999141693115,2.990000009536743,3.0199999809265137,596100.0,,,,,
2024-06-27,3.0199999809265137,3.140000104904175,2.9600000381469727,3.0999999046325684,492900.0,,,,,
