Date,Close,High,Low,Open,Volume,"('Close', 'CEG')","('High', 'CEG')","('Low', 'CEG')","('Open', 'CEG')","('Volume', 'CEG')"
2024-06-03,206.6277618408203,215.49769722948477,202.45076609186856,213.811023966176,4922600.0,,,,,
2024-06-04,201.5478973388672,206.86588914745852,195.2972703223992,205.3677291653751,4666700.0,,,,,
2024-06-05,207.6893768310547,211.181793051354,202.84761901240324,202.887313990142,4502200.0,,,,,
2024-06-06,201.0121154785156,208.16559816018332,194.672198121537,207.8580302274644,4842100.0,,,,,
2024-06-07,196.4481658935547,202.4011406176018,195.97193215460624,200.49619052261045,4558700.0,,,,,
2024-06-10,212.9478454589844,213.08674760552947,196.57914719495545,197.9661854253985,5719100.0,,,,,
2024-06-11,216.59898376464844,217.83918683703928,208.80058623988677,209.50502824625173,3701900.0,,,,,
2024-06-12,216.42041015625,220.0318810371104,210.4872675283236,219.53579978897463,3137900.0,,,,,
2024-06-13,218.20628356933597,218.63292130149028,212.4418220723695,218.58331015042148,2238200.0,,,,,
2024-06-14,213.2157287597656,217.15461534650564,209.30662097798265,217.08517183947052,2373800.0,,,,,
2024-06-17,210.3583068847656,213.0371427265779,207.0742512853529,212.1937985082301,3321100.0,,,,,
2024-06-18,218.6825256347656,219.46632729610437,207.47605276336373,211.12223759567905,2714700.0,,,,,
2024-06-20,220.5676422119141,225.98485610496667,217.57130723300224,222.0658172709691,3075100.0,,,,,
2024-06-21,216.42041015625,222.81985522936165,214.049142395729,221.25223666854885,5511600.0,,,,,
2024-06-24,214.4063415527344,219.1191138507955,213.6632036589133,216.29144441627892,2474100.0,,,,,
2024-06-25,220.62716674804688,220.7164728774077,212.5013535808756,214.80317781083684,2221900.0,,,,,
2024-06-26,208.6616973876953,220.45850915786085,205.8241119718164,218.84129454314288,4237000.0,,,,,
2024-06-27,203.17503356933597,206.2904231835682,199.68261736421505,205.96300774503828,4733600.0,,,,,
2024-06-28,198.70037841796875,205.6752792414778,197.87688176644923,203.6413431878884,10579100.0,,,,,
2024-07-01,203.4429168701172,211.91597767638075,201.54788292488945,206.55830641068317,4168400.0,,,,,
2024-07-02,204.53428649902344,210.1400135206167,201.50820308628835,201.86538217994595,1905300.0,,,,,
2024-07-03,208.423583984375,210.76507295459305,200.42674150430503,203.700880787526,1612700.0,,,,,
2024-07-05,209.63401794433597,211.0924980999094,206.43926847029772,208.3541349196485,1601600.0,,,,,
2024-07-08,214.0392303466797,214.73374112874083,209.5943462022887,210.16980231862496,1634400.0,,,,,
2024-07-09,214.26742553710935,220.6271758158816,213.3744701811866,215.33894774149883,1773200.0,,,,,
2024-07-10,217.82925415039065,218.23604436070625,212.0647931291548,216.4699813914332,2584300.0,,,,,
2024-07-11,215.1405029296875,218.81448340421983,213.5034409359794,217.83918601617663,2438200.0,,,,,
2024-07-12,215.4381561279297,219.4068059710447,210.64304234291447,214.56504831790116,1760700.0,,,,,
2024-07-15,211.2115631103516,217.9284925025915,209.97929289454015,215.2992678677205,2164300.0,,,,,
2024-07-16,203.2742462158203,213.3248414712004,202.4606657455477,212.4616649901237,4049600.0,,,,,
2024-07-17,185.20697021484372,201.46851282241695,184.31403002941093,200.54580897341629,6748700.0,,,,,
2024-07-18,185.8121795654297,191.3286002802668,176.6743720195006,188.8779578553435,5484900.0,,,,,
2024-07-19,187.81637573242188,188.45135916558044,184.93909522342275,186.54640886610477,2827000.0,,,,,
2024-07-22,188.92759704589844,195.2774466541564,187.13178519476784,190.73334021193665,1868800.0,,,,,
2024-07-23,188.38189697265625,190.6559409064589,186.8242096543671,188.1834674921301,1856600.0,,,,,
2024-07-24,173.7078094482422,186.81426737886235,173.33078285992462,186.81426737886235,4910100.0,,,,,
2024-07-25,169.09423828125,175.4540031888644,164.5699799530717,175.3151010520939,5542000.0,,,,,
2024-07-26,173.66812133789062,175.6822251873328,170.09634533916062,175.1563651221611,3469300.0,,,,,
2024-07-29,171.32659912109375,175.76156634192347,169.78677624930916,174.67019676533803,2100100.0,,,,,
2024-07-30,167.3678741455078,173.6581799953262,164.45091432880685,172.1104091062677,3517100.0,,,,,
2024-07-31,188.31243896484372,194.9599244553284,181.56573117213787,191.76516010553527,7483700.0,,,,,
2024-08-01,176.17828369140625,192.7473926548418,175.23571730509613,186.81624900835516,4482100.0,,,,,
2024-08-02,165.7705078125,173.95584821509348,160.17272883518928,173.10258788270977,6099200.0,,,,,
2024-08-05,168.63784790039062,171.4059743936007,154.3804787558498,155.01546209969135,5430800.0,,,,,
2024-08-06,179.62109375,182.38923562469975,167.0702440820698,172.2790972479947,6322100.0,,,,,
2024-08-07,178.25192260742188,188.60017046082788,175.51354435344396,188.60017046082788,6154900.0,,,,,
2024-08-08,185.5641632080078,186.1594668023256,175.03731779418922,181.81378992572365,3338800.0,,,,,
2024-08-09,188.38189697265625,188.61010525750032,181.6352037995736,185.613770142199,3204000.0,,,,,
2024-08-12,186.2080078125,189.68704491800068,182.5997444752276,188.86201429860847,2232300.0,,,,,
2024-08-13,188.27554321289065,189.7069208415364,185.94956215004,188.20595519356047,2349000.0,,,,,
2024-08-14,185.0350646972656,188.75266975279183,181.11867572522317,187.8282471872619,2327900.0,,,,,
2024-08-15,189.2496795654297,191.42656522965737,184.37903363993448,185.28357176845336,4241900.0,,,,,
2024-08-16,188.8421173095703,190.2138567022883,184.71697965372027,190.07469583399785,2572300.0,,,,,
