Date,Close,High,Low,Open,Volume,"('Close', 'INDI')","('High', 'INDI')","('Low', 'INDI')","('Open', 'INDI')","('Volume', 'INDI')"
2024-06-03,7.550000190734863,7.739999771118164,6.664999961853027,6.820000171661377,17892600.0,,,,,
2024-06-04,7.539999961853027,7.550000190734863,7.059999942779541,7.440000057220459,3565000.0,,,,,
2024-06-05,7.800000190734863,7.820000171661377,7.598000049591064,7.659999847412109,2840600.0,,,,,
2024-06-06,7.670000076293945,7.789999961853027,7.474999904632568,7.75,1994500.0,,,,,
2024-06-07,7.429999828338623,7.670000076293945,7.25,7.510000228881836,1970400.0,,,,,
2024-06-10,7.420000076293945,7.510000228881836,7.25,7.300000190734863,2754500.0,,,,,
2024-06-11,7.349999904632568,7.420000076293945,7.260000228881836,7.349999904632568,1210300.0,,,,,
2024-06-12,7.46999979019165,7.800000190734863,7.434999942779541,7.625,2302900.0,,,,,
2024-06-13,7.389999866485596,7.519999980926514,7.159999847412109,7.489999771118164,2441800.0,,,,,
2024-06-14,7.050000190734863,7.297999858856201,7.0,7.25,1841600.0,,,,,
2024-06-17,6.829999923706055,6.949999809265137,6.340000152587891,6.929999828338623,3540100.0,,,,,
2024-06-18,6.494999885559082,6.800000190734863,6.420000076293945,6.800000190734863,1807100.0,,,,,
2024-06-20,6.175000190734863,6.429999828338623,6.135000228881836,6.409999847412109,2300400.0,,,,,
2024-06-21,6.380000114440918,6.400000095367432,6.070000171661377,6.070000171661377,6446700.0,,,,,
2024-06-24,6.079999923706055,6.349999904632568,6.03000020980835,6.329999923706055,3188000.0,,,,,
2024-06-25,6.090000152587891,6.239999771118164,6.019999980926514,6.119999885559082,2296600.0,,,,,
2024-06-26,6.340000152587891,6.360000133514404,6.0,6.099999904632568,1455200.0,,,,,
2024-06-27,6.190000057220459,6.340000152587891,6.159999847412109,6.300000190734863,1285000.0,,,,,
2024-06-28,6.170000076293945,6.385000228881836,6.150000095367432,6.210000038146973,6652300.0,,,,,
