Date,Close,High,Low,Open,Volume,"('Close', 'DFLI')","('High', 'DFLI')","('Low', 'DFLI')","('Open', 'DFLI')","('Volume', 'DFLI')"
2024-06-03,8.595000267028809,8.774999618530273,8.369999885559082,8.550000190734863,24267.0,,,,,
2024-06-04,8.343000411987305,8.756999969482422,8.279999732971191,8.64900016784668,32378.0,,,,,
2024-06-05,8.621999740600586,8.864999771118164,8.369999885559082,8.369999885559082,74700.0,,,,,
2024-06-06,9.0,9.18000030517578,8.640000343322754,8.64900016784668,51978.0,,,,,
2024-06-07,8.324999809265137,8.892000198364258,8.100000381469727,8.883000373840332,71889.0,,,,,
2024-06-10,8.324999809265137,8.550000190734863,8.100000381469727,8.100000381469727,47322.0,,,,,
2024-06-11,8.52299976348877,8.70300006866455,8.100000381469727,8.369999885559082,54989.0,,,,,
2024-06-12,7.89300012588501,8.487000465393066,7.3979997634887695,8.487000465393066,62344.0,,,,,
2024-06-13,8.13599967956543,8.270999908447266,7.739999771118164,8.036999702453613,48022.0,,,,,
2024-06-14,7.613999843597412,8.22599983215332,7.298999786376953,8.208000183105469,56500.0,,,,,
2024-06-17,7.85699987411499,8.081999778747559,7.343999862670898,7.559999942779541,55200.0,,,,,
2024-06-18,7.730999946594238,7.85699987411499,7.479000091552734,7.85699987411499,29067.0,,,,,
2024-06-20,7.695000171661377,7.7129998207092285,7.380000114440918,7.650000095367432,57244.0,,,,,
2024-06-21,7.380000114440918,7.631999969482422,7.254000186920166,7.407000064849853,38978.0,,,,,
2024-06-24,7.992000102996826,7.992000102996826,7.199999809265137,7.199999809265137,44844.0,,,,,
2024-06-25,7.85699987411499,7.910999774932861,7.380000114440918,7.821000099182129,34544.0,,,,,
2024-06-26,8.081999778747559,8.73900032043457,7.559999942779541,7.650000095367432,62467.0,,,,,
2024-06-27,8.6850004196167,8.892000198364258,7.920000076293945,7.920000076293945,55756.0,,,,,
2024-06-28,7.613999843597412,9.0,7.613999843597412,8.90999984741211,341833.0,,,,,
2024-07-01,6.993000030517578,7.89300012588501,6.993000030517578,7.722000122070312,67711.0,,,,,
2024-07-02,6.714000225067139,7.460999965667725,6.570000171661377,7.289999961853027,44767.0,,,,,
2024-07-03,6.714000225067139,7.425000190734863,6.677999973297119,7.199999809265137,57911.0,,,,,
2024-07-05,7.271999835968018,7.308000087738037,6.929999828338623,6.966000080108643,52111.0,,,,,
2024-07-08,7.11899995803833,7.380000114440918,6.947999954223633,7.289999961853027,41644.0,,,,,
2024-07-09,7.199999809265137,7.370999813079834,7.019999980926514,7.019999980926514,29556.0,,,,,
2024-07-10,7.749000072479248,8.036999702453613,7.298999786376953,7.298999786376953,96789.0,,,,,
2024-07-11,7.839000225067139,8.027999877929688,7.650000095367432,7.973999977111816,32511.0,,,,,
2024-07-12,8.100000381469727,8.361000061035156,7.757999897003174,7.757999897003174,36478.0,,,,,
2024-07-15,8.1899995803833,8.369999885559082,7.739999771118164,7.829999923706055,36344.0,,,,,
2024-07-16,8.00100040435791,8.333999633789062,7.982999801635742,8.1899995803833,23033.0,,,,,
2024-07-17,7.586999893188477,7.992000102996826,7.3979997634887695,7.920000076293945,38867.0,,,,,
2024-07-18,7.335000038146973,7.839000225067139,7.209000110626221,7.586999893188477,25033.0,,,,,
2024-07-19,7.425000190734863,7.514999866485596,7.217999935150146,7.353000164031982,11244.0,,,,,
2024-07-22,7.46999979019165,7.559999942779541,7.199999809265137,7.46999979019165,15111.0,,,,,
2024-07-23,7.901999950408935,8.045999526977539,7.199999809265137,7.46999979019165,27156.0,,,,,
