Date,Close,High,Low,Open,Volume,"('Close', 'WYNN')","('High', 'WYNN')","('Low', 'WYNN')","('Open', 'WYNN')","('Volume', 'WYNN')"
2024-06-03,93.63043212890624,94.2124741680978,92.2690323972432,94.2124741680978,1197200.0,,,,,
2024-06-04,91.6672592163086,93.19636526808894,91.39103535505336,92.7425678493788,1522900.0,,,,,
2024-06-05,92.101318359375,92.23943027316926,91.35156259410986,91.74617128775124,1335000.0,,,,,
2024-06-06,91.23319244384766,92.1210526663364,91.13453461776189,91.67712255509204,1194600.0,,,,,
2024-06-07,91.88429260253906,92.61431386821891,90.76952989099172,91.23319458896934,1416200.0,,,,,
2024-06-10,91.61793518066406,91.7757741568772,90.36505302633704,91.14440319895364,1391700.0,,,,,
2024-06-11,90.50316619873048,91.53901318930404,89.78301221799964,91.53901318930404,2077500.0,,,,,
2024-06-12,89.60543060302734,91.50941061979448,88.885269160541,91.0852075841458,2048700.0,,,,,
2024-06-13,89.27001190185547,89.92111739597287,88.93459939388109,89.13189998368541,1627100.0,,,,,
2024-06-14,87.6028060913086,88.77675745599002,86.60642075064105,88.40188330551278,2688600.0,,,,,
2024-06-17,87.58306884765625,87.7113210075848,86.25127102237005,87.05034821223472,1832700.0,,,,,
2024-06-18,87.99740600585938,88.15525250472453,87.09967850480359,87.29697910184971,1604400.0,,,,,
2024-06-20,88.49066162109375,89.44758528568224,87.84943094209201,87.87902527785701,2039500.0,,,,,
2024-06-21,88.66824340820312,88.97406913479776,87.97768375434892,88.78662828880773,5307800.0,,,,,
2024-06-24,87.89875793457031,89.07271683838664,87.52388378006975,88.55972323061164,1828400.0,,,,,
2024-06-25,87.10954284667969,88.34269035285276,86.99115797653445,87.52387860238542,1450000.0,,,,,
2024-06-26,86.94183349609375,87.26738626068152,86.48803609388146,86.81358885846923,1089700.0,,,,,
2024-06-27,87.93822479248047,88.03687509937274,86.5373708656167,86.91224504242172,1266600.0,,,,,
2024-06-28,88.29336547851562,88.82608612872109,87.99740705288967,88.19471517881878,2199400.0,,,,,
2024-07-01,86.48802947998047,88.54985597149583,85.9059874846535,88.54985597149583,1896100.0,,,,,
2024-07-02,85.16610717773438,86.92210814609416,84.92933742074935,86.37952019450631,2233300.0,,,,,
2024-07-03,86.10330200195312,87.85930308582644,85.61991022108079,85.91586114697695,1556900.0,,,,,
2024-07-05,85.65936279296875,86.71493678945038,85.05758618944289,85.649495505188,1925200.0,,,,,
