Date,Close,High,Low,Open,Volume,"('Close', 'ROST')","('High', 'ROST')","('Low', 'ROST')","('Open', 'ROST')","('Volume', 'ROST')"
2024-06-03,138.963623046875,139.13090502721613,137.1530257143721,137.2514189301674,2587200.0,,,,,
2024-06-04,138.68809509277344,140.5971006157854,137.51710624010192,139.00297439765848,2558100.0,,,,,
2024-06-05,142.0337677001953,142.19121486350286,137.92056190995393,139.0620313214518,4078400.0,,,,,
2024-06-06,141.84677124023438,142.62415706121357,141.10875470929668,142.34863209086228,1705800.0,,,,,
2024-06-07,141.9747314453125,142.53563134455365,141.52208961100146,142.2207370119997,2032900.0,,,,,
2024-06-10,142.44705200195312,142.92922829799247,141.7385547981754,141.7385547981754,2513900.0,,,,,
2024-06-11,142.63253784179688,142.68186736235108,140.72852673184929,141.92223489493372,2126000.0,,,,,
2024-06-12,142.44509887695312,143.54014803107302,141.48816335248543,142.98769351246418,2162000.0,,,,,
2024-06-13,143.6881103515625,144.28003446296918,141.95182270642798,142.58320140040922,2003600.0,,,,,
2024-06-14,143.96435546875,144.65493870224205,143.65853349273587,143.68812819665612,2670700.0,,,,,
2024-06-17,148.3544158935547,148.4136052968743,143.04687861480477,143.69799215783297,2651800.0,,,,,
2024-06-18,146.68719482421875,148.1571153582646,146.38137283534363,147.97954712727568,2510200.0,,,,,
2024-06-20,145.38494873046875,147.36788403891305,144.94101315730794,146.3714789167177,2714900.0,,,,,
2024-06-21,147.27908325195312,147.58492025104113,145.6315796655386,146.40107199803745,4509400.0,,,,,
2024-06-24,147.2396240234375,147.8907375313978,146.34187797942454,147.8907375313978,1655600.0,,,,,
2024-06-25,146.46026611328125,147.51584549867067,145.50333070650737,147.51584549867067,1788600.0,,,,,
2024-06-26,146.7364959716797,147.26921561487617,145.80915524717557,146.1643066937249,1717500.0,,,,,
2024-06-27,144.11231994628906,146.42079678563937,143.9939411504008,146.37146726960097,1794500.0,,,,,
2024-06-28,143.36256408691406,144.37868890499877,142.91861349085832,143.78676481242778,8586000.0,,,,,
2024-07-01,143.28366088867188,144.30964573926985,142.4648389635831,143.80652072406176,1965800.0,,,,,
2024-07-02,142.45494079589844,144.17150859361536,142.24777790417252,143.2934974044207,1854500.0,,,,,
2024-07-03,142.0603485107422,142.84957567978643,141.8531705457313,142.45495456863625,1170600.0,,,,,
2024-07-05,143.5894775390625,143.8952995008871,142.08008749613327,142.29712535031652,1601700.0,,,,,
2024-07-08,144.714111328125,145.00019845059674,143.71770623416822,144.24058106705724,1088900.0,,,,,
2024-07-09,144.85223388671875,145.79929446729568,144.69438543887043,145.23698007006374,1313700.0,,,,,
2024-07-10,146.0360565185547,146.26295423755013,144.8522233522999,144.8522233522999,1432100.0,,,,,
2024-07-11,148.7687530517578,149.0647151142149,146.50959052648275,146.61810944760848,1779600.0,,,,,
2024-07-12,149.68621826171875,150.99830519230318,149.13376377584228,149.22254787823192,1648700.0,,,,,
2024-07-15,146.08538818359375,149.34094072858286,145.87821022615793,148.38400526725945,2685600.0,,,,,
2024-07-16,146.86473083496094,147.33827612022418,145.16789786257104,145.90779543588334,2027000.0,,,,,
2024-07-17,145.6118621826172,146.98313854569173,144.7831653818749,146.63784695761112,2058200.0,,,,,
2024-07-18,142.5536346435547,145.79931285041368,142.0110399439483,145.79931285041368,2168800.0,,,,,
2024-07-19,141.5670928955078,143.43163449248908,140.88638460477134,143.0468882916281,3550700.0,,,,,
2024-07-22,142.9679412841797,143.05672538101868,141.51774082279027,142.37603225199828,1957400.0,,,,,
2024-07-23,141.84329223632812,143.30335252476976,141.31057262205016,142.96793591380757,1906400.0,,,,,
2024-07-24,140.1760711669922,141.8137148961395,139.88010909916642,141.6460065701313,1939800.0,,,,,
2024-07-25,139.2092742919922,141.37963767718608,139.11061525269687,140.1859445892946,1800500.0,,,,,
2024-07-26,139.011962890625,140.59040205145143,138.52855771241448,140.08727710917478,1853700.0,,,,,
2024-07-29,139.9984893798828,140.49175442733227,137.76892173132836,139.52494409598802,1595600.0,,,,,
2024-07-30,140.8271942138672,141.35991392931663,139.89985336358748,140.30433438181709,1210100.0,,,,,
2024-07-31,141.3007049560547,142.43522362667704,140.72851567972648,141.448693506095,1743800.0,,,,,
2024-08-01,141.05409240722656,141.7742703356134,139.70255076761526,141.7742703356134,1862100.0,,,,,
2024-08-02,138.3509979248047,142.30697852921773,135.80574825286538,141.6558649973425,2363500.0,,,,,
2024-08-05,134.22731018066406,137.8281548068457,133.69459044221182,136.4963328808285,2565100.0,,,,,
2024-08-06,135.13490295410156,136.4667247490803,133.70443717080428,134.01025912512745,1926500.0,,,,,
2024-08-07,134.49365234375,137.93664786323268,134.3259440306412,136.30886414202098,1421400.0,,,,,
2024-08-08,137.34471130371094,137.52227948267372,134.79946203246934,135.5492194324015,1892500.0,,,,,
2024-08-09,137.75906372070312,137.9563667317119,136.36805265522077,137.25593878464252,1225700.0,,,,,
2024-08-12,138.7751922607422,139.25859744598284,137.22634777674514,138.25233249354045,1708400.0,,,,,
2024-08-13,139.7419891357422,140.00835649002823,138.42991728865093,139.1500800801965,1218200.0,,,,,
2024-08-14,139.43617248535156,140.3733731487716,138.31152867859635,139.0415664333608,1529700.0,,,,,
2024-08-15,145.80917358398438,145.87822287361237,142.53388593688203,142.84958284162985,2443100.0,,,,,
2024-08-16,145.41452026367188,145.89792539708768,144.1813577273339,145.20735738738912,3117200.0,,,,,
2024-08-19,145.41452026367188,146.39119041162286,144.88180067140547,145.4243951980449,1363700.0,,,,,
