Date,Close,High,Low,Open,Volume,"('Close', 'CETX')","('High', 'CETX')","('Low', 'CETX')","('Open', 'CETX')","('Volume', 'CETX')"
2024-06-03,11340.0,12033.0,11025.0,11434.5,43.0,,,,,
2024-06-04,10489.5,11340.0,10426.5,11340.0,30.0,,,,,
2024-06-05,11529.0,12285.0,10174.5,10206.0,71.0,,,,,
2024-06-06,10804.5,11875.5,10395.0,11718.0,49.0,,,,,
2024-06-07,10080.0,10773.0,9544.5,10710.0,45.0,,,,,
2024-06-10,9765.0,10300.5,9765.0,10080.0,23.0,,,,,
2024-06-11,10080.0,10647.0,9576.0,9639.0,39.0,,,,,
2024-06-12,10237.5,10710.0,9796.5,10237.5,11.0,,,,,
2024-06-13,9828.0,10395.0,9765.0,10395.0,9.0,,,,,
2024-06-14,8788.5,10048.5,8568.0,9765.0,52.0,,,,,
2024-06-17,7906.5,8820.0,6961.5,8820.0,93.0,,,,,
2024-06-18,7686.0,8725.5,7245.0,8095.5,46.0,,,,,
2024-06-20,7875.0,7938.0,7245.0,7938.0,31.0,,,,,
2024-06-21,7339.5,7843.5,7087.5,7654.5,46.0,,,,,
2024-06-24,6930.0,7497.0,6678.0,7497.0,54.0,,,,,
2024-06-25,7245.0,7497.0,6678.0,6993.0,25.0,,,,,
2024-06-26,7339.5,7497.0,6930.0,7371.0,29.0,,,,,
2024-06-27,7087.5,7308.0,6804.0,7119.0,28.0,,,,,
2024-06-28,6930.0,7182.0,6615.0,6930.0,24.0,,,,,
2024-07-01,6898.5,6930.0,6615.0,6930.0,13.0,,,,,
2024-07-02,6741.0,6930.0,6520.5,6898.5,12.0,,,,,
2024-07-03,6772.5,6867.0,6552.0,6741.0,17.0,,,,,
2024-07-05,7087.5,7308.0,6457.5,6646.5,43.0,,,,,
2024-07-08,6804.0,7056.0,6646.5,7056.0,21.0,,,,,
2024-07-09,6520.5,6804.0,6331.5,6804.0,14.0,,,,,
2024-07-10,6709.5,6835.5,6394.5,6772.5,20.0,,,,,
2024-07-11,6993.0,7308.0,6646.5,7087.5,39.0,,,,,
2024-07-12,7339.5,7402.5,6772.5,7182.0,26.0,,,,,
2024-07-15,7497.0,7812.0,7056.0,7119.0,56.0,,,,,
2024-07-16,7717.5,7938.0,7465.5,7465.5,30.0,,,,,
2024-07-17,7560.0,7717.5,7276.5,7686.0,11.0,,,,,
2024-07-18,7182.0,7812.0,7150.5,7560.0,14.0,,,,,
2024-07-19,7182.0,7371.0,6772.5,7245.0,17.0,,,,,
2024-07-22,6804.0,7182.0,6457.5,7024.5,23.0,,,,,
2024-07-23,6772.5,7371.0,6772.5,6930.0,22.0,,,,,
2024-07-24,6520.5,6993.0,6300.0,6867.0,25.0,,,,,
2024-07-25,6457.5,6772.5,6016.5,6583.5,21.0,,,,,
2024-07-26,6394.5,6772.5,6079.5,6583.5,20.0,,,,,
2024-07-29,6111.0,6489.0,6016.5,6363.0,20.0,,,,,
2024-07-30,5922.0,6237.0,5733.0,6111.0,15.0,,,,,
