Date,Close,High,Low,Open,Volume,"('Close', 'PENN')","('High', 'PENN')","('Low', 'PENN')","('Open', 'PENN')","('Volume', 'PENN')"
2024-06-03,17.329999923706055,18.200000762939453,17.049999237060547,17.68000030517578,9997600.0,,,,,
2024-06-04,16.459999084472656,17.299999237060547,16.270000457763672,17.290000915527344,5941400.0,,,,,
2024-06-05,16.350000381469727,16.5,15.699999809265137,16.399999618530273,5081500.0,,,,,
2024-06-06,17.280000686645508,17.3700008392334,16.079999923706055,16.190000534057617,6933600.0,,,,,
2024-06-07,17.15999984741211,17.420000076293945,16.760000228881836,16.889999389648438,4605400.0,,,,,
2024-06-10,17.25,17.700000762939453,16.959999084472656,17.149999618530273,6061200.0,,,,,
2024-06-11,17.329999923706055,17.6200008392334,16.920000076293945,17.149999618530273,4464900.0,,,,,
2024-06-12,18.549999237060547,18.68000030517578,17.670000076293945,17.700000762939453,12550400.0,,,,,
2024-06-13,19.049999237060547,19.170000076293945,18.5,18.549999237060547,7932000.0,,,,,
2024-06-14,17.399999618530273,18.8799991607666,16.93000030517578,18.81999969482422,9349700.0,,,,,
2024-06-17,18.520000457763672,18.540000915527344,17.31999969482422,17.3700008392334,6293300.0,,,,,
2024-06-18,18.229999542236328,18.71999931335449,17.799999237060547,18.399999618530277,4113300.0,,,,,
2024-06-20,20.040000915527344,20.1299991607666,18.239999771118164,18.350000381469727,16990500.0,,,,,
2024-06-21,19.82999992370605,20.049999237060547,19.020000457763672,19.799999237060547,35355600.0,,,,,
2024-06-24,19.34000015258789,20.07999992370605,19.299999237060547,19.799999237060547,5775100.0,,,,,
2024-06-25,18.26000022888184,18.989999771118164,18.18000030517578,18.68000030517578,5326400.0,,,,,
2024-06-26,18.299999237060547,18.93000030517578,18.190000534057617,18.200000762939453,6423500.0,,,,,
2024-06-27,18.88999938964844,18.899999618530277,18.06999969482422,18.3700008392334,4882400.0,,,,,
2024-06-28,19.36000061035156,19.899999618530277,18.88999938964844,19.049999237060547,5817900.0,,,,,
2024-07-01,18.780000686645508,19.670000076293945,18.61000061035156,19.200000762939453,5563700.0,,,,,
2024-07-02,18.809999465942383,19.21999931335449,18.649999618530277,18.86000061035156,3007200.0,,,,,
2024-07-03,18.739999771118164,19.450000762939453,18.71999931335449,18.940000534057617,1851200.0,,,,,
