Date,Close,High,Low,Open,Volume,"('Close', 'AR')","('High', 'AR')","('Low', 'AR')","('Open', 'AR')","('Volume', 'AR')"
2024-06-03,35.11000061035156,36.27999877929688,34.66999816894531,36.13999938964844,4151500.0,,,,,
2024-06-04,33.709999084472656,34.66999816894531,33.0,34.66999816894531,4163100.0,,,,,
2024-06-05,34.41999816894531,34.63999938964844,33.779998779296875,33.810001373291016,2446200.0,,,,,
2024-06-06,34.06999969482422,34.720001220703125,33.779998779296875,34.459999084472656,1675900.0,,,,,
2024-06-07,34.02000045776367,34.349998474121094,33.619998931884766,33.790000915527344,1912600.0,,,,,
2024-06-10,35.220001220703125,35.4900016784668,34.11000061035156,34.220001220703125,2986800.0,,,,,
2024-06-11,35.369998931884766,35.59000015258789,34.810001373291016,35.04999923706055,2753300.0,,,,,
2024-06-12,34.86000061035156,35.81999969482422,34.63999938964844,35.65999984741211,2880300.0,,,,,
2024-06-13,34.11000061035156,35.0,33.75,34.70000076293945,2750200.0,,,,,
2024-06-14,33.15999984741211,33.97999954223633,32.939998626708984,33.900001525878906,3435400.0,,,,,
2024-06-17,32.54999923706055,33.31999969482422,32.2599983215332,33.15999984741211,3964100.0,,,,,
2024-06-18,32.79999923706055,32.97999954223633,32.380001068115234,32.63999938964844,3639900.0,,,,,
2024-06-20,32.470001220703125,33.189998626708984,32.380001068115234,32.619998931884766,3647600.0,,,,,
2024-06-21,32.43000030517578,32.790000915527344,32.0,32.4900016784668,6619400.0,,,,,
2024-06-24,33.4900016784668,33.77000045776367,32.54999923706055,32.560001373291016,3543100.0,,,,,
2024-06-25,33.5099983215332,33.81999969482422,32.91999816894531,33.2400016784668,2982900.0,,,,,
2024-06-26,32.88999938964844,33.38999938964844,32.630001068115234,33.38999938964844,2503100.0,,,,,
2024-06-27,32.619998931884766,33.209999084472656,32.18000030517578,33.029998779296875,2438500.0,,,,,
2024-06-28,32.630001068115234,33.27000045776367,32.209999084472656,32.95000076293945,4492200.0,,,,,
2024-07-01,32.130001068115234,32.72999954223633,31.950000762939453,32.689998626708984,3057900.0,,,,,
2024-07-02,32.86000061035156,32.880001068115234,32.15999984741211,32.380001068115234,2353900.0,,,,,
2024-07-03,33.29999923706055,33.43000030517578,32.86000061035156,33.0,1640100.0,,,,,
2024-07-05,32.61000061035156,33.33000183105469,32.439998626708984,33.13999938964844,1470900.0,,,,,
2024-07-08,32.79999923706055,33.15999984741211,32.400001525878906,32.79999923706055,1963000.0,,,,,
2024-07-09,32.47999954223633,32.720001220703125,32.04999923706055,32.61000061035156,2772700.0,,,,,
