Date,Close,High,Low,Open,Volume,"('Close', 'LOW')","('High', 'LOW')","('Low', 'LOW')","('Open', 'LOW')","('Volume', 'LOW')"
2024-06-03,211.59075927734372,215.7790404715512,210.8780736625044,214.4805764710863,2480500.0,,,,,
2024-06-04,211.39552307128903,213.15284348324775,210.00919666212283,210.1946936635191,2291200.0,,,,,
2024-06-05,214.2657928466797,214.4415174248378,210.64376010602345,211.6493349173856,1727900.0,,,,,
2024-06-06,213.2699737548828,214.97847665845336,212.82088990538648,214.0314767144315,2033900.0,,,,,
2024-06-07,211.53219604492188,213.0552020549037,209.6577259636393,211.16120205383663,1602400.0,,,,,
2024-06-10,212.9282989501953,213.2114157562257,210.97572404885275,211.3174157184091,1851500.0,,,,,
2024-06-11,213.17236328125,213.34808786561945,209.91155198952305,212.6744471649424,1910100.0,,,,,
2024-06-12,219.6842041015625,221.6074915517096,216.56008727037263,216.56008727037263,3609500.0,,,,,
2024-06-13,221.4805450439453,222.007733649301,218.08306929497107,220.6116499131255,2116600.0,,,,,
2024-06-14,218.0538024902344,220.39688635314337,216.1695600122005,219.47917378946545,1936600.0,,,,,
2024-06-17,221.3927001953125,221.84178406173143,216.35505358311096,217.0872691408043,1700800.0,,,,,
2024-06-18,222.36898803710935,223.7650718859448,221.5684252086018,222.11514377589296,2072900.0,,,,,
2024-06-20,222.1346435546875,222.95472129435103,219.7622726155976,221.42195801166764,2377800.0,,,,,
2024-06-21,223.1695556640625,224.6437593205725,221.17793572216888,222.2811304653262,3627300.0,,,,,
2024-06-24,222.9742889404297,224.55586983410797,222.3494655715846,223.33551052800703,3463000.0,,,,,
2024-06-25,212.0984344482422,221.6758113141516,211.83483268307165,221.4219819568901,3892000.0,,,,,
2024-06-26,213.5921630859375,213.96315707696053,210.75116308481327,211.327183991129,2601200.0,,,,,
2024-06-27,214.5879821777344,215.09565581741543,212.90876659006668,214.34391031786365,2654600.0,,,,,
2024-06-28,215.2323303222656,216.3062375418682,213.1918783007896,214.94919862927827,12630400.0,,,,,
2024-07-01,208.49594116210935,215.2713783096554,208.41783638007564,214.23651601739533,2569200.0,,,,,
