Date,Close,High,Low,Open,Volume,"('Close', 'ECDA')","('High', 'ECDA')","('Low', 'ECDA')","('Open', 'ECDA')","('Volume', 'ECDA')"
2024-06-03,44.400001525878906,45.20000076293945,42.400001525878906,45.20000076293945,453.0,,,,,
2024-06-04,45.59999847412109,45.59999847412109,44.0,44.400001525878906,845.0,,,,,
2024-06-05,44.20000076293945,45.20000076293945,43.59999847412109,44.0,333.0,,,,,
2024-06-06,43.59999847412109,44.79999923706055,43.59999847412109,43.79999923706055,523.0,,,,,
2024-06-07,42.79999923706055,44.0,42.0,44.0,790.0,,,,,
2024-06-10,38.79999923706055,43.0,38.0,42.08000183105469,2633.0,,,,,
2024-06-11,37.0,38.79999923706055,36.79999923706055,38.79999923706055,2453.0,,,,,
2024-06-12,40.0,41.08000183105469,38.63999938964844,38.79999923706055,450.0,,,,,
2024-06-13,40.400001525878906,41.20000076293945,38.959999084472656,41.20000076293945,633.0,,,,,
2024-06-14,38.79999923706055,41.20000076293945,38.79999923706055,38.79999923706055,95.0,,,,,
2024-06-17,40.20000076293945,41.59999847412109,38.79999923706055,38.84000015258789,693.0,,,,,
2024-06-18,38.79999923706055,41.20000076293945,38.79999923706055,40.79999923706055,200.0,,,,,
2024-06-20,42.0,42.0,40.0,40.0,148.0,,,,,
2024-06-21,39.20000076293945,40.400001525878906,39.20000076293945,39.59999847412109,930.0,,,,,
2024-06-24,39.59999847412109,40.20000076293945,39.20000076293945,39.20000076293945,190.0,,,,,
2024-06-25,41.20000076293945,43.959999084472656,39.27999877929688,43.959999084472656,523.0,,,,,
2024-06-26,39.52000045776367,41.20000076293945,38.0,39.47999954223633,900.0,,,,,
2024-06-27,38.43999862670898,39.59999847412109,38.400001525878906,39.59999847412109,285.0,,,,,
2024-06-28,48.400001525878906,58.0,43.59999847412109,48.79999923706055,449085.0,,,,,
2024-07-01,44.0,49.20000076293945,42.79999923706055,48.0,27273.0,,,,,
2024-07-02,44.0,44.79999923706055,40.0,44.0,8020.0,,,,,
2024-07-03,46.0,46.0,42.400001525878906,43.59999847412109,3135.0,,,,,
2024-07-05,48.79999923706055,50.0,45.20000076293945,46.79999923706055,5715.0,,,,,
2024-07-08,47.59999847412109,50.400001525878906,46.0,50.0,2968.0,,,,,
2024-07-09,47.20000076293945,48.79999923706055,46.0,48.400001525878906,2335.0,,,,,
2024-07-10,44.0,48.400001525878906,44.0,48.0,4038.0,,,,,
2024-07-11,46.0,46.79999923706055,44.79999923706055,46.0,1033.0,,,,,
2024-07-12,46.0,47.20000076293945,44.79999923706055,44.79999923706055,620.0,,,,,
2024-07-15,52.400001525878906,54.0,45.59999847412109,46.79999923706055,10800.0,,,,,
2024-07-16,50.400001525878906,52.79999923706055,50.0,51.59999847412109,4975.0,,,,,
2024-07-17,51.59999847412109,53.20000076293945,50.400001525878906,50.400001525878906,1873.0,,,,,
2024-07-18,48.400001525878906,52.0,48.0,52.0,498.0,,,,,
2024-07-19,50.0,52.0,48.79999923706055,51.20000076293945,1650.0,,,,,
2024-07-22,51.20000076293945,53.20000076293945,49.31999969482422,50.0,753.0,,,,,
2024-07-23,51.400001525878906,52.400001525878906,48.0,49.20000076293945,498.0,,,,,
