Date,Close,High,Low,Open,Volume,"('Close', 'OGI')","('High', 'OGI')","('Low', 'OGI')","('Open', 'OGI')","('Volume', 'OGI')"
2024-06-03,1.6549999713897705,1.7400000095367432,1.649999976158142,1.7400000095367432,1141300.0,,,,,
2024-06-04,1.659999966621399,1.690000057220459,1.6100000143051147,1.649999976158142,621000.0,,,,,
2024-06-05,1.6799999475479126,1.7000000476837158,1.649999976158142,1.649999976158142,416600.0,,,,,
2024-06-06,1.6699999570846558,1.6990000009536743,1.6449999809265137,1.690000057220459,536500.0,,,,,
2024-06-07,1.5800000429153442,1.6649999618530271,1.531000018119812,1.659999966621399,2249600.0,,,,,
2024-06-10,1.590000033378601,1.600000023841858,1.5499999523162842,1.559999942779541,723800.0,,,,,
2024-06-11,1.5850000381469729,1.600000023841858,1.5499999523162842,1.590000033378601,440700.0,,,,,
2024-06-12,1.6100000143051147,1.659999966621399,1.600000023841858,1.6100000143051147,794800.0,,,,,
2024-06-13,1.559999942779541,1.625,1.5499999523162842,1.6200000047683716,447300.0,,,,,
2024-06-14,1.524999976158142,1.559999942779541,1.5199999809265137,1.5499999523162842,568400.0,,,,,
2024-06-17,1.5099999904632568,1.5299999713897705,1.4800000190734863,1.5199999809265137,779400.0,,,,,
2024-06-18,1.5399999618530271,1.559999942779541,1.5,1.5,294500.0,,,,,
2024-06-20,1.5399999618530271,1.559999942779541,1.5099999904632568,1.5199999809265137,385400.0,,,,,
2024-06-21,1.524999976158142,1.5399999618530271,1.5049999952316284,1.5299999713897705,280200.0,,,,,
2024-06-24,1.5700000524520874,1.590000033378601,1.531999945640564,1.5399999618530271,364500.0,,,,,
2024-06-25,1.4900000095367432,1.5800000429153442,1.4800000190734863,1.559999942779541,1059600.0,,,,,
2024-06-26,1.524999976158142,1.5499999523162842,1.4800000190734863,1.4900000095367432,539000.0,,,,,
2024-06-27,1.600000023841858,1.6299999952316284,1.5199999809265137,1.5399999618530271,676300.0,,,,,
2024-06-28,1.5399999618530271,1.6299999952316284,1.5399999618530271,1.6200000047683716,398400.0,,,,,
2024-07-01,1.5399999618530271,1.5800000429153442,1.5299999713897705,1.5399999618530271,402600.0,,,,,
2024-07-02,1.4900000095367432,1.5499999523162842,1.4800000190734863,1.5399999618530271,802500.0,,,,,
2024-07-03,1.590000033378601,1.618000030517578,1.5099999904632568,1.5099999904632568,424300.0,,,,,
2024-07-05,1.5850000381469729,1.6059999465942385,1.565000057220459,1.600000023841858,260800.0,,,,,
2024-07-08,1.5700000524520874,1.590000033378601,1.5399999618530271,1.5800000429153442,290200.0,,,,,
2024-07-09,1.5700000524520874,1.600000023841858,1.5499999523162842,1.559999942779541,315100.0,,,,,
