Date,Close,High,Low,Open,Volume,"('Close', 'ERAS')","('High', 'ERAS')","('Low', 'ERAS')","('Open', 'ERAS')","('Volume', 'ERAS')"
2024-06-03,2.5799999237060547,2.694999933242798,2.430000066757202,2.5199999809265137,1729400.0,,,,,
2024-06-04,2.609999895095825,2.619999885559082,2.5,2.559999942779541,1595600.0,,,,,
2024-06-05,2.619999885559082,2.700000047683716,2.5910000801086426,2.619999885559082,2028800.0,,,,,
2024-06-06,2.3550000190734863,2.619999885559082,2.345000028610229,2.609999895095825,654400.0,,,,,
2024-06-07,2.375,2.4100000858306885,2.309999942779541,2.319999933242798,495300.0,,,,,
2024-06-10,2.2799999713897705,2.369999885559082,2.25,2.3499999046325684,735500.0,,,,,
2024-06-11,2.25,2.259999990463257,2.119999885559082,2.240000009536743,753400.0,,,,,
2024-06-12,2.220000028610229,2.380000114440918,2.2100000381469727,2.3299999237060547,761700.0,,,,,
2024-06-13,2.180000066757202,2.289999961853028,2.1700000762939453,2.2300000190734863,933900.0,,,,,
2024-06-14,2.1700000762939453,2.240000009536743,2.150000095367432,2.1600000858306885,672100.0,,,,,
2024-06-17,2.0,2.13700008392334,1.9600000381469729,2.130000114440918,1185200.0,,,,,
2024-06-18,2.039999961853028,2.069999933242798,1.9600000381469729,1.9900000095367432,858200.0,,,,,
2024-06-20,2.0299999713897705,2.059999942779541,2.009999990463257,2.039999961853028,599500.0,,,,,
2024-06-21,2.109999895095825,2.140000104904175,2.015000104904175,2.039999961853028,2824200.0,,,,,
2024-06-24,2.1600000858306885,2.190000057220459,2.0899999141693115,2.119999885559082,2998900.0,,,,,
2024-06-25,2.0799999237060547,2.240000009536743,2.069999933242798,2.109999895095825,2828800.0,,,,,
2024-06-26,2.200000047683716,2.240000009536743,2.009999990463257,2.059999942779541,3262200.0,,,,,
2024-06-27,2.309999942779541,2.369999885559082,2.1700000762939453,2.2100000381469727,3181800.0,,,,,
2024-06-28,2.359999895095825,2.3949999809265137,2.140000104904175,2.309999942779541,6893200.0,,,,,
2024-07-01,2.440000057220459,2.470000028610229,2.3350000381469727,2.3399999141693115,10546300.0,,,,,
2024-07-02,2.319999933242798,2.509999990463257,2.319999933242798,2.430000066757202,1228800.0,,,,,
2024-07-03,2.180000066757202,2.3299999237060547,2.180000066757202,2.309999942779541,517800.0,,,,,
2024-07-05,2.1700000762939453,2.2049999237060547,2.0999999046325684,2.150000095367432,697400.0,,,,,
2024-07-08,2.3499999046325684,2.3499999046325684,2.2100000381469727,2.2100000381469727,775900.0,,,,,
2024-07-09,2.7100000381469727,2.720000028610229,2.309999942779541,2.3399999141693115,2635300.0,,,,,
2024-07-10,2.680000066757202,2.7699999809265137,2.5999999046325684,2.720000028610229,3581700.0,,,,,
2024-07-11,2.809999942779541,2.859999895095825,2.630000114440918,2.680000066757202,3763100.0,,,,,
2024-07-12,2.970000028610229,3.0999999046325684,2.789999961853028,2.859999895095825,5531000.0,,,,,
