Date,Close,High,Low,Open,Volume,"('Close', 'NVS')","('High', 'NVS')","('Low', 'NVS')","('Open', 'NVS')","('Volume', 'NVS')"
2024-06-03,99.07411193847656,99.98039015267292,99.03554581255004,99.52725472344294,1594300.0,,,,,
2024-06-04,101.15663146972656,101.18555422530066,99.79721046758888,100.09608874950314,1685700.0,,,,,
2024-06-05,101.5808563232422,101.80260236366324,101.29161404229492,101.68691133587376,1109100.0,,,,,
2024-06-06,102.32323455810548,102.6413995975616,101.86045573320273,101.88937849029205,1031400.0,,,,,
2024-06-07,101.55193328857422,102.41000940243794,101.48444440396932,102.39072266070126,849700.0,,,,,
2024-06-10,101.61942291259766,101.67726842675512,101.02165896193564,101.30125787325804,1255800.0,,,,,
2024-06-11,100.76134490966795,101.21448771073212,100.47210263281184,101.21448771073212,1523000.0,,,,,
2024-06-12,101.76404571533205,102.55463296325216,101.73511560204412,102.5160668346052,1939000.0,,,,,
2024-06-13,102.21717834472656,102.38108622586944,101.17592232305334,101.98578893499214,1077600.0,,,,,
2024-06-14,101.92794036865234,102.94027360325548,101.1855553075402,102.83422595026168,2565100.0,,,,,
2024-06-17,101.16627502441406,101.38802841044674,100.49138620733449,100.69385285245836,997100.0,,,,,
2024-06-18,101.17591857910156,101.7833185155792,101.09878632679874,101.55192911440722,1051800.0,,,,,
2024-06-20,101.9472198486328,102.05327485746156,100.65528771306288,100.90596385717964,1285700.0,,,,,
2024-06-21,101.44587707519533,101.9182992618365,100.69385598257642,101.60977759933292,1302100.0,,,,,
2024-06-24,103.11382293701172,103.80799853780152,103.07526416428952,103.61517525124296,1551200.0,,,,,
2024-06-25,103.51876068115234,103.5476834377447,102.95956286791125,103.3741395424539,819400.0,,,,,
2024-06-26,103.2295150756836,103.48982723235912,102.7088834065961,102.93063679288272,1547200.0,,,,,
2024-06-27,102.7281723022461,102.9499183374474,102.30395226170576,102.82458394171348,1268700.0,,,,,
2024-06-28,102.64139556884766,103.27772562278372,102.42928555086895,102.92099446929808,1516900.0,,,,,
2024-07-01,102.7185287475586,103.7597921057086,102.48713934210411,102.75709487442376,1194200.0,,,,,
2024-07-02,102.6221160888672,102.85350549202316,102.10148441496388,102.50641770942096,1211300.0,,,,,
2024-07-03,102.94992065429688,103.19095343625796,102.68960848630309,102.74745400013798,516200.0,,,,,
2024-07-05,104.25149536132812,104.33827098711436,103.42234200963902,104.29970485962455,1465900.0,,,,,
2024-07-08,104.18400573730467,104.88782468645636,104.0008258276998,104.7817696755467,1426600.0,,,,,
2024-07-09,104.34791564941406,104.9745950006038,103.95261835455356,104.9745950006038,1530600.0,,,,,
2024-07-10,105.99657440185548,106.00621041662644,104.33826774992768,104.40575663200676,1253700.0,,,,,
2024-07-11,106.53649139404295,107.70308919539792,106.41115699340936,107.3077992514077,1997800.0,,,,,
2024-07-12,107.69344329833984,108.4454717517128,107.59703165736488,108.204438971407,1612900.0,,,,,
2024-07-15,106.37258911132812,108.02125245742224,106.27617746968116,108.02125245742224,1350900.0,,,,,
2024-07-16,106.56541442871094,106.65219005686528,106.06406946913522,106.0833488555379,1142000.0,,,,,
2024-07-17,107.78986358642578,108.3008519098781,107.01855573791188,107.19209963604068,1792700.0,,,,,
2024-07-18,103.37413787841795,104.40575786278023,102.84386283030516,103.9429716975421,3461100.0,,,,,
