Date,Close,High,Low,Open,Volume,"('Close', 'LMT')","('High', 'LMT')","('Low', 'LMT')","('Open', 'LMT')","('Volume', 'LMT')"
2024-06-03,452.2848815917969,455.1092274162871,449.7797144153304,450.7372798774493,990100.0,,,,,
2024-06-04,453.5326232910156,454.7610167968002,450.8920274037882,452.1978172275391,845800.0,,,,,
2024-06-05,449.9924926757813,453.49392333973134,448.4352091018644,453.0780140659575,915300.0,,,,,
2024-06-06,453.271484375,454.40317685217485,449.14134848950926,449.9925309478888,768100.0,,,,,
2024-06-07,454.7319946289063,459.7229944229916,453.27144170631,453.455221061526,1042800.0,,,,,
2024-06-10,452.1494140625,455.3316659408193,450.5051113652561,455.3316659408193,900400.0,,,,,
2024-06-11,447.64202880859375,451.2982223416312,447.42923322654207,450.427705694345,908300.0,,,,,
2024-06-12,444.0729675292969,448.0580518626862,442.6801583424447,447.1584892904849,1026400.0,,,,,
2024-06-13,443.5409240722656,444.69195073250575,441.0744552392056,443.6183203871641,742000.0,,,,,
2024-06-14,443.3281555175781,443.5409511194571,439.5558966824936,441.5484239009753,702800.0,,,,,
2024-06-17,443.9761962890625,444.1502937201709,441.3646167502549,442.7574552352129,669700.0,,,,,
2024-06-18,444.9338073730469,445.6108923653992,442.4093058085717,444.740346084361,657900.0,,,,,
2024-06-20,451.0661010742188,452.1784295624888,444.1212725640356,444.93375675159047,1041400.0,,,,,
2024-06-21,452.2848815917969,454.41280812073313,448.4642426268184,451.8496084628078,3363500.0,,,,,
2024-06-24,456.0668029785156,460.10988977759496,452.49765793052063,453.6003045493394,1031500.0,,,,,
2024-06-25,452.7394409179688,456.1731569508377,451.3756187125577,455.3993709349373,711200.0,,,,,
2024-06-26,451.69482421875,452.7684841116309,448.5319360549449,451.7045061378896,932100.0,,,,,
2024-06-27,451.8302917480469,453.522974732,450.0698943604039,453.522974732,871000.0,,,,,
2024-06-28,451.8012390136719,456.29893324699646,449.6442668161295,454.65460095960856,3472500.0,,,,,
2024-07-01,451.1628723144531,456.2312391626359,449.5379037930881,455.35104050071794,562500.0,,,,,
2024-07-02,450.4470825195313,451.3853135877149,448.8220846106254,450.350351885256,502500.0,,,,,
