Date,Close,High,Low,Open,Volume,"('Close', 'AAPL')","('High', 'AAPL')","('Low', 'AAPL')","('Open', 'AAPL')","('Volume', 'AAPL')"
2024-06-03,192.90786743164065,193.8623221502784,191.40660565779223,191.7843976924141,50080500.0,,,,,
2024-06-04,193.2260284423828,194.19041988861156,191.91365507081835,193.51434462038463,47471400.0,,,,,
2024-06-05,194.7372283935547,195.76127042413225,193.74301165159247,194.269945311189,54156800.0,,,,,
2024-06-06,193.35525512695312,195.3635770625748,193.04705038431933,194.55826398135932,41181800.0,,,,,
2024-06-07,195.7513427734375,195.80105664694403,193.01724660656404,193.52429170702464,53103900.0,,,,,
2024-06-10,192.0031280517578,196.15896182874013,191.03873662001607,195.76126603853865,97010200.0,,,,,
2024-06-11,205.9519805908203,205.9619324668351,192.51018190883104,192.5300553197752,172373300.0,,,,,
2024-06-12,211.8377685546875,218.92652361101457,205.7034379048798,206.1707209873844,198134300.0,,,,,
2024-06-13,213.00100708007807,215.4964857209176,210.37627540407075,213.4981154669776,97862700.0,,,,,
2024-06-14,211.26112365722656,213.92561727783075,210.07800329190465,212.61325905037396,70122700.0,,,,,
2024-06-17,215.4169464111328,217.6837594401996,211.4897931914233,212.1360280257328,93728300.0,,,,,
2024-06-18,213.0506896972656,217.36560169939585,211.76815683093403,216.33160783720555,79943300.0,,,,,
2024-06-20,208.4673614501953,213.00100258632773,207.64217489543017,212.6927826496957,86172500.0,,,,,
2024-06-21,206.2900390625,210.66458669732776,205.91223184266303,209.17326157128963,241805100.0,,,,,
2024-06-24,206.936279296875,211.4699053713697,205.39524025887107,206.51871007112356,80727000.0,,,,,
2024-06-25,207.86090087890625,210.15753911842552,207.40355450398363,207.94042486793816,55549700.0,,,,,
2024-06-26,212.01670837402344,213.6173978459433,209.42180221570723,210.2768291728298,66213200.0,,,,,
2024-06-27,212.8618011474609,214.49231592564604,211.12192192565487,213.44838535845383,49772700.0,,,,,
2024-06-28,209.40191650390625,214.8204096554565,209.08377504858177,214.52214161134157,82542700.0,,,,,
2024-07-01,215.49647521972656,216.25207446959735,210.6944066158183,210.86342163866271,60402900.0,,,,,
2024-07-02,218.99610900878903,219.10547344874152,213.85601067210808,214.8999260337406,58046200.0,,,,,
2024-07-03,220.26870727539065,220.26870727539065,217.76327700783267,218.7276683957665,37369800.0,,,,,
2024-07-05,225.031005859375,225.14037030398515,220.36812707547224,220.36812707547224,60412400.0,,,,,
2024-07-08,226.50245666503903,226.53228195249957,221.9588790483477,225.77666754871936,59085900.0,,,,,
2024-07-09,227.35748291015625,228.07332019577044,225.0608446065374,226.6118203351868,48076100.0,,,,,
2024-07-10,231.6326141357422,231.7320418789461,227.9241899064988,227.9739037781008,62627700.0,,,,,
2024-07-11,226.25392150878903,231.04603853364384,224.4643282580064,230.0518217466028,64710600.0,,,,,
2024-07-12,229.2067108154297,231.2945719488415,227.3574671508641,227.59608461971035,53046500.0,,,,,
2024-07-15,233.04440307617188,235.8580383346859,231.7419815445035,235.11237576276483,62631300.0,,,,,
2024-07-16,233.4619903564453,234.9036016458956,230.9863851256273,233.64094209406048,43234300.0,,,,,
2024-07-17,227.5563201904297,230.12140106352723,225.3292693500046,228.1230158133756,57345900.0,,,,,
2024-07-18,222.8834991455078,229.10730558155055,220.9845567217071,228.94822726389444,66034600.0,,,,,
2024-07-19,223.01275634765625,225.4883615119168,221.9887143107171,223.5198165983548,49151500.0,,,,,
2024-07-22,222.6648101806641,226.46271062110856,221.79983121381875,225.69715940648985,48201800.0,,,,,
2024-07-23,223.70870971679688,225.6275559695254,221.3921828247117,223.07241159149987,39960300.0,,,,,
2024-07-24,217.276123046875,223.4999296447353,215.8742889513949,222.70455320631825,61777600.0,,,,,
2024-07-25,216.23220825195312,219.57277716709376,213.3787958392943,217.663867640833,51391200.0,,,,,
