Date,Close,High,Low,Open,Volume,"('Close', 'CHPT')","('High', 'CHPT')","('Low', 'CHPT')","('Open', 'CHPT')","('Volume', 'CHPT')"
2024-06-03,33.0,35.20000076293945,32.20000076293945,34.400001525878906,471640.0,,,,,
2024-06-04,33.599998474121094,33.79999923706055,32.20000076293945,32.599998474121094,473120.0,,,,,
2024-06-05,34.599998474121094,35.599998474121094,32.79999923706055,33.599998474121094,1164375.0,,,,,
2024-06-06,36.59999847412109,36.59999847412109,32.79999923706055,34.20000076293945,913415.0,,,,,
2024-06-07,36.0,36.70000076293945,34.599998474121094,35.0,465095.0,,,,,
2024-06-10,35.599998474121094,36.59999847412109,35.0,35.0,369330.0,,,,,
2024-06-11,35.79999923706055,36.0,34.79999923706055,35.400001525878906,468040.0,,,,,
2024-06-12,36.20000076293945,39.400001525878906,35.79999923706055,37.0,947315.0,,,,,
2024-06-13,34.400001525878906,37.20000076293945,34.400001525878906,37.20000076293945,397940.0,,,,,
2024-06-14,33.79999923706055,34.400001525878906,33.400001525878906,34.400001525878906,555775.0,,,,,
2024-06-17,33.0,34.20000076293945,33.0,33.20000076293945,492845.0,,,,,
2024-06-18,30.0,33.400001525878906,29.600000381469727,33.400001525878906,1092585.0,,,,,
2024-06-20,30.0,30.799999237060547,29.799999237060547,30.399999618530277,655855.0,,,,,
2024-06-21,28.399999618530277,29.799999237060547,27.0,29.799999237060547,1375065.0,,,,,
2024-06-24,27.799999237060547,28.399999618530277,27.600000381469727,28.399999618530277,417730.0,,,,,
2024-06-25,25.799999237060547,28.200000762939453,25.600000381469727,28.200000762939453,696845.0,,,,,
2024-06-26,28.0,28.200000762939453,26.0,26.799999237060547,776600.0,,,,,
2024-06-27,30.200000762939453,30.600000381469727,27.799999237060547,28.0,655490.0,,,,,
2024-06-28,30.200000762939453,30.600000381469727,29.0,30.200000762939453,2653720.0,,,,,
2024-07-01,29.600000381469727,30.600000381469727,29.0,30.0,328640.0,,,,,
2024-07-02,28.600000381469727,32.599998474121094,28.0,30.0,1033545.0,,,,,
2024-07-03,33.20000076293945,33.599998474121094,29.200000762939453,29.399999618530277,1165000.0,,,,,
2024-07-05,36.59999847412109,36.59999847412109,32.20000076293945,33.0,748020.0,,,,,
2024-07-08,37.20000076293945,37.59999847412109,35.599998474121094,36.400001525878906,541210.0,,,,,
2024-07-09,35.400001525878906,37.20000076293945,34.20000076293945,37.20000076293945,589885.0,,,,,
2024-07-10,38.20000076293945,38.400001525878906,34.900001525878906,35.400001525878906,602645.0,,,,,
2024-07-11,38.79999923706055,40.58000183105469,37.79999923706055,38.400001525878906,909035.0,,,,,
2024-07-12,44.0,44.400001525878906,39.09999847412109,39.20000076293945,1601820.0,,,,,
2024-07-15,43.59999847412109,44.400001525878906,41.0,44.20000076293945,1199840.0,,,,,
2024-07-16,47.400001525878906,48.0,44.400001525878906,44.400001525878906,1267700.0,,,,,
2024-07-17,43.20000076293945,48.79999923706055,42.400001525878906,45.400001525878906,991190.0,,,,,
2024-07-18,41.20000076293945,45.20000076293945,40.5,44.59999847412109,641485.0,,,,,
2024-07-19,39.20000076293945,40.400001525878906,37.20000076293945,39.20000076293945,1168435.0,,,,,
2024-07-22,40.0,40.79999923706055,38.400001525878906,40.20000076293945,504560.0,,,,,
2024-07-23,42.59999847412109,43.59999847412109,39.0,39.79999923706055,639405.0,,,,,
2024-07-24,38.59999847412109,42.400001525878906,38.59999847412109,41.59999847412109,869485.0,,,,,
2024-07-25,40.59999847412109,42.59999847412109,38.59999847412109,39.20000076293945,694895.0,,,,,
2024-07-26,43.79999923706055,44.79999923706055,41.0,42.400001525878906,844530.0,,,,,
