Date,Close,High,Low,Open,Volume,"('Close', 'KOS')","('High', 'KOS')","('Low', 'KOS')","('Open', 'KOS')","('Volume', 'KOS')"
2024-06-03,5.860000133514404,6.150000095367432,5.849999904632568,6.150000095367432,3267900.0,,,,,
2024-06-04,5.739999771118164,5.829999923706055,5.659999847412109,5.800000190734863,7560700.0,,,,,
2024-06-05,5.730000019073486,5.829999923706055,5.699999809265137,5.78000020980835,4570700.0,,,,,
2024-06-06,5.630000114440918,5.769999980926514,5.599999904632568,5.71999979019165,6046600.0,,,,,
2024-06-07,5.519999980926514,5.619999885559082,5.510000228881836,5.590000152587891,3266400.0,,,,,
2024-06-10,5.690000057220459,5.710000038146973,5.559999942779541,5.570000171661377,5433900.0,,,,,
2024-06-11,5.659999847412109,5.670000076293945,5.570000171661377,5.650000095367432,3635100.0,,,,,
2024-06-12,5.679999828338623,5.800000190734863,5.670000076293945,5.739999771118164,3663100.0,,,,,
2024-06-13,5.400000095367432,5.679999828338623,5.389999866485596,5.630000114440918,10786300.0,,,,,
2024-06-14,5.210000038146973,5.400000095367432,5.070000171661377,5.360000133514404,10638200.0,,,,,
2024-06-17,5.25,5.340000152587891,5.159999847412109,5.21999979019165,6713600.0,,,,,
2024-06-18,5.269999980926514,5.360000133514404,5.239999771118164,5.269999980926514,3720100.0,,,,,
2024-06-20,5.289999961853027,5.329999923706055,5.210000038146973,5.269999980926514,4008000.0,,,,,
2024-06-21,5.28000020980835,5.340000152587891,5.239999771118164,5.300000190734863,6293100.0,,,,,
2024-06-24,5.480000019073486,5.579999923706055,5.300000190734863,5.300000190734863,4404700.0,,,,,
2024-06-25,5.400000095367432,5.460000038146973,5.369999885559082,5.440000057220459,3697800.0,,,,,
2024-06-26,5.429999828338623,5.449999809265137,5.349999904632568,5.360000133514404,3732700.0,,,,,
2024-06-27,5.539999961853027,5.559999942779541,5.409999847412109,5.510000228881836,4400200.0,,,,,
2024-06-28,5.539999961853027,5.639999866485596,5.519999980926514,5.610000133514404,8362100.0,,,,,
2024-07-01,5.570000171661377,5.610000133514404,5.489999771118164,5.570000171661377,3761600.0,,,,,
2024-07-02,5.570000171661377,5.670000076293945,5.550000190734863,5.639999866485596,2649000.0,,,,,
2024-07-03,5.840000152587891,5.840000152587891,5.610000133514404,5.650000095367432,3423900.0,,,,,
2024-07-05,5.460000038146973,5.760000228881836,5.440000057220459,5.71999979019165,5364800.0,,,,,
2024-07-08,5.46999979019165,5.510000228881836,5.409999847412109,5.5,3259600.0,,,,,
2024-07-09,5.460000038146973,5.539999961853027,5.349999904632568,5.429999828338623,4048200.0,,,,,
