Date,Close,High,Low,Open,Volume,"('Close', 'HSAI')","('High', 'HSAI')","('Low', 'HSAI')","('Open', 'HSAI')","('Volume', 'HSAI')"
2024-06-03,4.840000152587891,4.974999904632568,4.795000076293945,4.920000076293945,294100.0,,,,,
2024-06-04,4.849999904632568,4.900000095367432,4.800000190734863,4.820000171661377,413100.0,,,,,
2024-06-05,4.909999847412109,4.949999809265137,4.84499979019165,4.920000076293945,329200.0,,,,,
2024-06-06,4.71999979019165,4.900000095367432,4.519999980926514,4.880000114440918,960000.0,,,,,
2024-06-07,4.71999979019165,4.739999771118164,4.650000095367432,4.679999828338623,595100.0,,,,,
2024-06-10,4.960000038146973,5.039999961853027,4.679999828338623,4.71999979019165,515800.0,,,,,
2024-06-11,4.889999866485596,5.070000171661377,4.849999904632568,4.949999809265137,212800.0,,,,,
2024-06-12,4.820000171661377,4.929999828338623,4.769999980926514,4.889999866485596,451100.0,,,,,
2024-06-13,4.829999923706055,4.889999866485596,4.78000020980835,4.880000114440918,253200.0,,,,,
2024-06-14,4.809999942779541,4.875,4.804999828338623,4.829999923706055,195900.0,,,,,
2024-06-17,4.710000038146973,4.829999923706055,4.619999885559082,4.809999942779541,403100.0,,,,,
2024-06-18,4.699999809265137,4.735000133514404,4.639999866485596,4.710000038146973,188800.0,,,,,
2024-06-20,4.340000152587891,4.699999809265137,4.230000019073486,4.659999847412109,660100.0,,,,,
2024-06-21,4.21999979019165,4.409999847412109,4.170000076293945,4.329999923706055,470500.0,,,,,
2024-06-24,4.300000190734863,4.380000114440918,4.199999809265137,4.199999809265137,413300.0,,,,,
2024-06-25,4.190000057220459,4.309999942779541,4.139999866485596,4.300000190734863,336500.0,,,,,
2024-06-26,4.349999904632568,4.360000133514404,4.21999979019165,4.230000019073486,199600.0,,,,,
2024-06-27,4.239999771118164,4.340000152587891,4.210000038146973,4.320000171661377,185400.0,,,,,
2024-06-28,4.190000057220459,4.320000171661377,4.150000095367432,4.269999980926514,305200.0,,,,,
2024-07-01,4.340000152587891,4.360000133514404,4.210000038146973,4.210000038146973,227800.0,,,,,
2024-07-02,4.349999904632568,4.360000133514404,4.260000228881836,4.309999942779541,169200.0,,,,,
2024-07-03,4.550000190734863,4.630000114440918,4.380000114440918,4.400000095367432,259500.0,,,,,
2024-07-05,4.349999904632568,4.474999904632568,4.260000228881836,4.449999809265137,391100.0,,,,,
2024-07-08,4.460000038146973,4.550000190734863,4.360000133514404,4.360000133514404,330200.0,,,,,
2024-07-09,4.579999923706055,4.71999979019165,4.474999904632568,4.5,251800.0,,,,,
2024-07-10,4.670000076293945,4.949999809265137,4.619999885559082,4.699999809265137,639100.0,,,,,
2024-07-11,4.71999979019165,4.880000114440918,4.679999828338623,4.75,337600.0,,,,,
2024-07-12,4.829999923706055,4.909999847412109,4.760000228881836,4.869999885559082,315200.0,,,,,
2024-07-15,4.630000114440918,4.849999904632568,4.610000133514404,4.849999904632568,308300.0,,,,,
