Date,Close,High,Low,Open,Volume,"('Close', 'NFLX')","('High', 'NFLX')","('Low', 'NFLX')","('Open', 'NFLX')","('Volume', 'NFLX')"
2024-06-03,633.7899780273438,646.780029296875,627.27001953125,645.219970703125,2323500.0,,,,,
2024-06-04,631.6199951171875,635.22998046875,626.4400024414062,633.780029296875,3008200.0,,,,,
2024-06-05,650.27001953125,651.25,628.25,634.02001953125,2682600.0,,,,,
2024-06-06,648.52001953125,657.989990234375,644.239990234375,644.8900146484375,2466700.0,,,,,
2024-06-07,641.469970703125,650.4000244140625,640.239990234375,649.3800048828125,1876600.0,,,,,
2024-06-10,644.5,644.7899780273438,635.5900268554688,641.010009765625,2064400.0,,,,,
2024-06-11,648.5499877929688,650.1900024414062,640.52001953125,640.719970703125,2167400.0,,,,,
2024-06-12,650.0599975585938,655.780029296875,643.1099853515625,652.2100219726562,2094400.0,,,,,
2024-06-13,653.260009765625,655.25,642.3499755859375,644.0,1863600.0,,,,,
2024-06-14,669.3800048828125,675.5800170898438,652.6400146484375,655.0499877929688,4447100.0,,,,,
2024-06-17,675.8300170898438,682.7100219726562,665.1099853515625,669.1099853515625,3631200.0,,,,,
2024-06-18,685.6699829101562,687.0599975585938,674.6400146484375,675.6300048828125,2943800.0,,,,,
2024-06-20,679.030029296875,689.8800048828125,673.719970703125,681.7999877929688,2585100.0,,,,,
2024-06-21,686.1199951171875,686.9000244140625,678.0999755859375,683.260009765625,4506400.0,,,,,
2024-06-24,669.02001953125,685.5,664.5,685.0,3916300.0,,,,,
2024-06-25,672.4099731445312,673.6699829101562,662.2999877929688,673.4400024414062,2270600.0,,,,,
2024-06-26,677.6900024414062,682.9600219726562,670.02001953125,672.4099731445312,3545800.0,,,,,
2024-06-27,684.3400268554688,688.5700073242188,678.1400146484375,679.3499755859375,2404800.0,,,,,
2024-06-28,674.8800048828125,687.0,673.0800170898438,679.0,3412400.0,,,,,
