Date,Close,High,Low,Open,Volume,"('Close', 'SIRI')","('High', 'SIRI')","('Low', 'SIRI')","('Open', 'SIRI')","('Volume', 'SIRI')"
2024-06-03,26.223316192626957,26.885998171653988,26.0339774525232,26.601991867166408,1959610.0,,,,,
2024-06-04,24.519271850585938,26.03397628657479,24.140596193005717,26.03397628657479,3578350.0,,,,,
2024-06-05,24.329933166503903,25.08728442693675,24.140594448561774,25.08728442693675,2548300.0,,,,,
2024-06-06,24.519271850585938,24.613941216397983,24.140596193005717,24.23526555881776,1833120.0,,,,,
2024-06-07,24.235265731811523,24.708610758582576,23.85659007152828,24.235265731811523,2376530.0,,,,,
2024-06-10,23.95125770568848,24.519272100686635,23.85659014457877,24.32993517279924,1942430.0,,,,,
2024-06-11,24.235265731811523,24.42460265911916,23.76192070504047,24.04592699883591,1565080.0,,,,,
2024-06-12,24.99261474609375,25.65529844468887,24.519269763002324,24.61393912075417,3995040.0,,,,,
2024-06-13,24.04592704772949,24.61394144214332,23.193906358942744,24.519272075463014,4828310.0,,,,,
2024-06-14,24.70861053466797,24.89794746025979,23.57258175844518,23.761920489704966,7525470.0,,,,,
2024-06-17,25.0872859954834,25.27662472526366,24.140595957917988,24.897947265703134,4585440.0,,,,,
2024-06-18,26.223316192626957,26.223316192626957,25.08728736334054,25.18195673339241,6447680.0,,,,,
2024-06-20,27.454010009765625,27.83268564876675,26.12864437042776,26.88599564843,3883400.0,,,,,
2024-06-21,27.738018035888672,28.684708095893992,27.643350474422533,27.927356770156933,33060360.0,,,,,
2024-06-24,25.465959548950195,27.35933946791553,25.181953283372515,27.07533320233785,6180090.0,,,,,
2024-06-25,25.18195533752441,25.655300355877625,24.708610319171203,25.560630991073392,4344260.0,,,,,
2024-06-26,25.560630798339844,25.844637084943116,24.89794705537497,25.08728578355577,5535050.0,,,,,
2024-06-27,25.84463882446289,26.03397756538748,25.37129377781948,25.560632518744068,3394810.0,,,,,
2024-06-28,26.79132843017578,27.07533653639401,25.939307722857137,26.033977091596547,8220720.0,,,,,
2024-07-01,27.264673233032227,27.7380182669784,26.885997567008893,27.075336302854563,6377760.0,,,,,
2024-07-02,29.34739112854004,29.536729858088123,27.359341690956963,27.548680420505047,5375900.0,,,,,
2024-07-03,33.41816329956055,33.60750206161158,29.536734928528745,29.536734928528745,7483030.0,,,,,
2024-07-05,35.122196197509766,39.382301032798125,33.134148718909444,33.228816270714944,12121280.0,,,,,
2024-07-08,30.767427444458008,37.48892553394365,29.915406737898927,37.39425797095666,6293530.0,,,,,
2024-07-09,32.47146987915039,32.56614105645184,29.536731998192295,30.767428412421943,5068310.0,,,,,
2024-07-10,33.22881317138672,34.932857835630365,32.37679445060017,32.37679445060017,4170920.0,,,,,
2024-07-11,34.17551040649414,35.02753292210684,32.66080772466719,33.3234915022175,4105160.0,,,,,
2024-07-12,35.122196197509766,35.31153491245637,33.702161252413646,34.175506234112355,2667850.0,,,,,
2024-07-15,36.82624435424805,37.11025064670873,33.70216430317274,34.74352552397649,4036390.0,,,,,
2024-07-16,36.731571197509766,38.435612471520926,36.352897365138254,36.63690364225082,4261450.0,,,,,
2024-07-17,35.97422409057617,37.01558176445312,34.45952136287585,35.97422409057617,4826390.0,,,,,
2024-07-18,32.75547409057617,36.44756670814324,32.47146779953315,35.0275316415922,3322150.0,,,,,
2024-07-19,32.28212356567383,33.03947836113991,30.48341495478014,32.47146226454035,4167910.0,,,,,
2024-07-22,33.03948211669922,33.03948211669922,31.524775964927475,32.37679840100756,2033550.0,,,,,
2024-07-23,35.97422409057617,35.97422409057617,32.28213122621941,32.37680240378579,3161560.0,,,,,
2024-07-24,37.77293395996094,39.00363028706856,35.3115376944098,35.3115376944098,5539290.0,,,,,
2024-07-25,37.11025238037109,39.00363256700905,36.44756859278059,36.73157489850906,3734760.0,,,,,
2024-07-26,35.21686935424805,38.05693940521425,34.17550816875895,37.58359439671988,3070470.0,,,,,
