Date,Close,High,Low,Open,Volume,"('Close', 'NOW')","('High', 'NOW')","('Low', 'NOW')","('Open', 'NOW')","('Volume', 'NOW')"
2024-06-03,660.1099853515625,664.3699951171875,645.4500122070312,659.7999877929688,1907700.0,,,,,
2024-06-04,672.0,674.5999755859375,656.02001953125,658.5999755859375,2491200.0,,,,,
2024-06-05,704.1099853515625,705.719970703125,676.1900024414062,683.4500122070312,2797900.0,,,,,
2024-06-06,703.1599731445312,712.3599853515625,699.72998046875,706.22998046875,1410900.0,,,,,
2024-06-07,698.8099975585938,703.989990234375,688.510009765625,700.510009765625,1122500.0,,,,,
2024-06-10,709.1500244140625,710.6400146484375,693.5599975585938,697.3200073242188,930400.0,,,,,
2024-06-11,712.0399780273438,719.0,706.8699951171875,711.72998046875,1061000.0,,,,,
2024-06-12,721.5,729.5,720.8300170898438,722.260009765625,1296100.0,,,,,
2024-06-13,709.760009765625,727.8200073242188,709.1699829101562,722.0,1119300.0,,,,,
2024-06-14,728.5800170898438,730.5,715.5999755859375,715.5999755859375,958000.0,,,,,
2024-06-17,725.5,729.3300170898438,719.0499877929688,723.4199829101562,1074900.0,,,,,
2024-06-18,730.1699829101562,734.52001953125,720.77001953125,722.8599853515625,1186400.0,,,,,
2024-06-20,734.3099975585938,742.260009765625,729.4199829101562,742.0,1184000.0,,,,,
2024-06-21,749.3300170898438,750.5399780273438,733.6199951171875,739.9400024414062,1722300.0,,,,,
2024-06-24,739.5900268554688,748.1799926757812,737.6900024414062,742.0,1214100.0,,,,,
2024-06-25,754.8099975585938,756.4099731445312,742.3800048828125,745.0,1030800.0,,,,,
2024-06-26,753.9099731445312,761.3699951171875,750.7899780273438,754.0,986000.0,,,,,
2024-06-27,774.1300048828125,780.0,756.6699829101562,758.2100219726562,1181400.0,,,,,
2024-06-28,786.6699829101562,789.969970703125,770.8800048828125,775.4299926757812,1721800.0,,,,,
2024-07-01,788.9600219726562,790.47998046875,770.780029296875,784.0,1121300.0,,,,,
2024-07-02,794.1099853515625,794.1500244140625,781.6199951171875,784.97998046875,875600.0,,,,,
2024-07-03,785.9199829101562,795.9500122070312,785.1900024414062,793.6699829101562,577500.0,,,,,
2024-07-05,806.469970703125,806.52001953125,785.9199829101562,788.4199829101562,1193200.0,,,,,
2024-07-08,766.2000122070312,776.6500244140625,761.4400024414062,763.5,2121300.0,,,,,
2024-07-09,744.010009765625,760.02001953125,737.010009765625,750.9600219726562,2433300.0,,,,,
2024-07-10,743.1500244140625,743.3800048828125,731.5499877929688,740.5599975585938,1498800.0,,,,,
2024-07-11,749.1400146484375,756.5,741.3300170898438,746.0,1281600.0,,,,,
