Date,Close,High,Low,Open,Volume,"('Close', 'ELF')","('High', 'ELF')","('Low', 'ELF')","('Open', 'ELF')","('Volume', 'ELF')"
2024-06-03,196.4499969482422,201.8600006103516,188.00999450683597,188.00999450683597,1839000.0,,,,,
2024-06-04,189.7400054931641,198.4900054931641,189.4199981689453,198.1699981689453,1054700.0,,,,,
2024-06-05,184.72999572753903,189.4149932861328,181.50999450683597,189.4149932861328,1438900.0,,,,,
2024-06-06,183.50999450683597,187.33999633789065,182.47999572753903,185.22999572753903,1021800.0,,,,,
2024-06-07,177.6300048828125,184.69000244140625,177.08999633789062,184.69000244140625,917100.0,,,,,
2024-06-10,182.47999572753903,182.6199951171875,173.10000610351562,174.19000244140625,949800.0,,,,,
2024-06-11,189.5800018310547,191.0,178.4199981689453,182.42999267578125,1593400.0,,,,,
2024-06-12,197.32000732421875,202.47000122070312,192.22999572753903,192.57000732421875,1486500.0,,,,,
2024-06-13,200.44000244140625,202.29400634765625,195.625,199.72999572753903,932500.0,,,,,
2024-06-14,192.6300048828125,200.572998046875,190.5,200.3800048828125,815100.0,,,,,
2024-06-17,195.41000366210935,198.00999450683597,189.00999450683597,191.30999755859372,692200.0,,,,,
2024-06-18,213.72999572753903,214.6100006103516,199.1199951171875,199.91000366210935,1777500.0,,,,,
2024-06-20,209.22999572753903,214.7899932861328,205.6999969482422,213.92999267578125,1569200.0,,,,,
2024-06-21,205.91000366210935,209.0,203.05999755859372,208.1699981689453,1319400.0,,,,,
2024-06-24,204.19000244140625,215.94000244140625,202.69000244140625,202.72000122070312,1336800.0,,,,,
2024-06-25,208.75999450683597,211.5399932861328,201.27999877929688,204.25999450683597,965000.0,,,,,
2024-06-26,204.58999633789065,213.47999572753903,203.8070068359375,206.1999969482422,1271400.0,,,,,
2024-06-27,218.0,218.5,202.6499938964844,204.63999938964844,1425500.0,,,,,
2024-06-28,210.72000122070312,215.9900054931641,207.18499755859372,213.6000061035156,8234600.0,,,,,
2024-07-01,204.16000366210935,219.5200042724609,200.83999633789065,215.76499938964844,1773100.0,,,,,
2024-07-02,204.22999572753903,206.91000366210935,200.16000366210935,202.57000732421875,904600.0,,,,,
2024-07-03,202.0200042724609,205.3500061035156,200.16000366210935,204.63999938964844,580300.0,,,,,
2024-07-05,200.2400054931641,204.07000732421875,197.5800018310547,201.0,894300.0,,,,,
2024-07-08,203.0800018310547,206.3800048828125,198.6300048828125,199.0,878700.0,,,,,
2024-07-09,206.4199981689453,210.3800048828125,202.00999450683597,203.1499938964844,1036000.0,,,,,
2024-07-10,199.4600067138672,211.1999969482422,196.3699951171875,208.0500030517578,1106400.0,,,,,
2024-07-11,208.9199981689453,210.8500061035156,201.02999877929688,202.5800018310547,1134300.0,,,,,
2024-07-12,210.8999938964844,219.7700042724609,209.38999938964844,211.97999572753903,1893800.0,,,,,
