Date,Close,High,Low,Open,Volume,"('Close', 'BCAT')","('High', 'BCAT')","('Low', 'BCAT')","('Open', 'BCAT')","('Volume', 'BCAT')"
2024-06-03,12.30540370941162,12.371482957405554,12.150484521319203,12.151218330625968,438500.0,,,,,
2024-06-04,12.217296600341797,12.334770498391288,12.099822702292304,12.29806043040057,391900.0,,,,,
2024-06-05,12.129193305969238,12.297328069925763,12.1145087168832,12.26135180694461,379300.0,,,,,
2024-06-06,12.099823951721191,12.16957504866512,12.08513936284884,12.099823951721191,387200.0,,,,,
2024-06-07,12.085139274597168,12.180587701170962,12.04842920308384,12.063113791848956,270800.0,,,,,
2024-06-10,12.20261573791504,12.316417810604518,12.09982500724118,12.20261573791504,423900.0,,,,,
2024-06-11,12.22464084625244,12.22464084625244,12.085140044891128,12.136536108844965,248100.0,,,,,
2024-06-12,12.195273399353027,12.356799689265136,12.165904219151049,12.268693549058792,348700.0,,,,,
2024-06-13,12.283376693725586,12.334771352631645,12.216563637147711,12.224639740633034,299700.0,,,,,
2024-06-14,12.085439682006836,12.39168370747487,12.0705006015769,12.27964345358861,330400.0,,,,,
2024-06-17,12.01074504852295,12.04809132288888,11.958459694543029,12.033153667943935,349500.0,,,,,
2024-06-18,12.01074504852295,12.04809132288888,11.950990154736033,11.973398774157015,349400.0,,,,,
2024-06-20,11.88376522064209,12.04062270064465,11.846418235514552,11.97339826988198,453700.0,,,,,
2024-06-21,11.876296043395996,12.033153528182964,11.846418596849553,11.846418596849553,290400.0,,,,,
2024-06-24,11.965929985046388,12.032406471561748,11.928582996002923,11.965929985046388,261400.0,,,,,
2024-06-25,12.003276824951172,12.025685446829408,11.96742359981368,11.98086962774214,254800.0,,,,,
2024-06-26,12.219886779785156,12.227356318914063,11.95098906982015,11.95098906982015,471200.0,,,,,
2024-06-27,12.30204963684082,12.316988716040946,12.249764284309384,12.2871119823097,365900.0,,,,,
2024-06-28,12.257232666015623,12.436497325475676,12.257232666015623,12.399151055672323,789300.0,,,,,
2024-07-01,12.406623840332031,12.429031038208564,12.24229679100149,12.331929856515352,596300.0,,,,,
2024-07-02,12.37674331665039,12.429028667950297,12.324457965350485,12.346866583622862,282800.0,,,,,
