Date,Close,High,Low,Open,Volume,"('Close', 'CL')","('High', 'CL')","('Low', 'CL')","('Open', 'CL')","('Volume', 'CL')"
2024-06-03,89.38188171386719,90.14549983275288,88.71492252941933,89.36254550221723,3197900.0,,,,,
2024-06-04,90.6771240234375,90.8801099899987,89.39154623521654,89.60419293261135,3599100.0,,,,,
2024-06-05,90.53213500976562,90.82211178766202,90.04883300533494,90.54179574013985,2636800.0,,,,,
2024-06-06,90.84146118164062,91.41175408982711,90.44514994068032,90.67713287158632,4217400.0,,,,,
2024-06-07,90.75445556640624,91.41174662916475,90.65779663430138,90.947773430616,2596200.0,,,,,
2024-06-10,90.76412963867188,90.87045668335814,90.01017959424513,90.54180744307216,2542900.0,,,,,
2024-06-11,90.8221206665039,90.84145687834932,89.83618772590519,90.61913468975136,3553600.0,,,,,
2024-06-12,90.1165008544922,90.80278886048538,89.75885469308567,90.75445570705614,3812900.0,,,,,
2024-06-13,91.59540557861328,91.73072956116418,90.261487215463,90.53214255516876,4051700.0,,,,,
2024-06-14,91.4600830078125,91.556741943326,90.69646488042886,91.34408786043385,2722800.0,,,,,
2024-06-17,92.7456512451172,92.8713144853984,90.9477672074926,91.37307532917684,3445400.0,,,,,
2024-06-18,93.770263671875,93.837925662351,92.48467847822724,92.5233435262998,3722000.0,,,,,
2024-06-20,93.71226501464844,94.1569093925276,93.03564509110024,93.55761219266772,4381700.0,,,,,
2024-06-21,94.02156829833984,94.40821137516517,93.50926935575268,93.75092035694313,6378200.0,,,,,
2024-06-24,95.68413543701172,95.75179742736076,94.0409114573328,94.72719946647418,4444000.0,,,,,
2024-06-25,95.40382385253906,95.77113813849552,95.0365169411868,95.69380803886214,6376800.0,,,,,
2024-06-26,94.94952392578124,95.20083568190212,94.60154586004032,94.79486373007238,3443900.0,,,,,
2024-06-27,94.89151763916016,95.23949568647043,94.49521381420344,94.93985079141022,3616400.0,,,,,
2024-06-28,93.79925537109376,95.18149942035636,93.54793625997232,94.92051220410626,11036200.0,,,,,
2024-07-01,92.34935760498048,94.43721864893094,92.2333624568594,94.18590688990813,4205200.0,,,,,
2024-07-02,92.90998077392578,93.03563664128536,91.8467104554855,92.31068362849612,4205800.0,,,,,
2024-07-03,92.68766784667967,93.00664897401604,92.33002166985368,92.5330150233253,2114700.0,,,,,
2024-07-05,93.80892944335938,93.96358226223832,92.68766516442037,92.79399220378886,2844900.0,,,,,
2024-07-08,94.32122802734376,94.6692060865955,93.87659103487847,93.98291807379452,2857300.0,,,,,
2024-07-09,93.79925537109376,94.37921631055563,93.26762020806834,94.27288927795055,3390800.0,,,,,
2024-07-10,94.13756561279295,94.35988778385976,93.61559855318718,93.91525081632967,2740600.0,,,,,
2024-07-11,94.49520874023438,94.69819469449868,93.97324169729625,94.09889756195416,3719900.0,,,,,
2024-07-12,94.79486846923828,95.34583253843894,94.61121132130326,94.72720647388395,2564800.0,,,,,
