Date,Close,High,Low,Open,Volume,"('Close', 'ISSC')","('High', 'ISSC')","('Low', 'ISSC')","('Open', 'ISSC')","('Volume', 'ISSC')"
2024-06-03,6.360000133514404,6.440000057220459,6.150000095367432,6.309999942779541,38000.0,,,,,
2024-06-04,6.309999942779541,6.360000133514404,6.230000019073486,6.300000190734863,36400.0,,,,,
2024-06-05,6.389999866485596,6.539999961853027,6.269999980926514,6.300000190734863,36600.0,,,,,
2024-06-06,6.460000038146973,6.559999942779541,6.369999885559082,6.369999885559082,22600.0,,,,,
2024-06-07,6.300000190734863,6.550000190734863,6.289999961853027,6.429999828338623,21300.0,,,,,
2024-06-10,6.21999979019165,6.340000152587891,6.21999979019165,6.289999961853027,28600.0,,,,,
2024-06-11,6.480000019073486,6.539999961853027,6.21999979019165,6.260000228881836,29100.0,,,,,
2024-06-12,6.300000190734863,6.5,6.300000190734863,6.440000057220459,24800.0,,,,,
2024-06-13,6.300000190734863,6.349999904632568,6.139999866485596,6.289999961853027,49300.0,,,,,
2024-06-14,6.239999771118164,6.25,5.900000095367432,6.050000190734863,79000.0,,,,,
2024-06-17,6.099999904632568,6.269999980926514,6.010000228881836,6.25,45000.0,,,,,
2024-06-18,6.369999885559082,6.369999885559082,6.050000190734863,6.050000190734863,38100.0,,,,,
2024-06-20,6.090000152587891,6.409999847412109,6.079999923706055,6.409999847412109,20700.0,,,,,
2024-06-21,6.340000152587891,6.340000152587891,6.050000190734863,6.050000190734863,31200.0,,,,,
2024-06-24,6.099999904632568,6.320000171661377,6.090000152587891,6.110000133514404,22600.0,,,,,
2024-06-25,6.110000133514404,6.130000114440918,5.980000019073486,6.070000171661377,25000.0,,,,,
2024-06-26,6.0,6.059999942779541,5.96999979019165,6.050000190734863,11800.0,,,,,
2024-06-27,6.079999923706055,6.239999771118164,6.03000020980835,6.059999942779541,20100.0,,,,,
2024-06-28,6.0,6.099999904632568,6.0,6.099999904632568,10000.0,,,,,
2024-07-01,5.800000190734863,6.0,5.800000190734863,5.940000057220459,17000.0,,,,,
2024-07-02,5.889999866485596,5.909999847412109,5.730000019073486,5.789999961853027,30000.0,,,,,
2024-07-03,5.659999847412109,5.900000095367432,5.650000095367432,5.889999866485596,9300.0,,,,,
2024-07-05,5.650000095367432,5.730000019073486,5.550000190734863,5.650000095367432,28500.0,,,,,
