Date,Close,High,Low,Open,Volume,"('Close', 'DOX')","('High', 'DOX')","('Low', 'DOX')","('Open', 'DOX')","('Volume', 'DOX')"
2024-06-03,74.8377914428711,76.32431626104047,74.70265349253442,76.14091160081243,759000.0,,,,,
2024-06-04,74.13313293457031,75.0115294734053,73.79528074747667,74.7798655042405,698400.0,,,,,
2024-06-05,74.60612487792969,74.69299611539496,73.74703049548864,74.277927463752,1609000.0,,,,,
2024-06-06,74.0269546508789,74.6254205390352,73.80493812289298,74.28757570467842,1001600.0,,,,,
2024-06-07,73.83389282226562,74.19104727249501,73.59257403914262,73.79528093323016,832600.0,,,,,
2024-06-10,74.7219467163086,74.76055123838653,73.60222409997591,73.69875013409941,831900.0,,,,,
2024-06-11,73.90145874023438,74.63506987273396,73.71806148045786,74.63506987273396,520100.0,,,,,
2024-06-12,73.74701690673828,74.89568923353964,73.65049087251879,74.06555944768053,511400.0,,,,,
2024-06-13,73.1775131225586,73.70841744696972,72.63696134822406,73.70841744696972,532900.0,,,,,
2024-06-14,72.29911804199219,73.33196226982926,71.82613522929148,73.33196226982926,944700.0,,,,,
2024-06-17,73.37056732177734,73.45743855164632,72.03848288139929,72.16397336605233,987000.0,,,,,
2024-06-18,73.6987533569336,73.8338912835089,73.26438250215074,73.37056335366916,1077300.0,,,,,
2024-06-20,75.28181457519531,75.76445219948846,73.51536646727631,73.71807338574355,859900.0,,,,,
2024-06-21,75.75479888916016,75.88028201056157,75.19493752081821,75.44591112808618,1179300.0,,,,,
2024-06-24,75.67758178710938,76.17952168148157,75.55209129016698,75.75480557530996,906500.0,,,,,
2024-06-25,75.57139587402344,75.94785261078539,74.96327515259227,75.78375759516409,685300.0,,,,,
2024-06-26,75.61000061035156,75.79339787214602,75.18527720826309,75.2045868344296,899100.0,,,,,
2024-06-27,75.62930297851562,75.94784553053039,75.194932127197,75.80305279193598,736200.0,,,,,
2024-06-28,76.64810943603516,76.80350703471822,75.6477614762503,75.91969986418032,1696600.0,,,,,
2024-07-01,76.40530395507812,77.3668098961353,76.24019956875057,76.78407632830726,675100.0,,,,,
2024-07-02,77.13372039794922,77.15314880382104,76.10423717971553,76.37617558379493,711000.0,,,,,
2024-07-03,75.88085174560547,77.48335431269423,75.69632635626067,77.13371711951976,534400.0,,,,,
