Date,Close,High,Low,Open,Volume,"('Close', 'ARQQ')","('High', 'ARQQ')","('Low', 'ARQQ')","('Open', 'ARQQ')","('Volume', 'ARQQ')"
2024-06-03,9.625,9.875,9.524999618530272,9.675000190734863,34236.0,,,,,
2024-06-04,9.375,9.75,9.274999618530272,9.625,24780.0,,,,,
2024-06-05,9.875,9.975000381469728,8.824999809265137,9.550000190734863,47432.0,,,,,
2024-06-06,9.725000381469728,10.0,9.425000190734863,10.0,20140.0,,,,,
2024-06-07,9.449999809265137,9.725000381469728,9.274999618530272,9.449999809265137,23248.0,,,,,
2024-06-10,9.300000190734863,9.75,9.25,9.75,15712.0,,,,,
2024-06-11,9.875,9.875,9.125,9.25,14820.0,,,,,
2024-06-12,9.625,10.0,9.375,9.925000190734863,20004.0,,,,,
2024-06-13,9.350000381469728,9.75,9.125,9.75,23588.0,,,,,
2024-06-14,9.25,9.75,9.050000190734863,9.449999809265137,15052.0,,,,,
2024-06-17,9.024999618530272,9.625,8.274999618530273,9.5,63920.0,,,,,
2024-06-18,8.375,9.0,8.375,8.75,32736.0,,,,,
2024-06-20,7.75,8.524999618530273,7.525000095367432,8.25,70120.0,,,,,
2024-06-21,7.5,8.75,7.5,7.699999809265137,156836.0,,,,,
2024-06-24,7.75,7.925000190734863,7.525000095367432,7.675000190734863,22312.0,,,,,
2024-06-25,8.050000190734863,8.25,7.75,8.25,19468.0,,,,,
2024-06-26,8.050000190734863,8.225000381469727,7.775000095367432,8.074999809265137,18168.0,,,,,
2024-06-27,8.375,8.449999809265137,8.024999618530273,8.25,16472.0,,,,,
2024-06-28,8.550000190734863,8.699999809265137,8.375,8.699999809265137,13196.0,,,,,
2024-07-01,7.900000095367432,9.125,7.824999809265137,8.75,34800.0,,,,,
2024-07-02,7.550000190734863,8.0,7.5,7.900000095367432,38840.0,,,,,
2024-07-03,8.149999618530273,8.225000381469727,7.550000190734863,7.550000190734863,7904.0,,,,,
2024-07-05,8.5,8.699999809265137,8.399999618530273,8.550000190734863,26600.0,,,,,
2024-07-08,8.574999809265137,8.875,8.274999618530273,8.75,27828.0,,,,,
2024-07-09,8.675000190734863,8.75,8.5,8.574999809265137,20720.0,,,,,
2024-07-10,8.875,8.975000381469727,8.0,8.524999618530273,85756.0,,,,,
2024-07-11,8.100000381469727,9.0,7.800000190734863,8.875,85448.0,,,,,
2024-07-12,9.024999618530272,9.25,8.25,8.324999809265137,91496.0,,,,,
2024-07-15,10.125,10.375,9.5,9.600000381469728,121724.0,,,,,
2024-07-16,10.524999618530272,11.850000381469728,10.024999618530272,11.0,129500.0,,,,,
2024-07-17,9.550000190734863,10.5,9.324999809265137,10.5,72384.0,,,,,
2024-07-18,8.800000190734863,9.574999809265137,8.5,9.5,59280.0,,,,,
2024-07-19,9.699999809265137,10.25,9.0,9.0,38220.0,,,,,
2024-07-22,9.375,10.25,9.024999618530272,10.125,30820.0,,,,,
2024-07-23,9.5,9.774999618530272,9.25,9.550000190734863,22200.0,,,,,
2024-07-24,9.100000381469728,9.725000381469728,9.0,9.5,19532.0,,,,,
2024-07-25,9.225000381469728,9.399999618530272,9.0,9.125,21144.0,,,,,
2024-07-26,9.75,9.75,9.274999618530272,9.399999618530272,12360.0,,,,,
2024-07-29,9.324999809265137,10.100000381469728,9.25,10.0,20596.0,,,,,
2024-07-30,9.074999809265137,9.5,8.800000190734863,9.300000190734863,16660.0,,,,,
2024-07-31,9.024999618530272,9.375,9.0,9.024999618530272,12612.0,,,,,
2024-08-01,8.550000190734863,9.25,8.350000381469727,9.199999809265137,30176.0,,,,,
2024-08-02,8.100000381469727,8.25,7.75,8.25,33684.0,,,,,
2024-08-05,7.75,7.925000190734863,7.25,7.5,35616.0,,,,,
2024-08-06,8.0,8.050000190734863,7.75,8.050000190734863,18940.0,,,,,
2024-08-07,7.699999809265137,8.225000381469727,7.625,7.925000190734863,24692.0,,,,,
2024-08-08,7.800000190734863,7.974999904632568,7.525000095367432,7.949999809265137,16236.0,,,,,
2024-08-09,8.0,8.050000190734863,7.525000095367432,8.0,11132.0,,,,,
2024-08-12,7.599999904632568,8.050000190734863,7.5,8.050000190734863,31672.0,,,,,
2024-08-13,7.699999809265137,7.974999904632568,7.525000095367432,7.75,10224.0,,,,,
2024-08-14,7.625,7.974999904632568,7.5,7.949999809265137,22372.0,,,,,
2024-08-15,7.675000190734863,7.925000190734863,7.574999809265137,7.75,14824.0,,,,,
2024-08-16,8.074999809265137,8.199999809265137,7.625,7.75,27556.0,,,,,
2024-08-19,9.0,9.0,7.900000095367432,8.25,45632.0,,,,,
2024-08-20,8.800000190734863,9.0,8.5,9.0,12528.0,,,,,
2024-08-21,8.524999618530273,9.0,8.175000190734863,9.0,20356.0,,,,,
2024-08-22,8.975000381469727,9.199999809265137,8.800000190734863,9.0,22948.0,,,,,
