Date,Close,High,Low,Open,Volume,"('Close', 'COST')","('High', 'COST')","('Low', 'COST')","('Open', 'COST')","('Volume', 'COST')"
2024-06-03,810.07373046875,822.5120597370051,801.8675753719978,805.7123383996976,2008700.0,,,,,
2024-06-04,821.9954223632812,822.6113751052686,807.7389481438087,809.6663017472807,1754500.0,,,,,
2024-06-05,828.8602905273438,828.9497304010953,816.3225787062555,825.4923790236783,2080000.0,,,,,
2024-06-06,837.14599609375,843.553954177873,828.8802352731625,829.9730390108922,1735000.0,,,,,
2024-06-07,840.06689453125,844.8355867395934,836.7983062932817,841.1596983533163,1593600.0,,,,,
2024-06-10,842.8089599609375,843.9414812245805,837.2454348519527,841.6564890535756,1401600.0,,,,,
2024-06-11,843.7725219726562,845.3918992727611,834.7815398273317,843.7029710940814,1690500.0,,,,,
2024-06-12,842.2822875976562,850.1605768261671,838.1096594146159,846.7529476572264,1838300.0,,,,,
2024-06-13,840.4443969726562,842.2823107928765,832.0891958743999,842.2823107928765,1322400.0,,,,,
2024-06-14,850.091064453125,850.5977489847795,836.420769149832,837.9209337397234,1395500.0,,,,,
2024-06-17,862.2512817382812,864.8840282423736,847.8061030003296,848.9187958546779,1904900.0,,,,,
2024-06-18,865.07275390625,868.261846697505,862.0426518799004,862.3406837675855,1763800.0,,,,,
2024-06-20,856.81689453125,868.152474662862,854.949147278299,865.629057289589,1944600.0,,,,,
2024-06-21,842.7789916992188,861.317301276074,842.1233215987868,860.9894965444606,3833100.0,,,,,
2024-06-24,842.6300048828125,845.0839321153983,836.0233989925774,844.4580348386,1722900.0,,,,,
2024-06-25,849.9320678710938,850.1108869911299,839.4905835734521,843.7824243659372,1564200.0,,,,,
2024-06-26,851.25341796875,854.134473546111,844.5175945571452,847.1602246397957,1505300.0,,,,,
2024-06-27,845.073974609375,852.7337274369117,843.1069035623971,852.1177746719549,1254900.0,,,,,
2024-06-28,844.4480590820312,851.6507891126008,841.2887999450876,845.6998535892972,2131700.0,,,,,
2024-07-01,840.1563110351562,850.418977591284,835.0200358241522,847.9352773062628,1989000.0,,,,,
2024-07-02,853.7569580078125,854.7504380075341,837.5831351436927,840.1761033900364,1377900.0,,,,,
2024-07-03,857.035400390625,857.8898392452634,849.4253705349743,849.4253705349743,814400.0,,,,,
2024-07-05,879.8954467773438,881.1571858273603,853.1211476714361,858.9230977638393,2620700.0,,,,,
2024-07-08,875.0969848632812,882.1606133927274,871.937664976242,881.0081425898203,1611300.0,,,,,
2024-07-09,881.0676879882812,890.8236685795431,877.2129808499919,878.0872480754105,1356800.0,,,,,
2024-07-10,878.5443115234375,884.4654742549319,874.9578632145252,881.6141914567431,1755800.0,,,,,
2024-07-11,841.0702514648438,884.9522456473541,841.0007005890748,884.9522456473541,6021100.0,,,,,
2024-07-12,837.4043579101562,844.4580420061471,832.9138086828751,844.3487737536415,3288400.0,,,,,
