Date,Close,High,Low,Open,Volume,"('Close', 'GOVX')","('High', 'GOVX')","('Low', 'GOVX')","('Open', 'GOVX')","('Volume', 'GOVX')"
2024-06-03,1.809999942779541,2.049999952316284,1.715000033378601,1.870000004768372,101600.0,,,,,
2024-06-04,1.7599999904632568,1.899999976158142,1.7300000190734863,1.809999942779541,35200.0,,,,,
2024-06-05,1.7999999523162842,2.049999952316284,1.7300000190734863,1.7480000257492063,137100.0,,,,,
2024-06-06,1.7200000286102295,1.899999976158142,1.6299999952316284,1.8899999856948853,2313400.0,,,,,
2024-06-07,1.6100000143051147,1.7300000190734863,1.5,1.5299999713897705,262000.0,,,,,
2024-06-10,1.5499999523162842,1.6660000085830688,1.4700000286102295,1.5700000524520874,80500.0,,,,,
2024-06-11,1.5499999523162842,1.5700000524520874,1.4900000095367432,1.5099999904632568,44300.0,,,,,
2024-06-12,1.4830000400543213,1.5740000009536743,1.4600000381469729,1.5499999523162842,40000.0,,,,,
2024-06-13,1.399999976158142,1.5440000295639038,1.3799999952316284,1.4900000095367432,118700.0,,,,,
2024-06-14,1.2000000476837158,1.4500000476837158,1.149999976158142,1.4500000476837158,228000.0,,,,,
2024-06-17,1.1100000143051147,1.2239999771118164,1.100000023841858,1.2200000286102295,49600.0,,,,,
2024-06-18,1.899999976158142,2.369999885559082,1.090000033378601,1.3600000143051147,35646600.0,,,,,
2024-06-20,1.8899999856948853,2.190000057220459,1.6799999475479126,2.0999999046325684,8008900.0,,,,,
2024-06-21,2.3299999237060547,2.490000009536743,1.690999984741211,1.7100000381469729,9913200.0,,,,,
2024-06-24,3.0299999713897705,3.150000095367432,2.400000095367432,2.549999952316284,5963500.0,,,,,
2024-06-25,2.200000047683716,3.0,2.1700000762939453,2.6600000858306885,1382400.0,,,,,
2024-06-26,2.015000104904175,2.380000114440918,1.8899999856948853,2.119999885559082,2011700.0,,,,,
2024-06-27,3.549999952316284,4.900000095367432,2.3399999141693115,2.430000066757202,80342900.0,,,,,
2024-06-28,3.184999942779541,4.539999961853027,3.009999990463257,3.470000028610229,19815800.0,,,,,
2024-07-01,3.2799999713897705,3.809999942779541,3.119999885559082,3.25,5394600.0,,,,,
2024-07-02,3.309999942779541,3.5899999141693115,2.900000095367432,3.509999990463257,1975400.0,,,,,
2024-07-03,2.900000095367432,3.2799999713897705,2.809999942779541,3.25,686700.0,,,,,
2024-07-05,2.799999952316284,2.9749999046325684,2.6600000858306885,2.859999895095825,496900.0,,,,,
2024-07-08,2.869999885559082,2.970000028610229,2.440000057220459,2.700000047683716,742500.0,,,,,
