,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.077181,0.060198,0.21,0.233,0.220542,,
Total Unusual Items,,,0.0,0.0,0.0,,0.0
Total Unusual Items Excluding Goodwill,,,0.0,0.0,0.0,,0.0
Net Income From Continuing Operation Net Minority Interest,-4412000.0,-4465000.0,-123327000.0,-7282000.0,-6238000.0,,
Reconciled Depreciation,3420000.0,3340000.0,3499000.0,3743000.0,3762000.0,,
Net Interest Income,33870000.0,33221000.0,29616000.0,28619000.0,29701000.0,,
Interest Expense,49172000.0,52544000.0,69456000.0,71218000.0,71422000.0,,
Interest Income,83042000.0,85765000.0,99072000.0,99837000.0,101123000.0,,
Normalized Income,-4412000.0,-4465000.0,-123327000.0,-7282000.0,-6238000.0,,
Net Income From Continuing And Discontinued Operation,-4412000.0,-4465000.0,-123327000.0,-7282000.0,-6238000.0,,
Diluted Average Shares,18920808.0,18920808.0,18857565.0,18857565.0,18857566.0,,
Basic Average Shares,18920808.0,18920808.0,18857565.0,18857565.0,18857566.0,,
Diluted EPS,-0.23,-0.24,-6.54,-0.39,-0.33,,
Basic EPS,-0.23,-0.24,-6.54,-0.39,-0.33,,
Diluted NI Availto Com Stockholders,-4412000.0,-4465000.0,-123327000.0,-7282000.0,-6238000.0,,
Net Income Common Stockholders,-4412000.0,-4465000.0,-123327000.0,-7282000.0,-6238000.0,,
Net Income,-4412000.0,-4465000.0,-123327000.0,-7282000.0,-6238000.0,,
Net Income Including Noncontrolling Interests,-4412000.0,-4465000.0,-123327000.0,-7282000.0,-6238000.0,,
Net Income Continuous Operations,-4412000.0,-4465000.0,-123327000.0,-7282000.0,-6238000.0,,
Tax Provision,-369000.0,-286000.0,30866000.0,-2207000.0,-1765000.0,,
Pretax Income,-4781000.0,-4751000.0,-92461000.0,-9489000.0,-8003000.0,,
Special Income Charges,,,0.0,0.0,0.0,,0.0
Impairment Of Capital Assets,,,0.0,0.0,0.0,,0.0
Selling General And Administration,35442000.0,36652000.0,30564000.0,36450000.0,38221000.0,,
General And Administrative Expense,35442000.0,36652000.0,30564000.0,36450000.0,38221000.0,,
Other Gand A,9428000.0,10343000.0,5527000.0,9690000.0,10605000.0,,
Salaries And Wages,26014000.0,26309000.0,25037000.0,26760000.0,27616000.0,,
Total Revenue,41529000.0,37772000.0,-55716000.0,31935000.0,35348000.0,,
Operating Revenue,41529000.0,37772000.0,-55716000.0,31935000.0,35348000.0,,
Occupancy And Equipment,4868000.0,4871000.0,6181000.0,4974000.0,5130000.0,,
Other Non Interest Expense,,,,,7580000.0,7342000.0,
