,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-1258218.856917,-1251810.0,-229735.97738,-338004.0,-130179.56146,,
Tax Rate For Calcs,0.188328,0.21,0.160095,0.164,0.220643,,
Normalized EBITDA,92572000.0,35717000.0,81759000.0,87663000.0,81491000.0,,
Total Unusual Items,-6681000.0,-5961000.0,-1435000.0,-2061000.0,-590000.0,,
Total Unusual Items Excluding Goodwill,-6681000.0,-5961000.0,-1435000.0,-2061000.0,-590000.0,,
Net Income From Continuing Operation Net Minority Interest,37009000.0,-22465000.0,32973000.0,36282000.0,31207000.0,,
Reconciled Depreciation,32286000.0,29832000.0,28927000.0,28694000.0,27225000.0,,
Reconciled Cost Of Revenue,327765000.0,298681000.0,332701000.0,296216000.0,294734000.0,,
EBITDA,85891000.0,29756000.0,80324000.0,85602000.0,80901000.0,,
EBIT,53605000.0,-76000.0,51397000.0,56908000.0,53676000.0,,
Net Interest Income,-10537000.0,-14900000.0,-10640000.0,-15482000.0,-15430000.0,,
Interest Expense,8009000.0,12923000.0,12139000.0,13484000.0,13634000.0,,
Normalized Income,42431781.143083,-17755810.0,34178264.02262,38004996.0,31666820.43854,,
Net Income From Continuing And Discontinued Operation,37009000.0,-22487000.0,32703000.0,35439000.0,31246000.0,,
Total Expenses,413592000.0,381603000.0,393377000.0,370687000.0,371744000.0,,
Total Operating Income As Reported,59338000.0,49552000.0,57032000.0,58011000.0,54494000.0,,
Diluted Average Shares,35713000.0,33916000.0,36243000.0,35791000.0,35529000.0,,
Basic Average Shares,35035000.0,33916000.0,33665000.0,33656000.0,33600000.0,,
Diluted EPS,1.04,-0.66,0.9,0.99,0.88,,
Basic EPS,1.06,-0.66,0.97,1.05,0.93,,
Diluted NI Availto Com Stockholders,37009000.0,-22487000.0,32703000.0,35439000.0,31246000.0,,
Net Income Common Stockholders,37009000.0,-22487000.0,32703000.0,35439000.0,31246000.0,,
Net Income,37009000.0,-22487000.0,32703000.0,35439000.0,31246000.0,,
Net Income Including Noncontrolling Interests,37009000.0,-22487000.0,32703000.0,35439000.0,31246000.0,,
Net Income Discontinuous Operations,0.0,-22000.0,-270000.0,-843000.0,39000.0,,
Net Income Continuous Operations,37009000.0,-22465000.0,32973000.0,36282000.0,31207000.0,,
Tax Provision,8587000.0,9466000.0,6285000.0,7142000.0,8835000.0,,
Pretax Income,45596000.0,-12999000.0,39258000.0,43424000.0,40042000.0,,
Other Income Expense,-6769000.0,-53888000.0,-6222000.0,-1824000.0,-670000.0,,
Other Non Operating Income Expenses,-80000.0,-47927000.0,-1725000.0,-916000.0,-73000.0,,
Special Income Charges,-2781000.0,-6142000.0,-1435000.0,-2061000.0,-790000.0,,
Other Special Charges,130000.0,737000.0,,,,,
Write Off,,,,247000.0,,,
Restructuring And Mergern Acquisition,2651000.0,5405000.0,1682000.0,1814000.0,790000.0,,
Earnings From Equity Interest,-8000.0,,-3062000.0,1153000.0,-7000.0,1136000.0,
Gain On Sale Of Security,-3900000.0,181000.0,,,200000.0,1136000.0,
Net Non Operating Interest Income Expense,-10537000.0,-14900000.0,-10640000.0,-15482000.0,-15430000.0,,
Total Other Finance Cost,2528000.0,1977000.0,-1499000.0,1998000.0,1796000.0,,
Interest Expense Non Operating,8009000.0,12923000.0,12139000.0,13484000.0,13634000.0,,
Operating Income,62902000.0,55789000.0,56120000.0,60730000.0,56142000.0,,
Operating Expense,66250000.0,64529000.0,60676000.0,55838000.0,61235000.0,,
Other Operating Expenses,,,,,,118000.0,1973000.0
Depreciation Amortization Depletion Income Statement,12709000.0,11439000.0,,10061000.0,11450000.0,10276000.0,
Depreciation And Amortization In Income Statement,12709000.0,11439000.0,,10061000.0,11450000.0,10276000.0,
Research And Development,14240000.0,14201000.0,10614000.0,11923000.0,15614000.0,,
Selling General And Administration,39301000.0,38889000.0,82087000.0,33854000.0,34171000.0,,
General And Administrative Expense,39301000.0,38889000.0,,33854000.0,34171000.0,35328000.0,
Other Gand A,11450000.0,11326000.0,,10475000.0,9512000.0,11055000.0,
Salaries And Wages,27851000.0,27563000.0,,23379000.0,24659000.0,24273000.0,
Gross Profit,129152000.0,120318000.0,116796000.0,116568000.0,117377000.0,,
Cost Of Revenue,347342000.0,317074000.0,332701000.0,314849000.0,310509000.0,,
Total Revenue,476494000.0,437392000.0,449497000.0,431417000.0,427886000.0,,
Operating Revenue,476494000.0,437392000.0,449497000.0,431417000.0,427886000.0,,
