quarter,epsActual,epsEstimate,epsDifference,surprisePercent
2025-06-30,0.455,0.466,-0.01,-0.023599999
2025-03-31,0.42,0.383,0.04,0.096599996
2024-12-31,0.455,0.4005,0.05,0.1361
2024-09-30,0.41,0.3535,0.06,0.1598
